Word	am
aaaaaaah	yeaaaaahah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	ተጭኗል
abacus	abacus
abalone	አኳል
abandon	ውጣ
abandoned	ተትቷል
abandonment	ማቋረጥ
abashed	ተሰቅሏል
abate	አጥፋ
abatement	መበስበስ
abba	abba
abbey	ቤተ-ክርስቲያን
abbot	አቡኝ
abbreviate	አህጽሮት
abbreviation	አህጽሮተ ቃል
abdomen	ሆድ
abdominal	ሆዱ
abduct	ጠለፋ
abduction	ጠለፋ
aberrant	ያልተለመደ
aberration	ማቃለጥ
abeyance	ድንገተኛ
abhor	ጸያፍ
abhorrence	መጸጸት
abhorrent	አስጸያፊ
abide	ቀጥል
abiding	በመታገሥ
ability	ችሎታ
abject	ጥፋተኛ
ablation	ማባረር
ablaze	እሳቱ
able	ችሎታ
abnormal	ያልተለመደ
abnormality	ያልተለመደው
aboard	ወደቤት
abode	መኖሪያ
abolish	አጠፋ
abolition	ማጥፋት
abominable	አስጸያፊ
abominate	አጸያፊ
abomination	አስጸያፊ
aboriginal	አዉሮጅናል
abort	አጥፋ
abortion	ፅንስ ማስወረድ
abortive	ውርጃ
abound	የተትረፈረፈ
abovementioned	ከላይ የተጠቀሰው
abracadabra	abracadabra
abrasion	አረፋ
abrasive	አጥፊ
abreast	አከባቢ
abroad	በውጭ አገር
abrogate	መሻር
abrupt	ድንገተኛ
abruptly	በድንገት
abscess	እብጠት
absence	አለመኖር
absent	የለም
absentee	ያለፈ
absenteeism	ያለፈቃድ
absinthe	absinthe
absolute	ፍጹም
absolution	ነፃነት
absolve	ነፃ
absorb	ተቀባ
absorbed	ተሸክሟል
absorbent	የሚስብ
absorbing	መሳብ
absorption	መሳብ
abstain	ተቀጣጡ
abstention	መታገል
abstinence	መታቀብ
abstract	ረቂቅ
abstraction	ማመሳከሪያ
absurd	የማይረባ
absurdity	አይቀሬነት
abundance	ብልጽግና
abundant	ብዙ
abuse	ማጎሳቆል
