Word	pl
aaaaaaah	aaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	wstecz
abacus	liczydło
abalone	uchowiec
abandon	porzucić
abandoned	opuszczony
abandonment	porzucenie
abashed	speszony
abate	zmniejszać
abatement	obniżka
abba	abba
abbey	opactwo
abbot	NO TRANSLATION
abbreviate	skracać
abbreviation	skrót
abdomen	brzuch
abdominal	brzuszny
abduct	uprowadzać
abduction	uprowadzenie
aberrant	anormalny
aberration	aberracja
abeyance	stan zawieszenia
abhor	czuć wstręt
abhorrence	wstręt
abhorrent	odrażający
abide	przestrzegać
abiding	trwały
ability	umiejętność
abject	nikczemny
ablation	ablacja
ablaze	w ogniu
able	zdolny
abnormal	nieprawidłowy
abnormality	nieprawidłowość
aboard	na
abode	siedziba
abolish	znieść
abolition	zniesienie
abominable	wstrętny
abominate	nienawidzić
abomination	wstręt
aboriginal	rodowity
abort	anulować
abortion	poronienie
abortive	nieudany
abound	obfitować
abovementioned	wyżej wymienione
abracadabra	abrakadabra
abrasion	przetarcie
abrasive	ścierny
abreast	ramię przy ramieniu
abroad	za granicą
abrogate	unieważnić
abrupt	nagły
abruptly	nagle
abscess	ropień
absence	brak
absent	nieobecny
absentee	bumelant
absenteeism	absencja
absinthe	Absynt
absolute	absolutny
absolution	rozgrzeszenie
absolve	rozgrzeszać
absorb	absorbować
absorbed	zaabsorbowany
absorbent	absorbent
absorbing	absorbujący
absorption	wchłanianie
abstain	wstrzymać się
abstention	wstrzymanie się od głosu
abstinence	abstynencja
abstract	abstrakcyjny
abstraction	abstrakcja
absurd	absurdalny
absurdity	absurdalność
abundance	obfitość
abundant	obfity
abuse	nadużycie
abused	maltretowany
abusive	obraźliwy
abutment	przyczółek
aby	NO TRANSLATION
abysmal	bezdenny
abyss	przepaść
academic	akademicki
academy	akademia
accede	przystąpić
accelerant	przyśpieszacz
accelerate	przyśpieszyć
accelerated	przyśpieszony
acceleration	przyśpieszenie
accelerator	akcelerator
accent	akcent
accentuate	podkreślać
accept	zaakceptować
acceptable	do przyjęcia
acceptance	przyjęcie
acceptances	akceptacje
access	dostęp
accessible	dostępny
accession	przystąpienie
accessory	akcesorium
accident	wypadek
accidental	przypadkowy
accidentally	przypadkowo
acclaim	oklaskiwać
accolade	uznanie
accommodate	pomieścić
accommodation	nocleg
accompaniment	akompaniament
accompany	towarzyszyć
accompanying	towarzyszący
accomplice	wspólnik
accomplish	ukończyć
accomplished	znakomity
accomplishment	osiągnięcie
accord	porozumienie
accordance	zgodność
accordion	akordeon
account	konto
accountability	odpowiedzialność
accountable	odpowiedzialny
accountant	księgowa
accounting	rachunkowość
accounts	konta
accredited	akredytowany
accretion	przyrost
accrue	płynąć
accueil	NO TRANSLATION
accumulate	gromadzić
accumulation	akumulacja
accuracy	precyzja
accurate	dokładny
accursed	przeklęty
accusation	oskarżenie
accusative	biernik
accuse	oskarżać
accused	oskarżony
accuser	oskarżyciel
accusing	oskarżając
accustomed	przyzwyczajony
ace	as
acetic	octowy
acetylene	acetylen
ache	ból
achieve	osiągać
achieved	osiągnięty
achievement	osiągnięcie
aching	zbolały
achy	achy
acid	kwas
acidity	kwasowość
acknowledge	uznać
acknowledged	potwierdzone
acknowledgement	potwierdzenie
acknowledgment	potwierdzenie
acme	kulminacja
acne	trądzik
acorn	żołądź
acoustic	akustyczny
acoustics	akustyka
acquaint	zapoznać
acquaintance	znajomy
acquainted	obeznany
acquiescence	przyzwolenie
acquire	nabyć
acquiring	nabywanie
acquisition	nabycie
acquisitions	przejęcia
acquit	uniewinnić
acquittal	uniewinnienie
acre	akr
acreage	areał
acres	włości
acrobat	akrobata
acrylic	akryl
act	działać
acting	gra aktorska
action	akcja
action figure	Figurka
actionable	zaskarżalny
activate	Aktywuj
activation	aktywacja
active	aktywny
activist	aktywista
activity	czynność
actor	aktor
actress	aktorka
actual	rzeczywisty
actuality	rzeczywistość
