Word	ta
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	Aardvark
aback	அதிர்ச்சி
abacus	அபாகஸ்
abalone	Abalone
abandon	கைவிட
abandoned	கைவிடப்பட்ட
abandonment	கைவிட்டதை
abashed	கலங்கும்
abate	Abate
abatement	தணிப்பு
abba	வாரத்திற்கான
abbey	அபே
abbot	NO TRANSLATION
abbreviate	சுருக்கியது
abbreviation	சுருக்கம்
abdomen	வயிறு
abdominal	வயிற்று
abduct	கடத்திச்செல்ல
abduction	கடத்தல்
aberrant	பிறழும்
aberration	பிறழ்ச்சி
abeyance	தற்காலிகமாக நிறுத்தி வைத்தல்
abhor	வெறுப்புக் கொள்
abhorrence	வெறுப்பை
abhorrent	அருவருக்கத்தக்க
abide	என்றென்றும்
abiding	நிலைத்திருப்பவனாகவும்
ability	திறன்
abject	இழிவான
ablation	நீக்கம்
ablaze	தீ
able	முடியும்
abnormal	அசாதாரண
abnormality	அசாதாரணம்
aboard	கப்பலில்
abode	உறைவிடம்
abolish	ஒழிக்கும்
abolition	ஒழித்தல்
abominable	வெறுக்கத்தக்க
abominate	வெறுப்போடு எண்ணு
abomination	அருவருப்பானது
aboriginal	பழங்குடியினர்
abort	கைவிடவோ
abortion	கருக்கலைப்பு
abortive	தோல்வியடைந்த
abound	நிரம்பியுள்ளன
abovementioned	மேலே குறிப்பிட்டுள்ள
abracadabra	NO TRANSLATION
abrasion	சிராய்ப்பு
abrasive	சிராய்ப்பு
abreast	இணையாக
abroad	வெளிநாட்டில்
abrogate	தள்ளுபடி செய்கின்ற
abrupt	திடீர்
abruptly	திடீரென
abscess	கட்டி
absence	இல்லாத
absent	இல்லாமல்
absentee	வராதவர்
absenteeism	வராமலேயே
absinthe	அப்சிந்தே
absolute	அறுதி
absolution	குற்ற
absolve	என்றாகிவிடாது
absorb	உறிஞ்சி
absorbed	உறிஞ்சப்படுகிறது
absorbent	உறிஞ்சக்கூடிய
absorbing	உறிஞ்சும்
absorption	உறிஞ்சுதல்
abstain	தவிர்ப்பதாக
abstention	வாக்களிக்காதது
abstinence	தவிர்ப்பு
abstract	சுருக்க
abstraction	சாராம்சம்
absurd	அபத்தமான
absurdity	அபத்தத்தை
abundance	மிகுதியாக
abundant	ஏராளமாக
abuse	தவறாக
abused	தவறாக
abusive	தவறான
abutment	சார்வு
aby	NO TRANSLATION
abysmal	படு பாதாளமான
abyss	பள்ளத்தை
academic	கல்வி
academy	அகாடமி
accede	இணைவதற்கு
accelerant	accelerant
accelerate	முடுக்கி
accelerated	துரிதப்படுத்தியது
acceleration	முடுக்கம்
accelerator	துரிதப்படுத்தி
accent	உச்சரிப்பு
accentuate	கொடு
accept	ஏற்க
acceptable	ஏற்கத்தக்க
acceptance	ஏற்பு
acceptances	ஏற்றுக்கொள்வதன்
access	அணுகல்
accessible	அணுக
accession	இணக்கத்திற்கான
accessory	துணை
accident	விபத்து
accidental	தற்செயலான
accidentally	தற்செயலாக
acclaim	பாராட்டை
accolade	பட்டத்திற்கு
accommodate	இடமளிக்க
accommodation	விடுதி
accompaniment	அழகுக்காக
accompany	உடன்
accompanying	அதனுடன்
accomplice	மனைவியை
accomplish	சாதிக்க
accomplished	நிறைவேற்றப்படுகிறது
accomplishment	சாதனை
accord	அக்கார்டு
accordance	ஏற்ப
accordion	துருத்தி
account	கணக்கு
accountability	பொறுப்புடைமை
accountable	கணக்கு
accountant	கணக்காளர்
accounting	கணக்கியல்
accounts	கணக்குகள்
accredited	அங்கீகாரம் பெற்ற
accretion	வளர்ச்சிப்பெருக்கத்தின்
accrue	பெறுவார்
accueil	NO TRANSLATION
accumulate	குவிக்க
accumulation	குவியும்
accuracy	துல்லியம்
accurate	துல்லியமான
accursed	சபிக்கப்பட்ட
accusation	குற்றச்சாட்டு
accusative	வேற்றுமையைப்
accuse	குற்றம் சாட்ட
accused	குற்றஞ்சாட்டினார்
accuser	குற்றம் சாட்டிய அந்த
accusing	குற்றம்சாட்டி
accustomed	பழக்கமான
ace	சீட்டு
acetic	அசிட்டிக்
acetylene	அசித்திலீன்
ache	வலி
achieve	அடைய
achieved	அடைய
achievement	சாதனை
aching	வலியேற்படுத்து
achy	achy
acid	அமிலம்
acidity	அமிலத்தன்மை
acknowledge	ஒப்புக்கொள்ள
acknowledged	ஒப்புக்
acknowledgement	ஒப்புகை
acknowledgment	ஒப்புகை
acme	உச்சகட்டமாக
acne	முகப்பரு
acorn	ஏகோர்ன்
acoustic	ஒலி
acoustics	ஒலியியல்
acquaint	தெரியப்படுத்த
acquaintance	அறிமுகம்
acquainted	அறிமுகமானார்
acquiescence	இணங்கியதை
acquire	பெறுவதற்கு
acquiring	பெறுவதற்கான
acquisition	கையகப்படுத்தல்
acquisitions	கையகப்படுத்துதல்
acquit	விடுதலை
acquittal	விடுதலையை
acre	ஏக்கர்
acreage	சூழலா
acres	ஏக்கர்
acrobat	கழைக்கூத்தாடி
acrylic	அக்ரிலிக்
act	நாடகம்
acting	நடிப்பு
action	நடவடிக்கை
action figure	நடவடிக்கை எண்ணிக்கை
