Word	uz
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	shafqatsiz
abacus	abakus
abalone	abalone
abandon	tark eting
abandoned	tark etildi
abandonment	tark etish
abashed	g'azablandi
abate	qisqartirish
abatement	qisqartirish
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	qisqartiring
abbreviation	qisqartirish
abdomen	qorin bo'shlig'i
abdominal	qorin bo'shlig'i
abduct	o'g'rilik
abduction	o'g'rilik
aberrant	achinarli
aberration	aberration
abeyance	abeyance
abhor	Abhor
abhorrence	yomonlik
abhorrent	jirkanch
abide	davom eting
abiding	doimiy
ability	qobiliyat
abject	noqulaylik
ablation	ablasyon
ablaze	yong'in
able	qodir
abnormal	anormal
abnormality	anormallik
aboard	kemada
abode	turar joy
abolish	bekor qilish
abolition	bekor qilish
abominable	jirkanch
abominate	jirkanch
abomination	jirkanish
aboriginal	aboriginal
abort	bekor qilish
abortion	abort qilish
abortive	bekor qilish
abound	mo'l-ko'l
abovementioned	yuqorida aytib o'tilgan
abracadabra	NO TRANSLATION
abrasion	aşınma
abrasive	aşındırıcıdır
abreast	takrorlang
abroad	chet elda
abrogate	bekor qilish
abrupt	keskin
abruptly	to'satdan
abscess	xo'ppoz
absence	yo'qligi
absent	yo'q
absentee	yo'qolgan
absenteeism	yo'qotish
absinthe	absinte
absolute	mutlaq
absolution	yo'qotish
absolve	befoyda
absorb	so'rilishi
absorbed	so'riladi
absorbent	changni yutish
absorbing	changni yutish
absorption	emilim
abstain	Qochin
abstention	qasd qilish
abstinence	chidamsiz
abstract	mavhum
abstraction	ajralish
absurd	absurd
absurdity	bema'nilik
abundance	mo'l-ko'lchilik
abundant	mo'l
abuse	suiste'mol qilish
abused	suiiste'mol qilingan
abusive	tajovuzkor
abutment	abutment
aby	NO TRANSLATION
abysmal	tubsiz
abyss	tubsizlik
academic	akademik
academy	akademiya
accede	qo'shilish
accelerant	tezlashtiruvchi
accelerate	tezlashtirish
accelerated	tezlashdi
acceleration	tezlashtirish
accelerator	tezlashtiruvchi
accent	aks
accentuate	diqqat qilish
accept	qabul qiling
acceptable	qabul qilinadi
acceptance	qabul qilish
acceptances	qabul qilish
access	kirish
accessible	foydalanish mumkin
accession	ishtirok etish
accessory	aksessuar
accident	voqea sodir bo'lgan
accidental	tasodifiy
accidentally	tasodifan
acclaim	mashhurlik
accolade	taqdir
accommodate	joylashtirish
accommodation	turar joy
accompaniment	qo'shiq
accompany	bilan birga keladi
accompanying	bilan birga
accomplice	sherigi
accomplish	bajaring
accomplished	amalga oshdi
accomplishment	erishish
accord	akkord
accordance	muvofiq
accordion	akkordeon
account	hisob qaydnomasi
accountability	hisobdorlik
accountable	javobgar
accountant	buxgalter
accounting	buxgalterlik
accounts	hisoblar
accredited	akkreditatsiyadan o'tgan
accretion	o'sishi
accrue	to'lash
accueil	NO TRANSLATION
accumulate	biriktiriladi
accumulation	to'plash
accuracy	aniqlik
accurate	aniq
accursed	la'natlangan
accusation	ayblov
accusative	aybdor
accuse	ayblash
accused	ayblanuvchi
accuser	ayblovchiga
accusing	ayblashmoqda
accustomed	odat tusiga kirgan
ace	ace
acetic	sirkalik
acetylene	asetilen
ache	og'riq
achieve	erishish
achieved	erishildi
achievement	muvaffaqiyat
aching	aching
achy	achy
acid	kislota
acidity	kislota
acknowledge	tan oling
acknowledged	tan oldi
acknowledgement	tan olish
acknowledgment	tan olish
acme	akme
acne	akne
acorn	chiriyotgan
acoustic	akustik
acoustics	akustika
acquaint	tanishing
acquaintance	tanishlar
acquainted	tanishdi
acquiescence	qabul qilish
acquire	sotib olish
acquiring	sotib olish
acquisition	sotib olish
acquisitions	sotib olish
acquit	oqlash
acquittal	oqlash
acre	acre
acreage	er maydoni
acres	erlar
acrobat	akrobat
acrylic	akril
act	harakat qiling
acting	harakat qilish
action	harakatlar
action figure	harakatlar soni
actionable	ta'sirchan
activate	faollashtirish
activation	aktivlashtirish
active	faol
activist	faol
activity	faoliyati
actor	aktyor
actress	aktrisa
actual	haqiqiy
actuality	dolzarbligi
actuary	aktuar
acuity	keskinlik
acumen	shafqatsizlik
acupuncture	akupunktur
acute	o'tkir
acutely	keskin ravishda
ad	reklama
adage	adage
adamant	nomaqbul
adapt	moslashish
adaptable	moslashuvchan
adaptation	moslashtirish
add	qo'shing
added	qo'shib qo'ydi
addendum	qo'shimcha
adder	terib
addict	qo'shiqchi
addicted	qaram
addiction	giyohvandlik
addictive	qo'shadi
addition	qo'shimcha
additional	qo'shimcha
additive	hissa moddasi
address	manzili
addressee	qabul qiluvchi
addresses	manzillari
adept	usta
adequacy	adekvatlik
adequate	etarli
adhere	saqlang
adherence	sodiqlik
adherent	yopishgan
adhering	yopishgan
adhesion	yopishqoqlik
adhesive	yopishtiruvchi
adieu	adieu
adipose	adipoz
adjacency	qo'shnichilik
adjacent	ulashgan
adjective	sifati
adjoining	qo'shni
adjourn	kechikish
adjournment	kechiktirish
adjudicate	qaror qabul qilish
adjudication	sud qarorlari
adjunct	adjunkt
adjust	sozlang
adjuster	sozlovchi
