Word	ga
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abacus
abalone	abalone
abandon	tréigthe
abandoned	tréigthe
abandonment	tréigean
abashed	briseadh
abate	abate
abatement	laghdaithe
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	abreviate
abbreviation	giorrúchán
abdomen	bolg
abdominal	bhoilg
abduct	fuadach
abduction	fuadach
aberrant	aberrant
aberration	aberration
abeyance	éirí as
abhor	abhor
abhorrence	abhorrence
abhorrent	abhorrent
abide	cloí
abiding	ag luí
ability	cumas
abject	abject
ablation	ablation
ablaze	ablaze
able	in ann
abnormal	neamhghnácha
abnormality	neamhghnácha
aboard	ar bord
abode	cónaí
abolish	díothú
abolition	díothú
abominable	abominable
abominate	abominable
abomination	abomination
aboriginal	dúshlánach
abort	maolú
abortion	ginmhilleadh
abortive	géarmhíochaine
abound	go leor
abovementioned	thuasluaite
abracadabra	abracadabra
abrasion	abrasion
abrasive	scríobach
abreast	ar an eolas
abroad	thar lear
abrogate	aisghabháil
abrupt	bruscair
abruptly	go tobann
abscess	abscess
absence	easpa
absent	as láthair
absentee	neamhláithreach
absenteeism	neamhláithreacht
absinthe	absinthe
absolute	iomlán
absolution	absolution
absolve	urscaoileadh
absorb	ionsú
absorbed	ionsú
absorbent	absorbent
absorbing	ag ionsú
absorption	ionsú
abstain	staonadh
abstention	geal
abstinence	staonadh
abstract	teibí
abstraction	tarraingthe
absurd	absurd
absurdity	absurdity
abundance	raidhse
abundant	flúirseach
abuse	mí-úsáid
abused	mí-úsáid
abusive	maoltach
abutment	cleachtas
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	acadúil
academy	Acadamh
accede	aontú
accelerant	luasghéarú
accelerate	dlús a chur
accelerated	luathaithe
acceleration	luasghéarú
accelerator	luasaire
accent	accent
accentuate	accentuate
accept	glacadh leis
acceptable	inghlactha
acceptance	glacadh
acceptances	glactha
access	rochtain
accessible	inrochtana
accession	aontachas
accessory	cúlpháirtí
accident	timpiste
accidental	timpiste
accidentally	de thaisme
acclaim	moladh
accolade	aclaíocht
accommodate	freastal ort
accommodation	cóiríocht
accompaniment	tionlacan
accompany	gabháil leis
accompanying	in éineacht le
accomplice	comhchomhairle
accomplish	accomplish
accomplished	i gcrích
accomplishment	hIodáile
accord	de réir
accordance	gcomhréir
accordion	cairdín
account	cuntas
accountability	cuntasacht
accountable	cuntasach
accountant	cuntasóir
accounting	cuntasaíochta
accounts	cuntais
accredited	creidiúnaithe
accretion	creidiúnú
accrue	fabhraigh
accueil	NO TRANSLATION
accumulate	charnadh
accumulation	carnadh
accuracy	cruinneas
accurate	cruinn
accursed	scamallach
accusation	líomhaintí
accusative	accusative
accuse	chosc
accused	cúisí
accuser	accuser
accusing	accusing
accustomed	i dtaithí
ace	ace
acetic	aicéiteach
acetylene	acetiléin
ache	pian
achieve	a bhaint amach
achieved	bainte amach
achievement	gnóthachtáil
aching	aching
achy	achy
acid	aigéad
acidity	aigéadacht
acknowledge	admháil
acknowledged	admhaíodh
acknowledgement	admháil
acknowledgment	admháil
acme	acme
acne	acne
acorn	acorn
acoustic	fuaimiúil
acoustics	acoustics
acquaint	aithne
acquaintance	aithne
acquainted	eolas
acquiescence	dífháil
acquire	a fháil
acquiring	a fháil
acquisition	fála
acquisitions	éadálacha
acquit	scaoileadh
acquittal	scaoileadh
acre	acra
acreage	acra
acres	acra
acrobat	acrobat
acrylic	aicrileach
act	gníomhú
acting	ag gníomhú di
action	gníomh
action figure	figiúr gníomhaíochta
actionable	gníomhú
activate	gníomhachtaigh
activation	gníomhachtú
active	gníomhach
activist	gníomhaí
activity	gníomhaíocht
actor	aisteoir
actress	aisteoir
actual	iarbhír
actuality	iarbhír
actuary	achtúire
acuity	géilleadh
acumen	acumen
acupuncture	acupuncture
acute	géarmhíochaine
acutely	go mór
ad	ad
adage	adage
adamant	adamant
adapt	oiriúnú
adaptable	inoiriúnaithe
adaptation	oiriúnú
add	cuir
added	curtha leis
addendum	aguisín
adder	bréagán
addict	addict
addicted	toghlach
addiction	andúil
addictive	andúileach
addition	Chomh maith leis sin
additional	breise
additive	breiseán
address	seoladh
addressee	seolaí
addresses	seoltaí
adept	oiriúnach
adequacy	leordhóthanacht
adequate	leordhóthanach
adhere	cloí
adherence	cloí
adherent	leanbh
adhering	ag cloí leis
adhesion	greamaitheacht
adhesive	greamaitheach
adieu	adieu
adipose	adipose
adjacency	in aice láimhe
adjacent	in aice
adjective	aidiacht
adjoining	in aice láimhe
adjourn	atráth
adjournment	atráth
adjudicate	breithniú
adjudication	breithniú
adjunct	adjunct
adjust	coigeartú
adjuster	coigeartóir
adjustment	coigeartú
adjuvant	aidiúvach
admin	admin
administer	riaradh
administration	riarachán
administrative	riaracháin
administrator	riarthóir
admirable	ionmholta
admiral	mhóiléir
admiralty	maireachtáil
admiration	admiration
admire	admire
admired	admired
admirer	admirer
admiring	ag admiring
admissibility	inghlacthacht
admissible	inghlactha
admission	iontráil
admit	admháil
admittance	admháil
admitted	admhaíodh
