Word	ko
aaaaaaah	아아아아아
aaaah	NO TRANSLATION
aardvark	지루한 마음
aback	허풍
abacus	주판
abalone	전복
abandon	버리다
abandoned	버려진
abandonment	포기
abashed	부끄러워
abate	약화시키다
abatement	감소
abba	아바
abbey	대사원
abbot	NO TRANSLATION
abbreviate	줄여 쓰다
abbreviation	약어
abdomen	복부
abdominal	복부의
abduct	납치하다
abduction	유 괴
aberrant	이상한
aberration	수차
abeyance	중지
abhor	싫어하다
abhorrence	혐오
abhorrent	혐오스러운
abide	머물다
abiding	준수하다
ability	능력
abject	비열한
ablation	제거
ablaze	불타는
able	할 수 있는
abnormal	비정상적인
abnormality	이상
aboard	배로
abode	주소
abolish	폐하다
abolition	폐지
abominable	가증스러운
abominate	가증 한
abomination	질색
aboriginal	원주민
abort	중단하다
abortion	유산
abortive	불완전한
abound	많이 있다
abovementioned	위에서 언급 한
abracadabra	헛소리
abrasion	연마
abrasive	연마제
abreast	나란히
abroad	널리
abrogate	폐지하다
abrupt	험준한
abruptly	갑자기
abscess	농양
absence	부재
absent	없는
absentee	부재자
absenteeism	장기 결석
absinthe	압생트
absolute	순수한
absolution	사면
absolve	면제하다
absorb	없애다
absorbed	흡수 된
absorbent	흡착제
absorbing	흡수하는
absorption	흡수
abstain	기권하다
abstention	기권
abstinence	절제
abstract	추상
abstraction	추출
absurd	불합리한
absurdity	부조리
abundance	풍부
abundant	풍부한
abuse	남용
abused	학대받는
abusive	남용
abutment	인접
aby	NO TRANSLATION
abysmal	최악의
abyss	심연
academic	학생
academy	학원
accede	액트
accelerant	촉진제
accelerate	가속하다
accelerated	가속 된
acceleration	가속
accelerator	촉진 신경
accent	악센트
accentuate	강조하다
accept	받아 들인다
acceptable	수용 가능한
acceptance	수락
acceptances	수락
access	접속하다
accessible	얻기 쉬운
accession	가입
accessory	종범
accident	사고
accidental	우연한
accidentally	우윤히
acclaim	환호
accolade	영예
accommodate	수용하다
accommodation	적응
accompaniment	반주
accompany	따르게 하다
accompanying	따르는
accomplice	공범자
accomplish	달하다
accomplished	뛰어난
accomplishment	성취
accord	일치
accordance	일치
accordion	아코디언
account	계정
accountability	책임
accountable	책임감있는
accountant	회계사
accounting	회계
accounts	계정
accredited	공인 된
accretion	증가
accrue	생기다
accueil	NO TRANSLATION
accumulate	모으다
accumulation	축적
accuracy	정확성
accurate	정확한
accursed	저주 받은
accusation	고발
accusative	대격
accuse	고소하다
accused	고발 당한
accuser	고발인
accusing	비난하는
accustomed	익숙한
ace	에이스
acetic	초의
acetylene	아세틸렌
ache	아픔
achieve	이루다
achieved	달성 된
achievement	성취
aching	아프다
achy	아픈
acid	산
acidity	신맛
acknowledge	인정하다
acknowledged	인정한
acknowledgement	승인
acknowledgment	승인
acme	절정
acne	좌창
acorn	도토리
acoustic	음향학
acoustics	음향학
acquaint	의히 알게 하다
acquaintance	아는 사람
acquainted	정통한
acquiescence	묵종
acquire	얻다
acquiring	취득
acquisition	취득
acquisitions	인수
acquit	무죄하다
acquittal	무죄 방면
acre	에이커
acreage	토지
acres	에이커
acrobat	곡예사
acrylic	아크릴
act	행위
acting	연기
action	동작
action figure	액션 피규어
actionable	실행 가능한
activate	활성화하다
activation	활성화
active	유효한
activist	활동가
activity	활동
actor	배우
actress	여배우
actual	실제의
actuality	현실
actuary	보험 수리사
acuity	날카로움
acumen	예리함
acupuncture	침 요법
acute	심각한
acutely	심하게
ad	광고
adage	금언
adamant	단호한
adapt	개조 하다
adaptable	적응할 수 있는
adaptation	적응
add	더하다
added	추가 된
addendum	추가
adder	가산기
addict	중독자
addicted	중독 된
addiction	탐닉
addictive	중독성의
addition	부가
additional	추가의
additive	첨가물
address	주소
addressee	수신인
addresses	구애
adept	정통한
adequacy	적절
adequate	알맞은
adhere	고착하다
adherence	부착
adherent	자기편
adhering	고착하는
adhesion	부착
adhesive	점착제
adieu	안녕
adipose	지방
adjacency	인접
adjacent	인접한
adjective	형용사
adjoining	인접한
adjourn	연기하다
adjournment	연기
adjudicate	판결하다
adjudication	판결
adjunct	부가어
adjust	맞추다
adjuster	조정자
adjustment	조정
adjuvant	보조제
admin	관리자
administer	관리하다
administration	관리
administrative	행정의
administrator	관리자
admirable	훌륭한
admiral	해군 대장
admiralty	해군 대장
admiration	감탄
admire	감탄하다
admired	존경하는
admirer	숭배자
admiring	감탄하는
admissibility	허용 성
admissible	허용할만한
admission	입장
admit	들이다
admittance	입장
admitted	인정 된
admitting	인정하다
admixture	혼합
admonition	훈계
ado	야단법석
adobe	어도비 벽돌
adolescence	청년기
adolescent	한창 젊은
adopt	채택하다
adoption	양자
adoptive	입양아
adorable	홀딱 반할 만한
adoration	동경
adore	경앙하다
adoring	숭배하는
adorn	꾸미다
adornment	장식품
adrenalin	아드레날린
adrenaline	아드레날린
adrift	떠돌아
adult	성인
adulterated	불량
adulterer	간부
adultery	간통
adulthood	성인 임
advance	전진
advanced	많은
advancement	진보
advancing	전진하는
advantage	이점
advantageous	유리한
advent	출현
adventure	모험
adventurer	모험가
adventures	모험
adventurous	모험심이 많은
adversary	적
adverse	불리한
adversity	역경
advertise	공시 하다
advertisement	광고
advertising	광고하는
adverts	광고
advice	조언
advisable	타당한
advise	권하다
advised	조언받은
advisement	권고
adviser	고문
advisor	고문
advisory	자문
advocacy	옹호
advocate	대변자
aegis	보호
aeration	폭기
aerial	공중선
aerobics	에어로빅
aerodrome	비행장
aerodynamic	공기 역학의
aerodynamics	공기 역학
aeronautics	항공학
aeroplane	비행기
aerospace	항공 우주
aesthetic	심미적 인
aesthetics	미학
aetiology	병인학
afar	멀리
affable	상냥한
affair	일
affect	감정
affecting	영향을 미치는
affection	애정
affectionate	애정 어린
affections	애정
affiche	NO TRANSLATION
affidavit	선서 진술서
affiliated	계열사
affiliation	입회
affinity	유연
affirm	긍정하다
affirmation	확언
affirmative	긍정의
affirmatively	긍정의
affix	부착
afflict	괴롭히다
afflicted	괴로워하는
affliction	고통
affluence	풍부
affluent	풍족한
afford	여유가있다
affordable	저렴한
affront	모욕
affronted	부끄러운
afield	외지의
afire	화재
afloat	떠서
afore	전에
aforementioned	앞서 말한
aforesaid	전술 한
afraid	두려워하는
afresh	새로이
african	아프리카 사람
aft	후미
afterlife	내세
aftermath	여파
afternoon	대낮
aftershave	애프터 셰 이브
aftertaste	뒷맛
afterthought	보적
aga	NO TRANSLATION
agape	입을 딱 벌리고
agate	마노
age	나이
aged	늙은
agency	대리점
agenda	비망록
agent	에이전트
agglomeration	응집
aggravate	화나게 하다
aggravated	악화 된
aggravates	악화시키다
aggravating	악화시키는
aggravation	악화
aggregate	골재
aggregation	집합
aggresive	NO TRANSLATION
aggression	침략
aggressive	적극적인
aggressively	공격적으로
aggressiveness	공격
aggressor	침략자
agh	아
aghast	깜짝 놀라
aghhh	NO TRANSLATION
agile	기민한
agility	민첩
aging	노화
agitate	흔들다
agitated	흥분한
agitation	동요
aglow	불타서
agnostic	불가 지론의
ago	...전에
agonizing	고뇌하는
agony	고뇌
agoraphobia	광장 공포증
agree	동의하다
agreeable	기분 좋은
agreed	동의했다
agreeing	동의하다
agreement	협정
agressive	NO TRANSLATION
agricultural	농업의
agriculture	농업
aground	좌회전하다
agua	NO TRANSLATION
ahead	앞으로
ahhh	아아아
ahhhhhhhh	NO TRANSLATION
ahoy	아호이
aid	도움
aide	보좌관
aiding	원조
aids	에이즈
ail	괴롭히다
ailing	병든
ailment	병
aim	목표
aimless	목적없는
air	공기
airbag	에어백
airborne	공수의
aircraft	항공기
aircraft carrier	항공 모함
airfield	비행장
airhead	공포
airlift	공수
airline	공기 호스
airliner	여객기
airlock	에어락
airman	비행사
airplane	비행기
airport	공항
airs	바람을 피우다
airship	비행선
airspace	공적
airspeed	속도
airstrip	활주로
airtight	기밀
airway	기도
aisle	통로
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	일명
akin	유사
alabaster	설화 석고
alarm	경보
alarm clock	알람 시계
alarmed	놀란
alarming	놀라운
alas	아아
alb	NO TRANSLATION
albatross	신천옹
albino	흰둥이
album	앨범
alchemy	연금술
alcohol	알코올
alcoholic	알콜 중독의
alcoholism	대주
alcove	반침
alderman	구청장
ale	NO TRANSLATION
alert	경보
alertness	경보
alerts	경고
alfalfa	알팔파
algebra	대수학
algebraic	대수학의
algorithm	연산
alias	별명
alibi	구실
alien	외계인
alienate	소외시키다
alienated	소외 된
alienation	소원
alight	불타고
align	정렬하다
aligned	정렬 된
alignment	조정
alike	서로 같은
alimentation	NO TRANSLATION
alimony	별거 수당
aliquot	분액
alive	살아 있는
alkali	알칼리
alkaloids	알칼로이드
allay	어레인지
allegation	진술
allege	주장하다
alleged	혐의가있는
allegiance	충성
allegorical	우화적인
allegory	우화
allegro	알레그로
allergic	알레르기가있는
allergy	알레르기
alleviate	덜다
alleviation	경감
alley	골목
alleyway	골목
alliance	동맹
allied	결연한
alligator	악어
allocate	할당하다
allocation	배당
allot	배당하다
allotment	할당
allow	허용하다
allowable	허용되는
allowance	수당
allowed	허용 된
alloy	합금
allsmiles	NO TRANSLATION
allure	매력
alluring	고혹적 인
allusion	암시
alluvial	충적의
ally	동맹국
almanac	달력
almighty	전능자
almond	아몬드
aloft	위에
aloha	알로하
alone	혼자
alongside	나란히
aloof	쌀쌀한
aloud	소리 내어
alpha	알파
alphabet	알파벳
alphabetical	알파벳순의
alpine	알파인
alreadyyyyy	벌써부터
altar	제단
altar boy	제단 소년
alter	바꾸다
alteration	변경
altercation	언쟁
altered	변경된
alternate	번갈아 하는
alternating	교번하는
alternative	대안
altimeter	고도계
altitude	고도
alto	알토
altogether	전부
aluminum	알류미늄
alumnus	학생
alveolar	폐포
alzheimers	NO TRANSLATION
amalgam	아말감
amalgamation	융합
amaretto	아마 레토
amass	쌓다
amateur	아마추어
amaze	몹시 놀라게 하다
amazed	놀란
amazedness	NO TRANSLATION
amazement	놀람
amazing	놀랄 만한
amazingly	놀랍게도
ambassador	대사
amber	호박색
ambience	분위기
ambient	주위의
ambiguity	모호
ambiguous	모호한
ambit	범위
ambition	큰 뜻
ambitious	거창한
ambivalent	양가의
ambrosia	디저트
ambulance	구급차
ambush	매복
ameliorate	개량하다
amen	아멘
amenable	받을 수 있는
amend	고치다
amendment	개정
amends	보상
amenity	예의
amethyst	자수정
amiable	붙임성 있는
amicable	우호적 인
amid	의 속에
amidst	가운데
amino	아미노
ammo	탄약
ammonia	암모니아
ammonium	암모늄
ammunition	탄약
amnesia	기억력 상실
amnesty	특사
amorous	요염한
amorphous	비정질의
amortization	할부 상환
amount	양
amour	NO TRANSLATION
amp	앰프
ampersand	앰퍼샌드
amphetamines	암페타민
amphibian	수륙 양용 비행기
amphibious	수륙 양용의
amphitheater	원형 극장
ample	앰플
amplification	확대
amplify	더욱 상 세히 하다
amplitude	진폭
