Word	bs
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abakus
abalone	abalone
abandon	napuštanje
abandoned	napušteno
abandonment	napuštanje
abashed	ubrzano
abate	smanjiti
abatement	smanjenje
abba	abba
abbey	abbey
abbot	opat
abbreviate	skraćeno
abbreviation	skraćenica
abdomen	abdomen
abdominal	abdominalna
abduct	otmica
abduction	otmica
aberrant	aberrantan
aberration	aberacija
abeyance	abeyance
abhor	uznemiri se
abhorrence	aborencija
abhorrent	odvratan
abide	pridržavati se
abiding	poštovanje
ability	sposobnost
abject	abject
ablation	ablacija
ablaze	plamen
able	sposoban
abnormal	abnormalno
abnormality	abnormalnost
aboard	na brodu
abode	prebivalište
abolish	ukinuti
abolition	ukidanje
abominable	odvratno
abominate	abominate
abomination	abomination
aboriginal	Aboriginal
abort	abort
abortion	abortus
abortive	abortivno
abound	obiluje
abovementioned	gore pomenuto
abracadabra	abracadabra
abrasion	abrazija
abrasive	abrazivni
abreast	uskoro
abroad	u inostranstvu
abrogate	ukinuti
abrupt	naglo
abruptly	iznenada
abscess	apsces
absence	odsustvo
absent	odsutan
absentee	odsutan
absenteeism	odsustvo
absinthe	absinthe
absolute	apsolutno
absolution	oproštaj
absolve	oslobodi se
absorb	apsorbirati
absorbed	apsorbovan
absorbent	apsorbent
absorbing	apsorbira
absorption	apsorpcija
abstain	apstinirati
abstention	apstinencija
abstinence	apstinencija
abstract	apstraktno
abstraction	apstrakcija
absurd	apsurdno
absurdity	apsurd
abundance	obilje
abundant	obilno
abuse	zloupotreba
abused	zlostavljani
abusive	uvredljiv
abutment	abutment
aby	NO TRANSLATION
abysmal	nespretno
abyss	ponor
academic	akademski
academy	akademija
accede	pristupiti
accelerant	accelerant
accelerate	ubrzati
accelerated	ubrzano
acceleration	ubrzanje
accelerator	akcelerator
accent	naglasak
accentuate	naglašavaju
accept	prihvatiti
acceptable	prihvatljivo
acceptance	prihvatanje
acceptances	prihvatanja
access	pristup
accessible	pristupačno
accession	pristupanje
accessory	dodatak
accident	nesreća
accidental	slučajno
accidentally	slučajno
acclaim	priznajem
accolade	priznanje
accommodate	smjestiti
accommodation	smještaj
accompaniment	pratnja
accompany	pratite
accompanying	prateći
accomplice	saučesnik
accomplish	postići
accomplished	ispunjeno
accomplishment	dostignuća
accord	sporazum
accordance	saglasnost
accordion	harmonika
account	račun
accountability	odgovornost
accountable	odgovorni
accountant	računovođa
accounting	računovodstvo
accounts	račune
accredited	akreditovan
accretion	accretion
accrue	accrue
accueil	NO TRANSLATION
accumulate	akumulirati
accumulation	akumulacija
accuracy	tačnost
accurate	tačan
accursed	proklet
accusation	optužba
accusative	akuzativ
accuse	optužuje
accused	optuženi
accuser	optužilac
accusing	optužujući
accustomed	Naviknut
ace	ace
acetic	sirćetna
acetylene	acetilen
ache	boli
achieve	postići
achieved	postignut
achievement	postignuće
aching	boli
achy	achy
acid	kiselina
acidity	kiselost
acknowledge	priznati
acknowledged	priznat
acknowledgement	priznanje
acknowledgment	priznanje
acme	acme
acne	akne
acorn	acorn
acoustic	akustični
acoustics	akustika
acquaint	upoznajte
acquaintance	poznanik
acquainted	upoznati
acquiescence	pristanak
acquire	nabaviti
acquiring	sticanje
acquisition	akvizicija
acquisitions	akvizicije
acquit	osloboditi
acquittal	oslobađajuću presudu
acre	acre
acreage	površina
acres	ari
acrobat	acrobat
acrylic	akril
act	činiti
acting	glumi
action	akcija
action figure	akciona figura
actionable	djelotvorno
activate	aktivirati
activation	aktivacija
active	aktivan
activist	aktivistkinja
activity	aktivnost
actor	glumac
actress	glumica
actual	stvarno
actuality	aktualnost
actuary	aktuar
acuity	ostrva
acumen	acumen
acupuncture	akupunktura
acute	akutni
acutely	akutno
ad	ad
adage	adage
adamant	adamantan
adapt	adaptirati
adaptable	prilagodljiv
adaptation	adaptacija
add	dodati
added	dodato
addendum	addendum
adder	sabirnica
addict	zavisnik
addicted	ovisnik
addiction	zavisnost
addictive	zavisnost
addition	dodatak
additional	dodatno
additive	aditiv
address	adresa
addressee	adresu
addresses	adrese
adept	adept
adequacy	adekvatnost
adequate	adekvatno
adhere	Pridržavajte se
adherence	pridržavanje
adherent	adherent
adhering	Pridržavati se
adhesion	adhezija
adhesive	lepak
adieu	adieu
adipose	adipozno
adjacency	susedstvo
adjacent	susedno
adjective	pridjev
adjoining	susedno
adjourn	pauza
adjournment	pauza
adjudicate	presuda
adjudication	presuđivanje
adjunct	dodatak
adjust	prilagodite
adjuster	regulator
adjustment	podešavanje
adjuvant	adjuvant
admin	admin
administer	administrirati
administration	administracija
administrative	administrativni
administrator	administrator
admirable	divno
admiral	admiral
admiralty	admiralitet
admiration	divljenje
admire	divim se
admired	divio se
admirer	obožavalac
admiring	divio se
admissibility	prihvatljivost
admissible	dopušteno
admission	prijem
admit	priznati
admittance	admitanse
admitted	priznao
admitting	priznaje
admixture	dodatak
admonition	opomena
ado	ado
adobe	adobe
adolescence	adolescencija
adolescent	adolescent
adopt	usvojiti
adoption	usvajanje
adoptive	usvojitelj
adorable	neobično
