Word	fr
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	Aardvark
aback	abasourdi
abacus	abaque
abalone	ormeau
abandon	abandonner
abandoned	abandonné
abandonment	abandon
abashed	confus
abate	diminuer
abatement	réduction
abba	abba
abbey	une abbaye
abbot	abbé
abbreviate	abréger
abbreviation	abréviation
abdomen	abdomen
abdominal	abdominal
abduct	enlever
abduction	enlèvement
aberrant	aberrant
aberration	aberration
abeyance	situation en suspens
abhor	abhorrer
abhorrence	horreur
abhorrent	odieux
abide	respecter
abiding	respectueux
ability	aptitude
abject	abject
ablation	ablation
ablaze	en feu
able	capable
abnormal	anormal
abnormality	anomalie
aboard	une planche
abode	demeure
abolish	abolir
abolition	abolition
abominable	abominable
abominate	abominer
abomination	abomination
aboriginal	Aborigène
abort	avorter
abortion	Avortement
abortive	abortif
abound	abonder
abovementioned	mentionné ci-dessus
abracadabra	abracadabra
abrasion	abrasion
abrasive	abrasif
abreast	au courant
abroad	à l'étranger
abrogate	abroger
abrupt	brusque
abruptly	brusquement
abscess	abcès
absence	absence
absent	absent
absentee	absent
absenteeism	absentéisme
absinthe	Absinthe
absolute	absolu
absolution	absolution
absolve	absoudre
absorb	absorber
absorbed	absorbé
absorbent	absorbant
absorbing	absorbant
absorption	absorption
abstain	abstention
abstention	abstention
abstinence	abstinence
abstract	abstrait
abstraction	abstraction
absurd	absurde
absurdity	absurdité
abundance	abondance
abundant	abondant
abuse	abuser de
abused	abusé
abusive	injurieux
abutment	butée
aby	NO TRANSLATION
abysmal	épouvantable
abyss	abîme
academic	académique
academy	académie
accede	adhérer
accelerant	accélérateur
accelerate	accélérer
accelerated	accéléré
acceleration	accélération
accelerator	accélérateur
accent	accent
accentuate	accentuer
accept	Acceptez
acceptable	acceptable
acceptance	acceptation
acceptances	acceptations
access	accès
accessible	accessible
accession	accession
accessory	accessoire
accident	accident
accidental	accidentel
accidentally	accidentellement
acclaim	acclamer
accolade	accolade
accommodate	accommoder
accommodation	hébergement
accompaniment	accompagnement
accompany	accompagner
accompanying	accompagnement
accomplice	complice
accomplish	accomplir
accomplished	accompli
accomplishment	accomplissement
accord	accord
accordance	conformité
accordion	accordéon
account	Compte
accountability	responsabilité
accountable	responsable
accountant	comptable
accounting	comptabilité
accounts	comptes
accredited	accrédité
accretion	accumulation
accrue	accumuler
accueil	NO TRANSLATION
accumulate	accumuler
accumulation	accumulation
accuracy	précision
accurate	précis
accursed	maudit
accusation	accusation
accusative	accusatif
accuse	accuser
accused	accusé
accuser	accusateur
accusing	accuser
accustomed	habitué
ace	as
acetic	acétique
acetylene	acétylène
ache	mal
achieve	atteindre
achieved	atteint
achievement	réussite
aching	douloureux
achy	achy
acid	acide
acidity	acidité
acknowledge	reconnaître
acknowledged	reconnu
acknowledgement	reconnaissance
acknowledgment	reconnaissance
acme	acmé
acne	acné
acorn	gland
acoustic	acoustique
acoustics	acoustique
acquaint	informer
acquaintance	connaissance
acquainted	connaissance
acquiescence	consentement
acquire	acquérir
acquiring	acquérir
acquisition	acquisition
acquisitions	les acquisitions
acquit	acquitter
acquittal	acquittement
acre	acre
acreage	superficie
acres	acres
acrobat	acrobate
acrylic	acrylique
act	acte
acting	agissant
action	action
action figure	figurine
actionable	actionable
activate	Activer
activation	Activation
active	actif
activist	activiste
activity	activité
actor	acteur
actress	actrice
actual	réel
actuality	actualité
actuary	actuaire
acuity	acuité
acumen	perspicacité
acupuncture	acupuncture
acute	aigu
acutely	intensément
ad	un d
adage	adage
adamant	catégorique
adapt	adapter
adaptable	adaptable
adaptation	adaptation
add	ajouter
added	ajoutée
addendum	Addenda
adder	additionneur
addict	toxicomane
addicted	intoxiqué
addiction	dépendance
addictive	addictif
addition	une addition
additional	Additionnel
additive	additif
address	adresse
addressee	destinataire
addresses	adresses
adept	expert
adequacy	adéquation
adequate	adéquat
adhere	adhérer
adherence	adhérence
adherent	adhérent
adhering	adhérant
adhesion	adhésion
adhesive	adhésif
adieu	Adieu
adipose	adipeux
adjacency	proximité
adjacent	adjacent
adjective	adjectif
adjoining	attenant
adjourn	ajourner
adjournment	ajournement
adjudicate	juger
adjudication	arbitrage
adjunct	auxiliaire
adjust	régler
adjuster	ajusteur
adjustment	ajustement
adjuvant	adjuvant
admin	administrateur
administer	administrer
administration	administration
administrative	administratif
administrator	administrateur
admirable	admirable
admiral	amiral
admiralty	amirauté
admiration	admiration
admire	admirer
admired	admiré
admirer	admirateur
admiring	admiratif
admissibility	admissibilité
admissible	admissible
admission	admission
admit	admettre
admittance	admission
admitted	admis
admitting	admettant
admixture	mélange
admonition	admonition
ado	ado
adobe	adobe
adolescence	adolescence
adolescent	adolescent
adopt	adopter
adoption	adoption
adoptive	adoptif
adorable	adorable
adoration	adoration
adore	adorer
adoring	adorer
adorn	orner
adornment	ornement
adrenalin	adrénaline
adrenaline	adrénaline
adrift	à la dérive
adult	adulte
adulterated	frelaté
adulterer	adultère
adultery	adultère
adulthood	l'âge adulte
advance	avance
advanced	Avancée
advancement	avancement
advancing	avancer
advantage	avantage
advantageous	avantageux
advent	avènement
