Word	ny
aaaaaaah	aaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	onyoza
abacus	abacus
abalone	abalone
abandon	kusiya
abandoned	anasiya
abandonment	kusiya
abashed	kunyozedwa
abate	abate
abatement	kuwombera
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	mwachidule
abbreviation	kufotokoza
abdomen	mimba
abdominal	m'mimba
abduct	kuwombera
abduction	kutenga
aberrant	zovuta
aberration	kuchotsedwa
abeyance	kusungulumwa
abhor	kudana
abhorrence	kudana
abhorrent	zonyansa
abide	khalani
abiding	kukhala
ability	luso
abject	zovuta
ablation	kupuma
ablaze	kutentha
able	amatha
abnormal	zachilendo
abnormality	kusalongosoka
aboard	kukwera
abode	amakhala
abolish	kuthetseratu
abolition	kuthetsa
abominable	zonyansa
abominate	zonyansa
abomination	chonyansa
aboriginal	aboriginal
abort	kubwezeretsa
abortion	kuchotsa mimba
abortive	kuchotsa mimba
abound	wochuluka
abovementioned	pamwambapa
abracadabra	abracadabra
abrasion	abrasion
abrasive	zovuta
abreast	zovuta
abroad	kunja
abrogate	kubwetsani
abrupt	mofulumira
abruptly	mwadzidzidzi
abscess	abscess
absence	kupezeka
absent	palibe
absentee	palibe
absenteeism	kupezeka
absinthe	absinthe
absolute	mtheradi
absolution	kusinthika
absolve	tsimikizani
absorb	atenge
absorbed	adatengeka
absorbent	kulandira
absorbing	kumvetsera
absorption	kuyamwa
abstain	pewani
abstention	kusasamala
abstinence	kudziletsa
abstract	zovuta
abstraction	kuchoka
absurd	zopanda pake
absurdity	zopanda pake
abundance	kuchuluka
abundant	wochuluka
abuse	nkhanza
abused	amachitira nkhanza
abusive	amwano
abutment	chigamulo
aby	NO TRANSLATION
abysmal	zovuta
abyss	kuphompho
academic	wophunzira
academy	academy
accede	kuvomereza
accelerant	imathandizira
accelerate	fulumira
accelerated	inapita patsogolo
acceleration	kuthamanga
accelerator	accelerator
accent	kulapa
accentuate	accentuate
accept	kuvomereza
acceptable	zovomerezeka
acceptance	kuvomereza
acceptances	zovomerezeka
access	kupeza
accessible	kupezeka
accession	kufalitsa
accessory	zofikira
accident	ngozi
accidental	mwangozi
accidentally	mwangozi
acclaim	ayamikike
accolade	kuvomereza
accommodate	malo
accommodation	malo ogona
accompaniment	pamodzi
accompany	tsatirani
accompanying	motsatana ndi
accomplice	chiyanjano
accomplish	kukwaniritsa
accomplished	zatheka
accomplishment	zopindulitsa
accord	mogwirizana
accordance	malinga
accordion	accordion
account	akaunti
accountability	kuyankha
accountable	ndikuyankha
accountant	wowerengera
accounting	zowerengera
accounts	nkhani
accredited	ovomerezeka
accretion	kuvomereza
accrue	yowonjezera
accueil	NO TRANSLATION
accumulate	gwirani
accumulation	kudzikundikira
accuracy	molondola
accurate	zolondola
accursed	wotembereredwa
accusation	mlandu
accusative	wotsutsa
accuse	amatsutsa
accused	amatsutsidwa
accuser	wotsutsa
accusing	akuimba mlandu
accustomed	ankazoloŵera
ace	ace
acetic	acetic
acetylene	acetylene
ache	ache
achieve	kukwaniritsa
achieved	zatheka
achievement	kupambana
aching	kupuma
achy	achy
acid	asidi
acidity	acidity
acknowledge	kuvomereza
acknowledged	adavomereza
acknowledgement	kuvomereza
acknowledgment	kuvomereza
acme	acme
acne	ziphuphu
acorn	chikondwerero
acoustic	zokondweretsa
acoustics	zojambula
acquaint	mumadziwana
acquaintance	chidziwitso
acquainted	wodziwa bwino
acquiescence	kuvomereza
acquire	kupeza
acquiring	kupeza
acquisition	kupeza
acquisitions	kupeza
acquit	pezani
acquittal	kumasula
acre	acre
acreage	zovuta
acres	maekala
acrobat	acrobat
acrylic	acrylic
act	chitani
acting	kuchita
action	zochita
action figure	chiwerengero chachithunzi
actionable	kuchita
activate	yambani
activation	kutsegulira
active	yogwira ntchito
activist	wotsutsa
activity	ntchito
actor	wojambula
actress	wojambula
actual	zenizeni
