Word	xh
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	i-aardvark
aback	ukuphazamiseka
abacus	abacus
abalone	abalone
abandon	ukushiya
abandoned	lahliwe
abandonment	ukushiya
abashed	zihlazo
abate	kuphelisa
abatement	ukuxothwa
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	ezifingqiweyo
abbreviation	ngcaciso
abdomen	esiswini
abdominal	esiswini
abduct	ku thabatha
abduction	kuthathwa
aberrant	elimnyama
aberration	ukuhlutha
abeyance	ukunyanzela
abhor	uyanyanyeka
abhorrence	ukunyanyeka
abhorrent	ku nyelisa
abide	kuhlala
abiding	ukuhlala
ability	amandla
abject	ephazamisayo
ablation	ku pheliswa
ablaze	sitshisa
able	unakho
abnormal	engavamile
abnormality	okungaqhelekanga
aboard	ngenelo
abode	kuhlala
abolish	phelisa
abolition	ku pheliswa
abominable	sikizi
abominate	sikizi
abomination	sikizi
aboriginal	oomthonyama
abort	ukukhupha
abortion	isisu
abortive	ku khusela
abound	lileyo
abovementioned	ngasentla
abracadabra	NO TRANSLATION
abrasion	kubhubha
abrasive	ngokukhawuleza
abreast	ezifanelekileyo
abroad	phesheya
abrogate	rhoxiswa
abrupt	ngokukhawuleza
abruptly	ngokukhawuleza
abscess	ikhefu
absence	ukungabikho
absent	engekhoyo
absentee	engekhoyo
absenteeism	ukungabikho
absinthe	i-absinthe
absolute	ngokupheleleyo
absolution	ukungabikho
absolve	ukuphelisa
absorb	ukufumana
absorbed	zifunyenwe
absorbent	umxube
absorbing	ukuxhamla
absorption	u kufakwa
abstain	ziyeke
abstention	ukungabikho
abstinence	ukuziyeka
abstract	ezingabonakaliyo
abstraction	ukukhutshwa
absurd	nganto
absurdity	nganto
abundance	buninzi
abundant	eninzi
abuse	xhatshazwa
abused	xhatshazwa
abusive	kakubi
abutment	nxu lumano
aby	NO TRANSLATION
abysmal	zihlazo
abyss	ngxolongo
academic	zemfundo
academy	sikolo
accede	vumela
accelerant	kha wuleza
accelerate	kha wuleza
accelerated	kha wuleza
acceleration	ukukhawuleza
accelerator	msinya
accent	ukugxila
accentuate	ukugxininisa
accept	kwamkela
acceptable	yamkelekile
acceptance	kwamkelwa
acceptances	kwamkela
access	fi kelelo
accessible	fi keleleka
accession	ufikelelo
accessory	accessory
accident	ngengozi
accidental	ngengozi
accidentally	ngengozi
acclaim	uzuko
accolade	ukuxhamla
accommodate	ukuhlala
accommodation	yokuhlala
accompaniment	uhambelane
accompany	kuhamba kunye
accompanying	ndiyakhapha
accomplice	nxaxheba
accomplish	kufezekisa
accomplished	kufezekiswe
accomplishment	ukufezekiswa
accord	ngokuvumelana
accordance	ngokungqinelanayo
accordion	igrordion
account	akhawunti
accountability	ukuphendula
accountable	xanduva
accountant	umgcini-mali
accounting	ingxelo
accounts	akhawunti
accredited	zivunywe
accretion	mvume
accrue	kuhambelana
accueil	NO TRANSLATION
accumulate	qo kelela
accumulation	ukuqokelela
accuracy	kuchaneka
accurate	echanileyo
accursed	uqalekisiwe
accusation	ityala
accusative	ngetyala
accuse	zimela
accused	utyholwa
accuser	ummangali
accusing	ukumangalela
accustomed	qhe lekile
ace	acece
acetic	acetic
acetylene	acetylene
ache	buhlungu
achieve	phu melela
achieved	phu me lekile
achievement	mpu melelo
aching	ukugula
achy	achy
acid	asidi
acidity	asidi
acknowledge	yavuma
acknowledged	yavuma
acknowledgement	ukuvuma
acknowledgment	ukuvuma
acme	acme
acne	intsimbi
acorn	i-acorn
acoustic	acoustic
acoustics	acoustics
acquaint	qhelana
acquaintance	owaziwayo
acquainted	baziyo
acquiescence	kuzuza
acquire	fumana
acquiring	kuzuza
acquisition	kuzuza
acquisitions	ukufunyanwa
acquit	ku hla wulelwa
acquittal	ukuxolelwa
acre	acre
acreage	i-acreage
acres	iihektare
acrobat	acrobat
acrylic	acrylic
act	isenzo
acting	sebenza
action	nyathelo
action figure	umfanekiso wesenzo
actionable	ku sebenza
activate	kusebenze
activation	ku sebenza
active	esebenzayo
activist	umbhikisho
activity	msebenzi
actor	umdlali
actress	umdlali
actual	ngokwenene
actuality	ekhoyo
actuary	i-actuary
acuity	ubuncwane
acumen	i-acumen
acupuncture	i-acupuncture
acute	sibi
acutely	kakhulu
ad	isikhangiso
adage	idilesi
adamant	ngqinela
adapt	zi lungele
adaptable	zi lungele
adaptation	ulungelelaniso
add	yongeza
added	wongezwa
addendum	isongezelelo
adder	isongeza
addict	umlutha
addicted	umlutha
addiction	umlutha
addictive	umlutha
addition	Ukongeza
additional	eyongezelelweyo
additive	kongeza
address	idilesi
addressee	kongeza
addresses	dilesi
adept	efanelekileyo
adequacy	ngokwaneleyo
adequate	ngokwaneleyo
adhere	uhambelane
adherence	ukubambelela
adherent	ngokuhambelanayo
adhering	ku thobela
adhesion	ukubambelela
adhesive	ukubambelela
adieu	adieu
adipose	adipose
adjacency	esondeleyo
adjacent	kufuphi
adjective	isichazi
adjoining	edibeneyo
adjourn	kuhlaliswa
adjournment	ku rhoxiswa
adjudicate	kugweba
adjudication	kugwetywa
