Word	ar
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	خنزير الأرض
aback	الى الوراء
abacus	طبلية تاج
abalone	أذن البحر
abandon	تخلى
abandoned	مهجور
abandonment	التخلي عن
abashed	خجول
abate	انحسر
abatement	انحسار
abba	أبا
abbey	دير
abbot	رئيس الدير
abbreviate	اختصر
abbreviation	الاختصار
abdomen	بطن
abdominal	البطني
abduct	خطف
abduction	اختطاف
aberrant	شاذ
aberration	انحراف
abeyance	تعليق
abhor	مقت
abhorrence	اشمئزاز
abhorrent	مكروه
abide	الالتزام
abiding	مستمر
ability	القدرة
abject	خسيس
ablation	استئصال
ablaze	مشتعل
able	قادر
abnormal	غير طبيعى
abnormality	شذوذ
aboard	على متن سفينة
abode	مسكن
abolish	إلغاء
abolition	إلغاء
abominable	فظيع
abominate	مقت
abomination	رجس - مقت شديد، عمل بغيض
aboriginal	بدائي
abort	إجهاض
abortion	الإجهاض
abortive	ناقص النمو مخفق
abound	تكثر
abovementioned	ورد أعلاه
abracadabra	تعويذة
abrasion	تآكل
abrasive	كاشط
abreast	جنبا إلى جنب
abroad	خارج البلاد
abrogate	فسخ
abrupt	شديد الأنحدار
abruptly	بشكل مفاجئ
abscess	خراج
absence	غياب
absent	غائب
absentee	الغائب
absenteeism	الغياب
absinthe	الأفسنتين شراب مسكر
absolute	مطلق
absolution	غفران
absolve	تبرئة
absorb	تمتص
absorbed	يمتص
absorbent	ماص
absorbing	امتصاص
absorption	استيعاب
abstain	امتنع
abstention	امتناع
abstinence	تقشف
abstract	نبذة مختصرة
abstraction	التجريد
absurd	سخيف
absurdity	سخافة
abundance	وفرة
abundant	الوفيرة
abuse	إساءة
abused	سوء المعاملة
abusive	فاسد
abutment	دعامة
aby	NO TRANSLATION
abysmal	سحيق
abyss	هاوية
academic	أكاديمي
academy	الأكاديمية
accede	الانضمام
accelerant	متعجل
accelerate	تسارع
accelerated	معجل
acceleration	التعجيل
accelerator	مسرع
accent	لهجة
accentuate	التأكيد
accept	قبول
acceptable	مقبول
acceptance	قبول
acceptances	القبول
access	التمكن من
accessible	يمكن الوصول
accession	الانضمام
accessory	ملحق
accident	حادث
accidental	عرضي
accidentally	من غير قصد
acclaim	هتاف
accolade	احتضان
accommodate	يوفق
accommodation	الإقامة
accompaniment	مرافقة
accompany	مرافقة
accompanying	مصاحب
accomplice	متواطئ
accomplish	إنجاز
accomplished	إنجاز
accomplishment	إنجاز
accord	اتفاق
accordance	مطابقة
accordion	أكورديون
account	الحساب
accountability	المسائلة
accountable	مسؤول
accountant	محاسب
accounting	محاسبة
accounts	حسابات
accredited	معتمد
accretion	ازدياد
accrue	تعود
accueil	NO TRANSLATION
accumulate	جمع
accumulation	تراكم
accuracy	صحة
accurate	دقيق
accursed	ملعون
accusation	اتهام
accusative	حالة النصب
accuse	اتهم
accused	المتهم
accuser	المتهم
accusing	اتهام
accustomed	متعود
ace	أجاد
acetic	خلى
acetylene	الأستيلين غاز عديم اللون
ache	وجع
achieve	التوصل
achieved	حقق
achievement	موهلات
aching	مؤلم
achy	متألم
acid	حامض
acidity	حموضة
acknowledge	الإقرار
acknowledged	اعترف
acknowledgement	إعتراف
acknowledgment	إعتراف
acme	ذروة
acne	حب الشباب
acorn	شجرة البلوط
acoustic	صوتي
acoustics	الصوتيات
acquaint	تعريف
acquaintance	معرفة
acquainted	مطلع
acquiescence	إذعان
acquire	يكتسب
acquiring	كسب
acquisition	استحواذ
acquisitions	الاستحواذ
acquit	أبرئ
acquittal	تبرئة
acre	فدان
acreage	المساحة الأكرية
acres	فدان
acrobat	بهلوان
acrylic	أكريليك
act	فعل
acting	التمثيل
action	عمل
action figure	رقم العمل
actionable	فعالة
activate	تفعيل
activation	تفعيل
active	نشيط
activist	ناشط
activity	نشاط
actor	الممثل
actress	ممثلة
actual	فعلي
actuality	حقيقة
actuary	الخبير بشؤون التأمين
acuity	حدة
acumen	فطنة
acupuncture	العلاج بالإبر
acute	حاد
acutely	تماما
ad	ميلادي
adage	قول مأثور
adamant	عنيد
adapt	تكيف
adaptable	قابل للتكيف
adaptation	تكيف
add	إضافة
added	وأضاف
addendum	إضافة
adder	الجامع
addict	مدمن
addicted	مدمن
addiction	إدمان
addictive	الادمان
addition	إضافة
additional	إضافي
additive	المضافات
address	عنوان
addressee	المرسل اليه
addresses	عناوين
adept	ماهر
adequacy	قدرة
adequate	كاف
adhere	تقيد
adherence	التزام
adherent	نصير
adhering	الالتزام
adhesion	التصاق
adhesive	لاصق
adieu	وداعا
adipose	دهني
adjacency	الملاصقة
adjacent	المجاور
adjective	الصفة
adjoining	مجاور
adjourn	فض
adjournment	تأجيل
adjudicate	فصل
adjudication	حكم قضائي
adjunct	المساعد
adjust	يعدل
adjuster	مصحح
adjustment	تعديل
adjuvant	مساعد
admin	مشرف
administer	إدارة
administration	الادارة
administrative	إداري
administrator	مدير
admirable	بديع
admiral	أميرال
admiralty	إمارة البحر
admiration	إعجاب
admire	معجب
admired	محترم
admirer	المعجب
admiring	الإعجاب
admissibility	قبول
admissible	مسموح
admission	قبول
