Word	ne
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	रौतहट
aback	aback
abacus	abacus
abalone	abalone
abandon	त्याग्नुहोस्
abandoned	त्याग्यो
abandonment	त्याग
abashed	दुर्घटना भयो
abate	abate
abatement	abatement
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	संक्षिप्त
abbreviation	संक्षिप्त
abdomen	पेट
abdominal	पेट
abduct	अपहरण
abduction	अपहरण
aberrant	अलविदा
aberration	विघटन
abeyance	प्रशोधन
abhor	abhor
abhorrence	उत्तेजना
abhorrent	abhorrent
abide	रहनुहोस्
abiding	पालन ​​गर्दै
ability	क्षमता
abject	रद्द गर्नुहोस्
ablation	ablation
ablaze	ablaze
able	सक्षम
abnormal	असामान्य
abnormality	abnormality
aboard	सवार
abode	निवास
abolish	समाप्त गर्न्
abolition	उन्मूलन
abominable	घृणात्मक
abominate	घृणा गर्नुहोस्
abomination	घृणा
aboriginal	aboriginal
abort	abort
abortion	गर्भपात
abortive	अपमानजनक
abound	प्रशस्त
abovementioned	माथि उल्लेखित
abracadabra	abracadabra
abrasion	घर्षण
abrasive	घर्षण
abreast	abreast
abroad	विदेशमा
abrogate	रद्द गर्नुहोस्
abrupt	अचानक
abruptly	अचानक
abscess	अनुपस्थिति
absence	अनुपस्थिति
absent	अनुपस्थित
absentee	अनुपस्थित
absenteeism	अनुपस्थिति
absinthe	अनुपस्थित
absolute	पूर्ण
absolution	अवरोध
absolve	पूर्ण
absorb	अवशोषित
absorbed	अवशोषित
absorbent	अवशोषण
absorbing	अवशोषित
absorption	अवशोषण
abstain	abstain
abstention	अव्यवस्था
abstinence	सहनशीलता
abstract	सार
abstraction	abstraction
absurd	बेवास्ता
absurdity	बेवास्ता
abundance	बहुतायत
abundant	प्रचुर मात्रामा
abuse	दुरुपयोग
abused	दुर्व्यवहार
abusive	अपमानजनक
abutment	अपमान
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	शैक्षणिक
academy	अकादमी
accede	बिस्तृत
accelerant	accelerant
accelerate	छिटो
accelerated	त्वरित
acceleration	त्वरण
accelerator	गतिवर्ती
accent	उच्चारण
accentuate	उच्चारण गर्नुहोस्
accept	स्वीकार गर्नुहोस्
acceptable	स्वीकार्य
acceptance	स्वीकृति
acceptances	स्वीकृति
access	पहुँच
accessible	पहुँचयोग्य
accession	पहुँच
accessory	सहायक
accident	दुर्घटना
accidental	आकस्मिक
accidentally	गल्ती
acclaim	acclaim
accolade	उकालो
accommodate	समायोजन गर्नुहोस्
accommodation	आवास
accompaniment	संगै
accompany	साथ
accompanying	साथमा रहेका
accomplice	सहयोगी
accomplish	पूरा
accomplished	पूरा भयो
accomplishment	उपलब्धि
accord	सम्झौता
accordance	अनुसार
accordion	accordion
account	खाता
accountability	जवाबदेही
accountable	उत्तरदायी
accountant	अकाउन्टेंट
accounting	लेखांकन
accounts	खाताहरू
accredited	मान्यता प्राप्त
accretion	संवेदना
accrue	accrue
accueil	NO TRANSLATION
accumulate	संचित
accumulation	संचय
accuracy	शुद्धता
accurate	सही
accursed	दुर्घटना भयो
accusation	आरोप
accusative	दोषी
accuse	दोष लगाउनुहोस्
accused	आरोप लगाए
accuser	दोषी
accusing	दोषी
accustomed	आदी
ace	ace
acetic	एसिटिक
acetylene	एसिटिलीन
ache	अनुहार
achieve	प्राप्त गर्नुहोस्
achieved	पाएको
achievement	उपलब्धि
aching	दुखाइ
achy	achy
acid	एसिड
acidity	अम्लता
acknowledge	स्वीकार गर्नुहोस्
acknowledged	स्वीकार गरियो
acknowledgement	स्वीकृति
acknowledgment	स्वीकृति
acme	acme
acne	मुँहासे
acorn	acorn
acoustic	ध्वनिक
acoustics	ध्वनिक
acquaint	परिचित
acquaintance	परिचित
acquainted	परिचित
acquiescence	आशीर्वाद
acquire	प्राप्त गर्नुहोस्
acquiring	प्राप्त गर्दै
acquisition	अधिग्रहण
acquisitions	अधिग्रहण
acquit	अधिग्रहण गर्नुहोस्
acquittal	अधिग्रहण
acre	acre
acreage	acreage
acres	acres
acrobat	acrobat
acrylic	ऐक्रेलिक
act	अधिनियम
acting	अभिनय
action	action
action figure	कार्य संख्या
actionable	actionable
activate	सक्रिय गर्नुहोस्
activation	सक्रियता
active	सक्रिय
activist	कार्यकर्ता
activity	गतिविधि
actor	अभिनेता
actress	अभिनेत्री
actual	वास्तविक
actuality	वास्तविकता
actuary	अभिनय
acuity	एकता
acumen	एक्यूमन
acupuncture	एक्यूपंक्चर
acute	तीव्र
acutely	तीव्रता
ad	विज्ञापन
adage	मनन
adamant	adamant
adapt	अनुकूल
adaptable	अनुकूलन
adaptation	अनुकूलन
add	जोड्नुहोस्
added	थप गरियो
addendum	addendum
adder	एडडर
addict	आदी
addicted	आदी
addiction	लत
addictive	नशे की लत
addition	थप
additional	अतिरिक्त
additive	थप
address	ठेगाना
addressee	ठेगाना
addresses	ठेगानाहरू
adept	अनुचित
adequacy	पर्याप्तता
adequate	पर्याप्त
adhere	पालन ​​गर्नुहोस्
adherence	पालन ​​गर्नुहोस्
