Word	ku
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	xerîb
aback	şaş
abacus	abacus
abalone	abalone
abandon	terikandin
abandoned	derxistin
abandonment	berdan
abashed	revandin
abate	abate
abatement	abatement
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	kinkirin
abbreviation	kinkirî
abdomen	binzik
abdominal	germ
abduct	revandin
abduction	revandinî
aberrant	xerîb
aberration	berbiçav
abeyance	nehêle
abhor	abhor
abhorrence	bêhtir
abhorrent	abhorrent
abide	debirandin
abiding	bimîne
ability	kêrhatî
abject	xelet
ablation	ablation
ablaze	arpêketî
able	kêrhat
abnormal	nenormal
abnormality	abnormality
aboard	aboard
abode	aboriyê
abolish	rakirin
abolition	hilweşandin
abominable	berbiçav
abominate	tirsa
abomination	hilweşandin
aboriginal	aboriginal
abort	abort
abortion	ji berxwegirtin
abortive	abortive
abound	dûr
abovementioned	jorîn
abracadabra	abracadabra
abrasion	hilweşandin
abrasive	hilweşandin
abreast	abreast
abroad	ji derve
abrogate	lêpirsîn
abrupt	seranser
abruptly	bêdeng
abscess	kûl
absence	neamadeyî
absent	neamade
absentee	neheq
absenteeism	neheq
absinthe	betal
absolute	temam
absolution	betalkirinê
absolve	berbiçav
absorb	mehandin
absorbed	berbiçav kirin
absorbent	berbiçav
absorbing	bifikirin
absorption	hestyariyê
abstain	bêdengmayin
abstention	nerazîbûnê
abstinence	bêhtir
abstract	veqetî
abstraction	abstraction
absurd	dijrast
absurdity	bêbaweriyê
abundance	zêdayî
abundant	gellek
abuse	nebaşkaranî
abused	tawanbar kirin
abusive	rixe
abutment	windakirinê
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	danişgayî
academy	danişga
accede	şaş dike
accelerant	lezgîn
accelerate	lezdan
accelerated	zûtirîn
acceleration	lezdanî
accelerator	pêdala xazê
accent	devok
accentuate	şaş
accept	baweranîn
acceptable	bawerbar
acceptance	bawerî
acceptances	pejirandin
access	navketin
accessible	navketî
accession	pêkanîna
accessory	perçê pêva
accident	qeza
accidental	bêqesd
accidentally	tesadûfî
acclaim	pesnê
accolade	pîroz kirin
accommodate	bicihkirin
accommodation	cih
accompaniment	hevalrêtî
accompany	hevalrêtîkirin
accompanying	bi hev re
accomplice	hevpeyman
accomplish	bicihanîn
accomplished	pêk tê
accomplishment	bicihhatî
accord	peyman
accordance	li gor
accordion	akordîyon
account	konto
accountability	hesab
accountable	berpirsîyarîn
accountant	hesabdar
accounting	hesabê
accounts	hesab
accredited	naskirî
accretion	gav
accrue	hevgîhandin
accueil	NO TRANSLATION
accumulate	hevcivandin
accumulation	serhevhatin
accuracy	tamî
accurate	tam
accursed	qurban
accusation	gilî
accusative	berkar
accuse	gilîkirin
accused	gilîdar
accuser	sûcdar
accusing	sûcdar
accustomed	hesibandin
ace	as
acetic	acetic
acetylene	acetylene
ache	êş
achieve	gîhaştin
achieved	bidestxistin
achievement	suxre
aching	êş
achy	achy
acid	tirş
acidity	acidity
acknowledge	nasîn
acknowledged	pejirandin
acknowledgement	nasyarî
acknowledgment	nasyarî
acme	acme
acne	pizik
acorn	bellot
acoustic	acoustic
acoustics	akstîk
acquaint	nasdayin
acquaintance	nasî
acquainted	naskirin
acquiescence	kişandin
acquire	kirrîn
acquiring	bidestxistin
acquisition	bidestxistinî
acquisitions	dagirkeriyê
acquit	azadaxaftin
acquittal	azadakir
acre	acre
acreage	acreage
acres	acres
acrobat	akrobat
acrylic	acrylic
act	ewlekarî
acting	kirin
action	çalakî
action figure	hejmara çalakiyê
actionable	çalak kirin
activate	çalak bikin
activation	çalakiyê
active	jîr
activist	dilxwaz
activity	çalakî
actor	şanoger
actress	şanoger
actual	rast
actuality	rastiyê
actuary	çalakiyê
acuity	acuity
acumen	acumen
acupuncture	akpûnktûr
acute	acîl
acutely	zû
ad	ad
adage	xemgîniyê
adamant	serhişk
adapt	lihevanîn
adaptable	lihevtê
adaptation	adaptasyona
add	lêzêdekirin
added	zêdekirin
addendum	addendum
adder	adder
addict	peywend
addicted	tedawî
addiction	peywendî
addictive	nermî
addition	pitir
additional	biserre
additive	tiştênbiserre
address	navnîşan
addressee	navnîşan
addresses	navnîşan
adept	şaş
adequacy	pêdivî ye
adequate	gordil
adhere	binêrin
adherence	dilsoz
adherent	dilsoz
adhering	nirxandin
adhesion	adhesion
adhesive	pêvzeliqî
adieu	adieu
adipose	adipose
adjacency	dorpêç
adjacent	berde
adjective	navder
adjoining	dorpêçkirin
adjourn	tarloqkirin
adjournment	hevdîtinê
adjudicate	nêzîk
adjudication	dagirkeriyê
adjunct	nêzîk
adjust	lihevanîn
adjuster	hevalek
adjustment	lêanî
adjuvant	adjuvant
admin	admin
administer	birêvebirin
administration	birêvebirî
administrative	îdarî
administrator	birêvebir
admirable	qeşeng
admiral	amîral
admiralty	dilovanî
admiration	dilpêmayî
admire	lêşaşman
admired	dilsoz
admirer	dilovan
admiring	dilsoz
admissibility	pejirandin
admissible	dibe
admission	mûkir
admit	qebûlkirin
admittance	berdana
admitted	qebûl kirin
admitting	pejirandin
