Word	st
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	back
abacus	abacus
abalone	balone
abandon	tlohela
abandoned	e tlohetsoe
abandonment	ho lahla
abashed	ba ferekane
abate	khaotsa
abatement	ho fokotseha
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	sefubedu
abbreviation	tlhaloso
abdomen	mpa
abdominal	mpa
abduct	ho hapa
abduction	ho nkuoa
aberrant	e hlahelletseng
aberration	ho senya
abeyance	ho ba mahlahahlaha
abhor	nyonya
abhorrence	ho nyonya
abhorrent	e nyonyehang
abide	lula
abiding	ho lula
ability	bokhoni
abject	e sithabetse
ablation	ho tlohela
ablaze	hlahisa
able	e khona
abnormal	e sa tloaelehang
abnormality	ho sa tloaelehang
aboard	kena
abode	a lula
abolish	felisa
abolition	ho felisoa
abominable	e nyonyehang
abominate	e nyonyehang
abomination	e nyonyehang
aboriginal	bo-avorijene
abort	ho senya
abortion	ho nts'a mpa
abortive	ho ntša mpa
abound	e ngata
abovementioned	ho boletsoe ka holimo
abracadabra	e tsoetseng pele lapeng tshireletso
abrasion	ho senya
abrasive	ho senya
abreast	e fokolang
abroad	hohle
abrogate	hlakola
abrupt	ka tšohanyetso
abruptly	hang-hang
abscess	abscess
absence	ho se be teng
absent	ha e eo
absentee	ha ho letho
absenteeism	ho se be teng
absinthe	absinthe
absolute	e feletseng
absolution	ho se lumellane
absolve	felisa
absorb	amohela
absorbed	kenngoa
absorbent	amohele
absorbing	ho monya
absorption	ho amoheleha
abstain	ipehe
abstention	ho se khaotse
abstinence	ho ithiba
abstract	tse sa utloahaleng
abstraction	ho fapana
absurd	e sa utloahaleng
absurdity	ho hloka boikutlo
abundance	ho hongata
abundant	e ngata
abuse	ho hlekefetsoa
abused	ba hlekefetsoe
abusive	ho hlekefetsa
abutment	sekhobo
aby	NO TRANSLATION
abysmal	e hlabang
abyss	mohohlong
academic	sekolo
academy	sekolo
accede	lumella
accelerant	ho potlakisa
accelerate	ho potlakisa
accelerated	e potlakileng
acceleration	ho potlaka
accelerator	accelerator
accent	ho bua hantle
accentuate	accentuate
accept	amohela
acceptable	e amohelehang
acceptance	ho amohela
acceptances	li amoheleha
access	ho fihlella
accessible	ho fihlella
accession	ho ba teng
accessory	lisebelisoa
accident	kotsi
accidental	kotsi
accidentally	ka phoso
acclaim	khalemeloa
accolade	ho kopa
accommodate	ho amohela
accommodation	bolulo
accompaniment	hammoho
accompany	tsamaea le bona
accompanying	e tsamaeang le
accomplice	motsoalle
accomplish	phetha
accomplished	e finyelitsoe
accomplishment	se finyelloang
accord	ho lumellana
accordance	ho latela
accordion	accordion
account	akhaonto
accountability	boikarabello
accountable	ikarabella
accountant	mookameli
accounting	litlaleho
accounts	litlaleho
accredited	ba amohelehang
accretion	accretion
accrue	eketseha
accueil	NO TRANSLATION
accumulate	bokella
accumulation	ho bokella
accuracy	ho nepahala
accurate	e nepahetse
accursed	e rohakiloe
accusation	qoso
accusative	moqosi
accuse	qosa
accused	ba qosoa
accuser	moqosi
accusing	ho qosa
accustomed	tloaetse
ace	ace
acetic	acetic
acetylene	acetylene
ache	bohale
achieve	finyella
achieved	e fihlile
achievement	katleho
aching	ho opa
achy	achy
acid	acid
acidity	acidity
acknowledge	lumela
acknowledged	a lumela
acknowledgement	ho lumela
acknowledgment	ho lumela
acme	acme
acne	li-acne
acorn	ho hlaba
acoustic	mofuthu
acoustics	li-acoustics
acquaint	tloaelane
acquaintance	tloaelano
acquainted	tloaelane
acquiescence	amohela
acquire	fumana
acquiring	ho fumana
acquisition	ho fumana
acquisitions	thepa
acquit	hlaphoheloa
acquittal	ho ahlola
acre	acre
acreage	ho tsuba
acres	acres
acrobat	acrobat
acrylic	acrylic
act	ketso
acting	e sebetsang
action	ketso
action figure	setšoantšo sa liketso
actionable	e sebetsang
activate	ikoetlisa
activation	ts'ebetso
active	e sebetsang
activist	sehlaseli
activity	mosebetsi
actor	sebapali
actress	setšoantšisi
actual	e le hantle
actuality	hona joale
actuary	hona joale
acuity	mahlahahlaha
acumen	acumen
acupuncture	ho entsoe ka majoe
acute	e thata
acutely	e le hantle
ad	mocha
adage	khabiso
adamant	khaotsa
adapt	ikamahanya le maemo
adaptable	fetoha
adaptation	tloaelo
add	eketsa
added	e kentsoe
addendum	addendum
adder	adder
addict	lemalla
addicted	e lemalla
addiction	lemalla
addictive	ho lemalla
addition	eketsa
additional	e eketsehileng
additive	kenyelletso
address	aterese
addressee	setsetsi
addresses	liaterese
adept	e ntle
adequacy	ho lekana
adequate	e lekaneng
adhere	khomarela
adherence	ho khomarela
adherent	ho lumellana
adhering	ho khomarela
adhesion	ho khomarela
adhesive	ho khomarela
adieu	adieu
adipose	adipose
adjacency	haufi
adjacent	haufi
adjective	sefetoleli
adjoining	e kopanetsoeng
adjourn	tlohela
adjournment	ho khutlela morao
adjudicate	ho nyatsa
adjudication	ho qosoa
adjunct	ho kopa
adjust	fetola
adjuster	fetola
adjustment	phetoho
adjuvant	sehlahlo
admin	admin
administer	tsamaisa
administration	tsamaiso
