Word	nl
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvarken
aback	verrast
abacus	telraam
abalone	abalone
abandon	in de steek laten
abandoned	verlaten
abandonment	verlatenheid
abashed	verlegen
abate	verminderen
abatement	vermindering
abba	abba
abbey	abdij
abbot	abt
abbreviate	afkorten
abbreviation	afkorting
abdomen	buik
abdominal	abdominaal
abduct	ontvoeren
abduction	ontvoering
aberrant	afwijkend
aberration	aberratie
abeyance	onbeheerdheid
abhor	verafschuwen
abhorrence	afschuw
abhorrent	weerzinwekkend
abide	vertoeven
abiding	aanhoudend
ability	vermogen
abject	verachtelijk
ablation	verwijdering
ablaze	in lichterlaaie
able	in staat
abnormal	abnormaal
abnormality	afwijking
aboard	aan boord
abode	woonplaats
abolish	afschaffen
abolition	afschaffing
abominable	afschuwelijk
abominate	verfoeien
abomination	gruwel
aboriginal	inheems
abort	afbreken
abortion	abortus
abortive	vruchteloos
abound	rijk zijn
abovementioned	bovenvermelde
abracadabra	abracadabra
abrasion	schuring
abrasive	schurende
abreast	naast elkaar
abroad	Buitenland
abrogate	afschaffen
abrupt	abrupt
abruptly	abrupt
abscess	abces
absence	afwezigheid
absent	afwezig
absentee	afwezige
absenteeism	absenteïsme
absinthe	absint
absolute	absoluut
absolution	absolutie
absolve	vrijspreken
absorb	absorberen
absorbed	geabsorbeerd
absorbent	absorbens
absorbing	absorberen
absorption	absorptie
abstain	zich onthouden
abstention	onthouding
abstinence	onthouding
abstract	abstract
abstraction	abstractie
absurd	absurd
absurdity	absurditeit
abundance	overvloed
abundant	overvloedig
abuse	misbruik
abused	misbruikt
abusive	beledigend
abutment	aanrakingspunt
aby	NO TRANSLATION
abysmal	onpeilbaar
abyss	afgrond
academic	academische
academy	academie
accede	toetreden
accelerant	katalysator
accelerate	versnellen
accelerated	versneld
acceleration	versnelling
accelerator	gaspedaal
accent	accent
accentuate	accentueren
accept	aanvaarden
acceptable	aanvaardbaar
acceptance	aanvaarding
acceptances	aanvaardingen
access	toegang
accessible	beschikbaar
accession	toetreding
accessory	medeplichtig
accident	ongeval
accidental	onopzettelijk
accidentally	per ongeluk
acclaim	bijval
accolade	accolade
accommodate	accommoderen
accommodation	accommodatie
accompaniment	begeleiding
accompany	begeleiden
accompanying	begeleidend
accomplice	medeplichtige
accomplish	bereiken
accomplished	volbracht
accomplishment	prestatie
accord	overeenstemming
accordance	overeenstemming
accordion	accordeon
account	account
accountability	verantwoording
accountable	verantwoordelijk
accountant	accountant
accounting	accounting
accounts	rekeningen
accredited	geaccrediteerd
accretion	aanwas
accrue	toenemen
accueil	NO TRANSLATION
accumulate	accumuleren
accumulation	ophoping
accuracy	nauwkeurigheid
accurate	accuraat
accursed	vervloekt
accusation	beschuldiging
accusative	accusatief
accuse	beschuldigen
accused	verdachte
accuser	aanklager
accusing	beschuldigen
accustomed	gebruikelijk
ace	aas
acetic	azijnzuur
acetylene	acetyleen
ache	pijn
achieve	bereiken
achieved	bereikt
achievement	prestatie
aching	pijnlijke
achy	pijnlijke
acid	zuur
acidity	zuurheid
acknowledge	erkennen
acknowledged	erkend
acknowledgement	erkenning
acknowledgment	erkenning
acme	toppunt
acne	acne
acorn	eikel-
acoustic	akoestisch
acoustics	akoestiek
acquaint	bekend maken
acquaintance	kennis
acquainted	kennis gemaakt
acquiescence	berusting
acquire	verkrijgen
acquiring	verwerven
acquisition	acquisitie
acquisitions	overnames
acquit	vrijspreken
acquittal	vrijspraak
acre	acre
acreage	oppervlakte
acres	acres
acrobat	acrobaat
acrylic	acryl
act	handelen
acting	acteren
action	actie
action figure	actiefiguur
actionable	actiegericht
activate	activeren
activation	activering
active	actief
activist	activist
activity	activiteit
actor	acteur
actress	actrice
actual	werkelijk
actuality	actualiteit
actuary	actuaris
acuity	scherpheid
acumen	scherpzinnigheid
acupuncture	acupunctuur
acute	acuut
acutely	acuut
ad	advertentie
adage	gezegde
adamant	onvermurwbaar
adapt	zich aanpassen
adaptable	aanpasbaar
adaptation	aanpassing
add	toevoegen
added	toegevoegd
addendum	bijvoegsel
adder	adder
addict	verslaafde
addicted	verslaafd
addiction	verslaving
addictive	verslavend
addition	toevoeging
additional	extra
additive	toevoeging
address	adres
addressee	geadresseerde
addresses	adressen
adept	bedreven
adequacy	toereikendheid
adequate	voldoende
adhere	aanhangen
adherence	aanhankelijkheid
adherent	aanhanger
adhering	hechtende
adhesion	adhesie
adhesive	zelfklevend
adieu	Adieu
adipose	vet
adjacency	nabijheid
adjacent	aangrenzend
adjective	bijvoeglijk naamwoord
adjoining	aangrenzende
adjourn	verdagen
adjournment	verdaging
adjudicate	berechten
adjudication	toewijzing
adjunct	toevoegsel
adjust	aanpassen
adjuster	regelaar
adjustment	aanpassing
adjuvant	adjuvans
admin	beheerder
administer	beheren
administration	administratie
administrative	administratief
administrator	beheerder
admirable	bewonderenswaardig
admiral	admiraal
admiralty	admiraliteit
admiration	bewondering
admire	bewonderen
admired	bewonderd
admirer	bewonderaar
admiring	bewonderend
admissibility	toelaatbaarheid
admissible	toelaatbaar
admission	toelating
