Word	af
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	uit die veld geslaan
abacus	abakus
abalone	perlemoen
abandon	verlaat
abandoned	verlate
abandonment	verlating
abashed	aangegryp
abate	bedaar
abatement	vermindering
abba	Abba
abbey	abdy
abbot	abt
abbreviate	afkort
abbreviation	afkorting
abdomen	buik
abdominal	abdominale
abduct	ontvoer
abduction	ontvoering
aberrant	afwykende
aberration	afwyking
abeyance	tydelike opschorting
abhor	afsku
abhorrence	weersin
abhorrent	gruwelike
abide	bly
abiding	Abiding
ability	vermoë
abject	volslae
ablation	ablasie
ablaze	brand
able	staat
abnormal	abnormale
abnormality	abnormaliteit
aboard	aanboord
abode	woning
abolish	af te skaf
abolition	afskaffing
abominable	gruwelike
abominate	verfoeien
abomination	gruwel
aboriginal	Aboriginal
abort	aborteer
abortion	aborsie
abortive	mislukte
abound	oorvloed
abovementioned	bogenoemde
abracadabra	wartaal
abrasion	skuur
abrasive	skuur
abreast	hoogte
abroad	buiteland
abrogate	bowe
abrupt	skielike
abruptly	skielik
abscess	abses
absence	afwesigheid
absent	afwesig
absentee	afwesige
absenteeism	afwesigheid
absinthe	Helfrich
absolute	absolute
absolution	absolusie
absolve	onthef
absorb	absorbeer
absorbed	geabsorbeer
absorbent	absorberende
absorbing	absorbeer
absorption	absorpsie
abstain	onthou
abstention	onthouding
abstinence	onthouding
abstract	abstrakte
abstraction	onttrekking
absurd	absurd
absurdity	absurditeit
abundance	oorvloed
abundant	oorvloedige
abuse	misbruik
abused	misbruik
abusive	beledigende
abutment	anker
aby	NO TRANSLATION
abysmal	onpeilbaar
abyss	afgrond
academic	akademiese
academy	Akademie
accede	tree
accelerant	accelerant
accelerate	versnel
accelerated	versnelde
acceleration	versnelling
accelerator	versneller
accent	aksent
accentuate	beklemtoon
accept	aanvaar
acceptable	aanvaarbaar
acceptance	aanvaarding
acceptances	aanvaardings
access	toegang
accessible	toeganklik
accession	toetreding
accessory	bykomstigheid
accident	ongeluk
accidental	toevallige
accidentally	ongeluk
acclaim	lof
accolade	toekenning
accommodate	akkommodeer
accommodation	akkommodasie
accompaniment	begeleiding
accompany	vergesel
accompanying	begeleidende
accomplice	medepligtige
accomplish	bereik
accomplished	tot stand gebring
accomplishment	vervulling
accord	beweging
accordance	ooreenstemming
accordion	trekklavier
account	rekening
accountability	aanspreeklikheid
accountable	aanspreeklik
accountant	rekenmeester
accounting	Rekeningkunde
accounts	rekeninge
accredited	geakkrediteerde
accretion	aanwas
accrue	toeval
accueil	NO TRANSLATION
accumulate	versamel
accumulation	opeenhoping
accuracy	akkuraatheid
accurate	akkurate
accursed	vervloekte
accusation	beskuldiging
accusative	akkusatief
accuse	beskuldig
accused	beskuldigde
accuser	aanklaer
accusing	beskuldig
accustomed	gewoond
ace	ace
acetic	asynsuur
acetylene	asetileen
ache	pyn
achieve	bereik
achieved	bereik
achievement	prestasie
aching	seer
achy	Achy
acid	suur
acidity	suur
acknowledge	erken
acknowledged	erken
acknowledgement	erkenning
acknowledgment	erkenning
acme	toppunt
acne	aknee
acorn	akker
acoustic	akoestiese
acoustics	akoestiek
acquaint	vergewis
acquaintance	kennismaking
acquainted	vertroud
acquiescence	berusting
acquire	verkry
acquiring	verkryging
acquisition	verkryging
acquisitions	aanwinste
acquit	vryspreek
acquittal	vryspraak
acre	akker
acreage	oppervlakte
acres	akker
acrobat	akrobaat
acrylic	akriel
act	daad
acting	Waarnemende
action	aksie
action figure	aksie figuur
actionable	aksie
activate	aktiveer
activation	aktivering
active	aktiewe
activist	aktivis
activity	aktiwiteit
actor	akteur
actress	aktrise
actual	werklike
actuality	aktualiteitsprogram
actuary	aktuaris
acuity	skerpte
acumen	vernuf
acupuncture	akupunktuur
acute	akute
acutely	deeglik
ad	advertensie
adage	spreekwoord
adamant	vasbeslote
adapt	aanpas
adaptable	aanpasbaar
adaptation	aanpassing
add	voeg
added	bygevoeg
addendum	addendum
adder	adder
addict	verslaafde
addicted	verslaaf
addiction	verslawing
addictive	verslawende
addition	Daarbenewens
additional	addisionele
additive	toevoeging
address	adres
addressee	geadresseerde
addresses	adresse
adept	meesters
adequacy	toereikendheid
adequate	voldoende
adhere	voldoen
adherence	nakoming
adherent	aanhanger
adhering	voldoening
adhesion	adhesie
adhesive	gom
adieu	adieu
adipose	adipose
adjacency	adjacency
adjacent	aangrensende
adjective	adjektief
adjoining	aangrensende
adjourn	verdaag
adjournment	verdaging
adjudicate	beslis
adjudication	beoordeling
adjunct	toevoegsel
adjust	pas
adjuster	bediening
adjustment	aanpassing
adjuvant	bevorderingsmiddel
admin	admin
administer	administreer
administration	administrasie
administrative	administratiewe
administrator	administrateur
admirable	bewonderenswaardig
admiral	admiraal
admiralty	Admiralty
admiration	bewondering
admire	bewonder
admired	bewonder
admirer	bewonderaar
admiring	bewonder
admissibility	toelaatbaarheid
admissible	toelaatbaar
admission	toegang
admit	erken
admittance	toelating
admitted	toegelaat
admitting	erken
admixture	vermenging
admonition	vermaning
ado	ado
adobe	adobe
adolescence	adolessensie
