Word	tl
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abako
abalone	abalone
abandon	abandunahin
abandoned	inabandunang
abandonment	pag-abanduna
abashed	abashed
abate	abate
abatement	pagbabawas
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	paikliin
abbreviation	pagpapaikli
abdomen	tiyan
abdominal	tiyan
abduct	pagdukot
abduction	pagdukot
aberrant	aberrant
aberration	pagkaligaw
abeyance	abeyance
abhor	pagkapoot
abhorrence	pagkagalit
abhorrent	kasuklam-suklam
abide	sumunod ka
abiding	tapat
ability	kakayahan
abject	abject
ablation	ablation
ablaze	naglalagablab
able	magagawang
abnormal	abnormal
abnormality	abnormality
aboard	sakay
abode	tirahan
abolish	buwagin
abolition	abolisyon
abominable	kasuklam-suklam
abominate	abominate
abomination	pagkasuklam
aboriginal	katutubo
abort	abort
abortion	pagpapalaglag
abortive	abortive
abound	lumakas
abovementioned	sa mga nasabi
abracadabra	NO TRANSLATION
abrasion	abrasion
abrasive	nakasasakit
abreast	magkatabi
abroad	sa ibang bansa
abrogate	buwagin
abrupt	biglang
abruptly	biglang
abscess	abscess
absence	kawalan
absent	wala
absentee	absentee
absenteeism	pagliban
absinthe	absinthe
absolute	ganap
absolution	pagpapawalang bisa
absolve	magpawalang-sala
absorb	hithitin
absorbed	hinihigop
absorbent	sumisipsip
absorbing	sumisipsip
absorption	pagsipsip
abstain	abstain
abstention	abstention
abstinence	pangilin
abstract	abstract
abstraction	abstraction
absurd	walang katotohanan
absurdity	kahangalan
abundance	kasaganaan
abundant	masagana
abuse	abuso
abused	inabuso
abusive	mapang-abuso
abutment	abutment
aby	NO TRANSLATION
abysmal	abysmal
abyss	kalaliman
academic	akademiko
academy	akademya
accede	sumang-ayon
accelerant	accelerant
accelerate	mapabilis
accelerated	pinabilis
acceleration	pagpabilis
accelerator	aselerador
accent	accent
accentuate	magpatingkad
accept	tanggapin
acceptable	katanggap-tanggap
acceptance	pagtanggap
acceptances	mga pagtanggap
access	access
accessible	mapupuntahan
accession	pag-akyat
accessory	accessory
accident	aksidente
accidental	hindi sinasadya
accidentally	aksidente
acclaim	pagbubunyi
accolade	parangalan
accommodate	tumanggap
accommodation	tirahan
accompaniment	saliw
accompany	kasama
accompanying	sinasamahan
accomplice	kasabwat
accomplish	tuparin
accomplished	natapos na
accomplishment	katuparan
accord	kasunduan
accordance	alinsunod
accordion	akurdyon
account	account
accountability	pananagutan
accountable	nananagot
accountant	accountant
accounting	accounting
accounts	mga account
accredited	pinaniwalaan
accretion	accretion
accrue	mag-ipon nang
accueil	NO TRANSLATION
accumulate	maipon
accumulation	akumulasyon
accuracy	katumpakan
accurate	tumpak
accursed	isinumpa
accusation	akusasyon
accusative	accusative
accuse	akusahan
accused	inakusahan
accuser	akusador
accusing	akusasyon
accustomed	sanay
ace	ace
acetic	acetic
acetylene	acetylene
ache	sakit
achieve	makamit
achieved	nakamit
achievement	tagumpay
aching	aching
achy	achy
acid	acid
acidity	kaasiman
acknowledge	kilalanin
acknowledged	kinikilala
acknowledgement	pagkilala
acknowledgment	pagkilala
acme	acme
acne	acne
acorn	acorn
acoustic	acoustic
acoustics	acoustics
acquaint	ipakilala
acquaintance	kakilala
acquainted	pamilyar
acquiescence	pagsang-ayon
acquire	makuha
acquiring	pagkuha
acquisition	pagkuha
acquisitions	mga pagkuha
acquit	magpatawad
acquittal	magpatawad
acre	acre
acreage	ektarya
acres	acres
acrobat	acrobat
acrylic	acrylic
act	kumilos
acting	kumikilos
action	aksyon
action figure	Laruan
actionable	naaaksyunan
activate	buhayin
activation	activation
active	aktibo
activist	aktibista
activity	aktibidad
actor	aktor
actress	artista
actual	aktwal na
actuality	katunayan
actuary	actuary
acuity	katalinuhan
acumen	katalinuhan
acupuncture	Acupuncture
acute	talamak
acutely	acutely
ad	Ad
adage	adage
adamant	matatag
adapt	iangkop
adaptable	madaling ibagay
adaptation	pagbagay
add	idagdag
added	idinagdag
addendum	addendum
adder	adder
addict	adik
addicted	gumon
addiction	pagkagumon
addictive	nakakahumaling
addition	karagdagan
additional	karagdagang
additive	additive
address	address
addressee	addressee
addresses	mga address
adept	sanay
adequacy	kasapatan
adequate	sapat na
adhere	sumunod
adherence	pagsunod
adherent	adherent
adhering	adhering
adhesion	pagdirikit
adhesive	malagkit
adieu	adieu
adipose	adipose
adjacency	adjacency
adjacent	katabi
adjective	pang-uri
adjoining	magkakaugnay
adjourn	magpatuloy
adjournment	adjournment
adjudicate	magpatibay
adjudication	adjudication
adjunct	adjunct
adjust	ayusin
adjuster	adjuster
adjustment	pagsasaayos
adjuvant	katulong
admin	admin
administer	mangasiwa
administration	pangangasiwa
administrative	administratibo
administrator	administrator
admirable	kahanga-hanga
admiral	admiral
admiralty	admiralty
admiration	paghanga
admire	humanga
admired	hinahangaan
admirer	admirer
admiring	hinahangaan
admissibility	admissibility
admissible	admissible
admission	pagpasok
admit	umamin
admittance	pagpasok
admitted	inamin
admitting	admitting
admixture	admixture
admonition	paalala
ado	ado
adobe	adobe
