Word	co
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abacus
abalone	abalone
abandon	abbandunà
abandoned	abbandunata
abandonment	abbandunamentu
abashed	abashed
abate	abate
abatement	abatement
abba	abba
abbey	abbazia
abbot	abbati
abbreviate	abbità
abbreviation	abbreviazione
abdomen	abdomen
abdominal	abdominal
abduct	abduct
abduction	abduction
aberrant	aberrant
aberration	aberration
abeyance	cuscenza
abhor	abhor
abhorrence	abhorrence
abhorrent	abumineghju
abide	aghjustate
abiding	abiding
ability	abilità
abject	abject
ablation	ablation
ablaze	flussu
able	capaci
abnormal	anormali
abnormality	anormalità
aboard	a bordo
abode	residu
abolish	abulisce
abolition	abulizioni
abominable	abominable
abominate	abominate
abomination	abomination
aboriginal	aborigine
abort	abort
abortion	abbortu
abortive	abortivu
abound	abbastanza
abovementioned	supra
abracadabra	abracadabra
abrasion	abrasione
abrasive	abrasive
abreast	amici
abroad	stranieru
abrogate	abrogate
abrupt	abrupt
abruptly	abruptly
abscess	abscissu
absence	assenza
absent	assenza
absentee	absentee
absenteeism	'absentismu
absinthe	absinthe
absolute	assolutu
absolution	assulzione
absolve	assorviri
absorb	assòrbinu
absorbed	assurbutu
absorbent	assorbenti
absorbing	assoriscenu
absorption	assicuranza
abstain	astènesi
abstention	'astèntzia
abstinence	'astinenza
abstract	astrattu
abstraction	l 'estrazzioni
absurd	assurdu
absurdity	assurdu
abundance	abbundanza
abundant	abundanti
abuse	abusu
abused	abusatu
abusive	abusive
abutment	pattu
aby	NO TRANSLATION
abysmal	abysmal
abyss	abissu
academic	accadèmicu
academy	accademia
accede	accede
accelerant	accelerant
accelerate	accelerà
accelerated	accelerata
acceleration	accilità
accelerator	accélémerer
accent	accentu
accentuate	accentuate
accept	accetta
acceptable	accettabbli
acceptance	accettazione
acceptances	accettazione
access	accessu
accessible	accessibile
accession	accissioni
accessory	accessoriu
accident	accident
accidental	accidintali
accidentally	accidintali
acclaim	appruvazioni
accolade	accolade
accommodate	accuncià
accommodation	alloghju
accompaniment	accumpagnamentu
accompany	accumpagnà
accompanying	accumpagnamentu
accomplice	cumpiacente
accomplish	capisce
accomplished	esse realizatu
accomplishment	successu
accord	accordu
accordance	cunfurmità
accordion	accordione
account	contu
accountability	accountability
accountable	rende cuntu
accountant	accountant
accounting	cuntalli
accounts	cunti
accredited	accreditata
accretion	accrezione
accrue	accrue
accueil	NO TRANSLATION
accumulate	accumminate
accumulation	accumulation
accuracy	precisione
accurate	precisa
accursed	accictavanu
accusation	accusazioni
accusative	accusative
accuse	accusallu
accused	accusatu
accuser	accusatore
accusing	accusannu
accustomed	abbituatu
ace	ace
acetic	acìticu
acetylene	acitileni
ache	duluri
achieve	ghjunghje
achieved	uttene
achievement	successu
aching	avellu
achy	achy
acid	acìticu
acidity	acidità
acknowledge	ricunnosce
acknowledged	ricunnisciute
acknowledgement	ricunniscenza
acknowledgment	ricunniscenza
acme	acme
acne	acne
acorn	ghjanda
acoustic	acoustic
acoustics	acustiche
acquaint	acquaint
acquaintance	cunnuscenza
acquainted	cunnosci
acquiescence	acquisteria
acquire	acquistà
acquiring	acquistà
acquisition	acquistata
acquisitions	accusazioni
acquit	acquazione
acquittal	acquazione
acre	acre
acreage	aghja
acres	ettari
acrobat	acrobat
acrylic	acrilica
act	attu
acting	agisce
action	action
action figure	figura di azioni
actionable	azzione
activate	attivate
activation	attivazione
active	attivu
activist	attivista
activity	attività
actor	attore
actress	attrice
actual	verità
actuality	a verità
actuary	attaru
acuity	agisce
acumen	acumen
acupuncture	acupuncture
acute	aguda
acutely	aghjettivu
ad	ad
adage	daveru
adamant	adamant
adapt	adattà
adaptable	adattabile
adaptation	adattazione
add	aghjunghje
added	agghiunciu
addendum	addendum
adder	adder
addict	addictu
addicted	addicted
addiction	addiction
addictive	addictive
addition	aghjuntu
additional	supplementu
additive	additivu
address	indirizzu
addressee	destinatariu
addresses	indirizzi
adept	adept
adequacy	adequate adequate
adequate	adattate
adhere	aderiscenu
adherence	aderenza
adherent	aderenti
adhering	aderenti
adhesion	aderenza
adhesive	adhesive
adieu	adieu
adipose	adipose
adjacency	adjacency
adjacent	adiacenti
adjective	aggittivu
adjoining	adjoining
adjourn	aghjurnà
adjournment	aghjurnamentu
adjudicate	adjudicate
adjudication	adjudication
adjunct	aghjuntu
adjust	aghjusta
adjuster	fiatu
adjustment	aghjurnamentu
adjuvant	adjuvant
admin	admin
administer	amministrari
administration	amministrazione
administrative	amministrativi
administrator	amministratore
admirable	admirable
admiral	Ammiragghiu
admiralty	ammiratore
admiration	admirazione
admire	ammirazione
admired	ammirazioni
admirer	ammirazione
admiring	ammirazione
admissibility	ammissibilità
admissible	ammissibili
admission	admission
admit	ricunniscenza
admittance	admittance
admitted	admittìu
admitting	admittendu
admixture	aghjunghje
admonition	n'ammunizioni
ado	ado
adobe	adobe
adolescence	adolescenza
adolescent	adulescente
adopt	adopranu
adoption	adopzione
adoptive	adoptive
adorable	adorable
adoration	Adorazione
adore	adore
adoring	adurendu
adorn	adorn
