Word	zu
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	i-aardvark
aback	back
abacus	Abacus
abalone	abalone
abandon	shiya
abandoned	ishiyiwe
abandonment	ukushiya
abashed	bahlushwa
abate	phumula
abatement	ukubethelwa
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	isifinyezo
abbreviation	isifinyezo
abdomen	isisu
abdominal	isisu
abduct	ukuthatha
abduction	ukuthunjwa
aberrant	i-aberrant
aberration	ukuhlukumezeka
abeyance	ukuzinza
abhor	nyansi
abhorrence	ukuzonda
abhorrent	ukuzonda
abide	uhlale
abiding	ukuhlala
ability	ikhono
abject	ukuhlukunyezwa
ablation	ukuphumula
ablaze	vula
able	uyakwazi
abnormal	okungavamile
abnormality	ukungavamile
aboard	ungene
abode	uhlala
abolish	ukuqeda
abolition	ukuqeda
abominable	ezinengekayo
abominate	kuyamshaya
abomination	inengiso
aboriginal	aboriginal
abort	ukuphumula
abortion	ukukhipha isisu
abortive	ukukhipha
abound	iningi
abovementioned	ngenhla
abracadabra	NO TRANSLATION
abrasion	ukuhlukunyezwa
abrasive	ukuhlukumezeka
abreast	okulinganiselwe
abroad	phesheya
abrogate	ukuxoshwa
abrupt	ngokuphazamiseka
abruptly	ngokungazelelwe
abscess	i-abscess
absence	ukungabi khona
absent	engekho
absentee	engekho
absenteeism	ukungabikho
absinthe	i-absinthe
absolute	ngokuphelele
absolution	ukungabi namuntu
absolve	qeda
absorb	ubambe
absorbed	umunwe
absorbent	i-absorbent
absorbing	uyangenisa
absorption	ukumuncwa
abstain	hlala
abstention	ukungahlali
abstinence	ukuzithiba
abstract	abstract
abstraction	abstraction
absurd	kungenangqondo
absurdity	ukungabi nalutho
abundance	inqwaba
abundant	eningi
abuse	ukuhlukunyezwa
abused	behlukunyezwa
abusive	ukuhlukunyezwa
abutment	isithandwa
aby	NO TRANSLATION
abysmal	i-abysmal
abyss	ilasha
academic	isikole
academy	isikole
accede	vumela
accelerant	ukusheshisa
accelerate	ukusheshisa
accelerated	isheshayo
acceleration	ukusheshisa
accelerator	i-accelerator
accent	ukugxila
accentuate	i-accentuate
accept	yamukela
acceptable	yamukelekile
acceptance	ukwamukelwa
acceptances	ukwamukelwa
access	ukufinyelela
accessible	kufinyeleleka
accession	ukungenelela
accessory	izinsiza
accident	ingozi
accidental	ngengozi
accidentally	ngengozi
acclaim	udumo
accolade	ukuphoqa
accommodate	ukuhlala
accommodation	indawo yokuhlala
accompaniment	ukuhambisana
accompany	hamba
accompanying	ehambisana
accomplice	i-accomplice
accomplish	finyelela
accomplished	kufeziwe
accomplishment	ukufeza
accord	ngokuvumelana
accordance	ngokuhambisana
accordion	i-accordion
account	i-akhawunti
accountability	ukuphendula
accountable	ukuphendula
accountant	i-akhawunti
accounting	ukubalwa kwezimali
accounts	ama-akhawunti
accredited	kuvunyelwe
accretion	ukuvunywa
accrue	yanda
accueil	NO TRANSLATION
accumulate	qoqa
accumulation	ukuqoqwa
accuracy	ukunemba
accurate	inembile
accursed	iqalekisiwe
accusation	icala
accusative	icala
accuse	icala
accused	umsolwa
accuser	ummangali
accusing	icala
accustomed	bejwayele
ace	ace
acetic	acetic
acetylene	i-acetylene
ache	ukuphumula
achieve	ukufeza
achieved	kufinyeleleke
achievement	ukufeza
aching	ukucindezeleka
achy	achy
acid	i-asidi
acidity	acidity
acknowledge	vuma
acknowledged	kuvunyelwe
acknowledgement	ukuvuma
acknowledgment	ukuvuma
acme	i-acme
acne	i-acne
acorn	i-acorn
acoustic	i-acoustic
acoustics	ama-acoustics
acquaint	wazi
acquaintance	ukujwayela
acquainted	azijwayele
acquiescence	i-acquiescence
acquire	thola
acquiring	ukuzuza
acquisition	ukuthenga
acquisitions	ukuthenga
acquit	thola
acquittal	ukulahlwa
acre	i-acre
acreage	i-acreage
acres	amahektare
acrobat	i-acrobat
acrylic	acrylic
act	yenza
acting	esebenza
action	isenzo
action figure	isibalo sesenzo
actionable	iyasebenza
activate	sebenzisa
activation	ukusebenza
active	esebenzayo
activist	isishoshovu
activity	umsebenzi
actor	umlingisi
actress	umlingisi
actual	okwangempela
actuality	okwamanje
actuary	i-actuary
acuity	ubuqili
acumen	i-acumen
acupuncture	i-acupuncture
acute	i-acute
acutely	kahle
ad	isikhangiso
adage	isikhangiso
adamant	enamandla
adapt	ukuvumelanisa
adaptable	ukuvumelanisa
adaptation	ukujwayela
add	engeza
added	ungeze
addendum	isithasiselo
adder	isitha
addict	umlutha
addicted	umlutha
addiction	umlutha
addictive	umlutha
addition	ukwengeza
additional	eyengeziwe
additive	okungeziwe
address	ikheli
addressee	i-addressee
addresses	amakheli
adept	u-adept
adequacy	ngokwanele
adequate	ezanele
adhere	ukunamathela
adherence	ukunamathela
adherent	ukuhambisana
adhering	ukunamathela
adhesion	ukunamathela
adhesive	ukunamathela
adieu	adieu
adipose	adipose
adjacency	eseduze
adjacent	eduze
adjective	isichazamazwi
adjoining	ehlangene
adjourn	phindela
adjournment	ukuhlehliswa
adjudicate	ukugweba
adjudication	ukugwetshwa
