Word	eo
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	abako
abacus	abako
abalone	abalone
abandon	forlasi
abandoned	forlasita
abandonment	forlaso
abashed	premis
abate	malaperu
abatement	forigo
abba	abba
abbey	abatejo
abbot	abato
abbreviate	abreviate
abbreviation	mallongigo
abdomen	abdomeno
abdominal	abdominales
abduct	akuzi
abduction	kidnapo
aberrant	aberrante
aberration	abero
abeyance	afero
abhor	abomenu
abhorrence	abomeno
abhorrent	abomeninda
abide	restu
abiding	restanta
ability	kapableco
abject	malakceptas
ablation	ablacio
ablaze	ablaze
able	kapabla
abnormal	nenormala
abnormality	anormalidad
aboard	surŝipe
abode	loĝis
abolish	abolicii
abolition	abolicio
abominable	abomeninda
abominate	abomeninda
abomination	abomenindajxo
aboriginal	aborigen
abort	aborti
abortion	abortas
abortive	abortiva
abound	abundas
abovementioned	menciite
abracadabra	abracadabra
abrasion	abrasio
abrasive	abrasivo
abreast	bone
abroad	eksterlande
abrogate	abrogate
abrupt	bruska
abruptly	bruske
abscess	absceso
absence	foresto
absent	forestas
absentee	forestante
absenteeism	absentismo
absinthe	Absinthe
absolute	absoluta
absolution	absolvo
absolve	absolvi
absorb	sorbi
absorbed	sorbita
absorbent	sorbaj
absorbing	sorbante
absorption	absorción
abstain	abstino
abstention	sindeteno
abstinence	abstino
abstract	abstrakta
abstraction	abstraktaĵo
absurd	absurda
absurdity	absurda
abundance	abundo
abundant	abunda
abuse	misuzo
abused	trouzita
abusive	maltrankvila
abutment	abutmento
aby	NO TRANSLATION
abysmal	abismo
abyss	abismo
academic	akademia
academy	akademio
accede	aliri
accelerant	akcelilo
accelerate	akceli
accelerated	akcelita
acceleration	akcelo
accelerator	akcelilo
accent	akcento
accentuate	akcenti
accept	akceptu
acceptable	akceptebla
acceptance	akcepto
acceptances	akceptoj
access	aliro
accessible	atingebla
accession	aliĝo
accessory	akcesora
accident	akcidento
accidental	hazarda
accidentally	akcidente
acclaim	aklamu
accolade	aklazo
accommodate	akomodi
accommodation	loĝejo
accompaniment	akompano
accompany	akompanu
accompanying	akompananta
accomplice	komplico
accomplish	plenumi
accomplished	plenumita
accomplishment	realigo
accord	akordo
accordance	konsekvenco
accordion	akordiono
account	rimarki
accountability	respondeco
accountable	respondecaj
accountant	kontentanto
accounting	librotenado
accounts	kontoj
accredited	akredititaj
accretion	akrecio
accrue	akuzi
accueil	NO TRANSLATION
accumulate	amasigi
accumulation	amaso
accuracy	precizeco
accurate	preciza
accursed	malbenita
accusation	akuzo
accusative	akuzativo
accuse	akuzi
accused	akuzita
accuser	akuzanto
accusing	akuzante
accustomed	kutimitaj
ace	as
acetic	acetika
acetylene	acetileno
ache	doloron
achieve	atingi
achieved	sukcesita
achievement	atingo
aching	kuraĝante
achy	achy
acid	acida
acidity	acidez
acknowledge	agnoski
acknowledged	agnoskita
acknowledgement	rekono
acknowledgment	rekono
acme	ak
acne	akno
acorn	greno
acoustic	akustika
acoustics	akustiko
acquaint	konata
acquaintance	konata
acquainted	konata
acquiescence	acquiescencia
acquire	akiri
acquiring	akirante
acquisition	akiraĵo
acquisitions	akiraĵoj
acquit	absolvo
acquittal	absolvo
acre	akre
acreage	akreo
acres	akreoj
acrobat	akrobato
acrylic	akrila
act	akto
acting	agante
action	ago
action figure	ago figuro
actionable	agrable
activate	aktivigi
activation	aktivigo
active	aktiva
activist	aktivisto
activity	aktiveco
actor	aktoro
actress	aktorino
actual	fakta
actuality	realaĵo
actuary	aktuario
acuity	akveco
acumen	akumen
acupuncture	akupunkturo
acute	akra
acutely	akre
ad	ad
adage	adage
adamant	adamanto
adapt	adapti
adaptable	adaptebla
adaptation	adapto
add	aldonu
added	aldonis
addendum	addendum
adder	aldonilo
addict	toksomaniulo
addicted	toksomaniulo
addiction	toksomanio
addictive	adictivo
addition	aldonita
additional	pliaj
additive	aditivo
address	adreso
addressee	Provizanto
addresses	adresoj
adept	adepto
adequacy	taŭgeco
adequate	taŭga
adhere	aliĝi
adherence	adherenco
adherent	adherente
adhering	aliĝante
adhesion	adhesión
adhesive	vosto
adieu	adieu
adipose	adipose
adjacency	apudeco
adjacent	apudaj
adjective	adjektivo
adjoining	apude
adjourn	malaperas
adjournment	postulado
adjudicate	ajudiki
adjudication	juĝado
adjunct	kuna
adjust	alĝustigi
adjuster	ĝustilo
adjustment	riparas
adjuvant	adjuvanto
admin	administranto
administer	administri
administration	administrado
administrative	administra
administrator	administranto
admirable	admirinda
admiral	admiralo
admiralty	almirantazgo
admiration	admiro
admire	admiras
admired	admirita
admirer	admiranto
admiring	admirante
admissibility	admisibilidad
admissible	admisible
admission	konfeso
admit	akceptu
admittance	akcepto
admitted	akceptita
admitting	akceptante
admixture	admixture
admonition	admonition
ado	ado
adobe	adobo
adolescence	adoleskado
adolescent	adoleskanto
adopt	adopti
adoption	adopto
adoptive	adoptita
adorable	adora
adoration	adorado
adore	adori
adoring	adorante
adorn	garni
adornment	ornamo
adrenalin	adrenalino
adrenaline	adrenalino
adrift	adiaŭi
adult	plenaĝa
adulterated	adultita
