Word	zh-TW
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	土豚
aback	嚇了一跳
abacus	算盤
abalone	鮑魚
abandon	放棄
abandoned	棄
abandonment	放棄
abashed	愧
abate	殺
abatement	減排
abba	ABBA
abbey	僧院
abbot	方丈
abbreviate	簡略
abbreviation	縮寫
abdomen	腹部
abdominal	腹部的
abduct	拐
abduction	綁架
aberrant	異常
aberration	像差
abeyance	暫時保留
abhor	痛恨
abhorrence	深惡痛絕
abhorrent	可惡
abide	遵守
abiding	守法
ability	能力
abject	卑劣
ablation	切除
ablaze	熾盛
able	能夠
abnormal	不正常
abnormality	異常
aboard	船上
abode	住所
abolish	廢除
abolition	廢除
abominable	可惡
abominate	鄙棄
abomination	厭惡
aboriginal	土著
abort	退出
abortion	流產
abortive	未遂
abound	盛產
abovementioned	上述
abracadabra	胡言亂語
abrasion	磨損
abrasive	磨料
abreast	並肩
abroad	國外
abrogate	廢除
abrupt	突兀
abruptly	突然
abscess	膿腫
absence	缺席
absent	缺席
absentee	缺席者
absenteeism	曠工
absinthe	苦艾酒
absolute	絕對
absolution	赦免
absolve	開脫
absorb	吸收
absorbed	吸收
absorbent	吸水
absorbing	吸收
absorption	吸收
abstain	避免
abstention	棄權
abstinence	節制
abstract	抽象
abstraction	抽象化
absurd	荒誕
absurdity	荒謬
abundance	豐富
abundant	豐富
abuse	濫用
abused	濫用
abusive	濫用的
abutment	鄰接
aby	NO TRANSLATION
abysmal	深
abyss	深淵
academic	學術的
academy	學院
accede	加入
accelerant	促進劑
accelerate	加速
accelerated	加速
acceleration	促進
accelerator	加速器
accent	口音
accentuate	加重
accept	接受
acceptable	接受
acceptance	驗收
acceptances	承兌匯票
access	訪問
accessible	無障礙
accession	加入
accessory	附件
accident	事故
accidental	偶然
accidentally	偶然
acclaim	歡呼
accolade	榮譽
accommodate	容納
accommodation	住所
accompaniment	伴奏
accompany	陪
accompanying	隨同
accomplice	同案犯
accomplish	完成
accomplished	完成
accomplishment	成就
accord	符合
accordance	按照
accordion	手風琴
account	帳戶
accountability	問責
accountable	問責
accountant	會計
accounting	會計
accounts	賬戶
accredited	認可
accretion	積
accrue	累積
accueil	NO TRANSLATION
accumulate	積累
accumulation	積累
accuracy	準確性
accurate	準確
accursed	詛咒
accusation	指控
accusative	賓格
accuse	告
accused	被告
accuser	原告
accusing	指責
accustomed	慣常的
ace	高手
acetic	醋
acetylene	乙炔
ache	疼痛
achieve	實現
achieved	實現
achievement	成就
aching	疼痛
achy	微弱
acid	酸
acidity	酸度
acknowledge	確認
acknowledged	承認
acknowledgement	承認
acknowledgment	承認
acme	頂點
acne	粉刺
acorn	橡子
acoustic	聲
acoustics	聲學
acquaint	認識
acquaintance	熟人
acquainted	熟悉
acquiescence	默認
acquire	獲得
acquiring	收購
acquisition	獲得
acquisitions	收購
acquit	開釋
acquittal	開釋
acre	英畝
acreage	面積
acres	畝
acrobat	雜技演員
acrylic	丙烯酸樹脂
act	法案
acting	演戲
action	行動
action figure	行動圖
actionable	訴
activate	啟用
activation	激活
active	活性
activist	活動家
activity	活動
actor	演員
actress	演員
actual	實際
actuality	現實
actuary	精算師
acuity	敏銳
acumen	頭腦
acupuncture	針刺
acute	急性
acutely	急性
ad	廣告
adage	諺語
adamant	堅決
adapt	適應
adaptable	適應性強
adaptation	適應
add	加
added	添加
addendum	附錄
adder	加法器
addict	癮君子
addicted	上癮
addiction	癮
addictive	上癮
addition	加成
additional	額外
additive	添加劑
address	地址
addressee	收件人
addresses	地址
adept	拿手
adequacy	充足
adequate	充足
adhere	附著
adherence	附著
adherent	追隨者
adhering	秉承
adhesion	粘著
adhesive	膠粘劑
adieu	再見
adipose	脂肪
adjacency	鄰接
adjacent	鄰
adjective	形容詞
adjoining	隔壁的
adjourn	休會
adjournment	休會
adjudicate	裁定
adjudication	裁決
adjunct	附件
adjust	調整
adjuster	調整
adjustment	調整
adjuvant	輔助
admin	管理
administer	管理
administration	行政
administrative	行政的
administrator	管理員
admirable	令人欽佩
admiral	上將
admiralty	金鐘
admiration	欽佩
admire	欣賞
admired	尊敬的
admirer	愛慕者
admiring	欣賞
admissibility	受理
admissible	受理
admission	入場
admit	承認
admittance	准入
admitted	承認
admitting	承認
admixture	混合物
admonition	警告
ado	忙亂
adobe	土磚
adolescence	青春期
adolescent	青少年
adopt	採用
adoption	採用
adoptive	養
adorable	可愛的
adoration	崇拜
adore	崇拜
adoring	崇拜
adorn	裝飾
adornment	裝飾
adrenalin	腎上腺素
adrenaline	腎上腺素
adrift	漂浮
adult	成人
adulterated	摻假
adulterer	姦夫
adultery	通姦
adulthood	成年
advance	提前
advanced	高級
advancement	進步
advancing	前進
advantage	優點
advantageous	有利
advent	來臨
adventure	冒險
adventurer	冒險家
adventures	冒險
adventurous	愛冒險的
adversary	對手
adverse	不利的
adversity	逆境
advertise	廣告
advertisement	廣告
advertising	廣告
adverts	廣告
advice	忠告
advisable	可取
advise	勸告
advised	建議
advisement	周密
adviser	顧問
advisor	顧問
advisory	諮詢
advocacy	擁護
advocate	主張
