Word	ja
aaaaaaah	アアアアアア
aaaah	NO TRANSLATION
aardvark	アードバーク
aback	荒れ狂う
abacus	そろばん
abalone	アワビ
abandon	放棄する
abandoned	放棄された
abandonment	放棄
abashed	突進した
abate	衰える
abatement	緩和
abba	アバ
abbey	修道院
abbot	NO TRANSLATION
abbreviate	省略する
abbreviation	略語
abdomen	腹部
abdominal	腹部
abduct	拉致
abduction	拉致
aberrant	異常な
aberration	収差
abeyance	停止
abhor	嫌う
abhorrence	憎悪
abhorrent	忌まわしい
abide	〜に従う
abiding	遵守する
ability	能力
abject	暴力
ablation	アブレーション
ablaze	燃える
able	できる
abnormal	異常な
abnormality	異常
aboard	乗っている
abode	住む
abolish	廃止する
abolition	廃止
abominable	忌み嫌う
abominate	憎む
abomination	嫌悪
aboriginal	先住民族
abort	アボート
abortion	中絶
abortive	不完全な
abound	たくさん
abovementioned	上記の
abracadabra	アブラカダブラ
abrasion	摩耗
abrasive	研磨材
abreast	並んで
abroad	海外
abrogate	廃止する
abrupt	突然の
abruptly	突然
abscess	膿瘍
absence	不在
absent	不在
absentee	不在者
absenteeism	欠勤
absinthe	アブサン
absolute	絶対の
absolution	赦免
absolve	放棄する
absorb	吸収します
absorbed	吸収された
absorbent	吸収剤
absorbing	吸収する
absorption	吸収
abstain	棄権する
abstention	棄権
abstinence	禁欲
abstract	抽象
abstraction	抽象化
absurd	不条理な
absurdity	不条理
abundance	豊富
abundant	豊富
abuse	乱用
abused	虐待された
abusive	虐待
abutment	アバットメント
aby	NO TRANSLATION
abysmal	深刻な
abyss	深淵
academic	アカデミック
academy	アカデミー
accede	合意
accelerant	促進剤
accelerate	加速する
accelerated	加速された
acceleration	加速度
accelerator	アクセル
accent	アクセント
accentuate	強調する
accept	受け入れる
acceptable	許容可能な
acceptance	受け入れ
acceptances	受諾
access	アクセス
accessible	アクセス可能な
accession	加盟
accessory	アクセサリー
accident	事故
accidental	偶然
accidentally	誤って
acclaim	称賛
accolade	称賛
accommodate	収容する
accommodation	宿泊施設
accompaniment	伴奏
accompany	付随する
accompanying	付随の
accomplice	共犯者
accomplish	達成する
accomplished	達成された
accomplishment	達成
accord	アコード
accordance	従う
accordion	アコーディオン
account	アカウント
accountability	説明責任
accountable	説明責任
accountant	会計士
accounting	会計
accounts	アカウント
accredited	認定された
accretion	付加
accrue	発生する
accueil	NO TRANSLATION
accumulate	累積する
accumulation	累積
accuracy	正確さ
accurate	正確
accursed	呪われた
accusation	告発
accusative	反論的
accuse	非難する
accused	告発された
accuser	告発者
accusing	非難する
accustomed	慣れた
ace	エース
acetic	酢酸
acetylene	アセチレン
ache	痛み
achieve	達成する
achieved	達成された
achievement	成果
aching	痛む
achy	痛い
acid	酸
acidity	酸度
acknowledge	認める
acknowledged	認められた
acknowledgement	了承
acknowledgment	了承
acme	アクメ
acne	にきび
acorn	ドングリ
acoustic	音響
acoustics	音響
acquaint	知り合い
acquaintance	知り合い
acquainted	知り合い
acquiescence	黙想
acquire	獲得する
acquiring	取得する
acquisition	取得
acquisitions	買収
acquit	無罪
acquittal	免罪
acre	エーカー
acreage	面積
acres	エーカー
acrobat	アクロバット
acrylic	アクリル
act	行為
acting	演技
action	アクション
action figure	アクションフィギュア
actionable	実行可能な
activate	活性化する
activation	活性化
active	アクティブ
activist	活動家
activity	アクティビティ
actor	俳優
actress	女優
actual	実際の
actuality	現実
actuary	保険証
acuity	視力
acumen	洞察力
acupuncture	鍼
acute	急性
acutely	鋭く
ad	広告
adage	敬意
adamant	固執する
adapt	適応する
adaptable	適応性のある
adaptation	適応
add	追加する
added	追加された
addendum	補遺
adder	加算器
addict	中毒
addicted	中毒
addiction	中毒
addictive	中毒性の
addition	添加
additional	追加
additive	添加剤
address	住所
addressee	宛名
addresses	アドレス
adept	熟達した
adequacy	妥当性
adequate	十分な
adhere	付着する
adherence	遵守
adherent	付着した
adhering	付着する
adhesion	接着力
adhesive	接着剤
adieu	アジュー
adipose	脂肪
adjacency	隣接
adjacent	隣接
adjective	形容詞
adjoining	隣接する
adjourn	延期する
adjournment	延期
adjudicate	裁定する
adjudication	判決
adjunct	補助
adjust	調整する
adjuster	アジャスター
adjustment	調整
adjuvant	アジュバント
admin	管理者
administer	管理する
administration	投与
administrative	行政
administrator	管理者
admirable	素晴らしい
admiral	提督
admiralty	アドミラル
admiration	感嘆
admire	賞賛する
admired	賞賛された
admirer	賛美者
admiring	憧れている
admissibility	許容性
admissible	容認できる
admission	入場料
admit	認める
admittance	アドミタンス
admitted	認められた
admitting	認めている
admixture	混和
admonition	訓戒
ado	痛み
adobe	アドビ
adolescence	思春期
adolescent	思春期の
adopt	採用
adoption	採択
adoptive	養子
adorable	愛らしい
adoration	礼拝
adore	崇拝します
adoring	崇拝する
adorn	飾る
adornment	装飾
adrenalin	アドレナリン
adrenaline	アドレナリン
adrift	漂流する
adult	大人
adulterated	混入した
adulterer	凶悪犯
adultery	姦通
adulthood	成人期
advance	前進
advanced	高度な
advancement	アドバンス
advancing	前進
advantage	利点
advantageous	有利
advent	出現
adventure	冒険
adventurer	冒険家
adventures	冒険
adventurous	冒険的な
adversary	敵
adverse	有害な
adversity	逆境
advertise	広告する
advertisement	広告
advertising	広告
adverts	広告
advice	助言
advisable	お勧め
advise	アドバイス
advised	アドバイス
advisement	勧告
adviser	顧問
advisor	顧問
advisory	勧告
advocacy	アドボカシー
advocate	主張する
aegis	イージス
aeration	通気
aerial	空中
aerobics	エアロビクス
aerodrome	飛行場
aerodynamic	空力
aerodynamics	空力
aeronautics	航空学
aeroplane	飛行機
aerospace	航空宇宙
aesthetic	美的
aesthetics	美学
aetiology	病因論
afar	遠く
affable	親切な
affair	事件
affect	影響を与える
affecting	影響
affection	愛情
affectionate	愛情のある
affections	愛情
affiche	NO TRANSLATION
affidavit	宣誓供述書
affiliated	提携
affiliation	所属
affinity	親和性
affirm	肯定する
affirmation	肯定
affirmative	肯定的な
affirmatively	肯定的に
affix	接辞
afflict	苦しめる
afflicted	悩んでいる
affliction	苦しみ
affluence	豊かな
affluent	豊かな
afford	余裕
affordable	手頃な価格
affront	侮辱
affronted	謝られた
afield	アフィールド
afire	火災
afloat	浮く
afore	前の
aforementioned	前述の
aforesaid	前述の
afraid	恐れ
afresh	新たに
african	アフリカ人
aft	後部
afterlife	後世
aftermath	余波
afternoon	午後
aftershave	アフターシェーブ
aftertaste	後味
afterthought	結果論
aga	NO TRANSLATION
agape	アガペ
agate	瑪瑙
age	年齢
aged	老人
agency	代理店
agenda	議題
agent	エージェント
agglomeration	凝集
aggravate	悪化させる
aggravated	悪化した
aggravates	悪化する
aggravating	悪化する
aggravation	悪化
aggregate	集計
aggregation	凝集
aggresive	NO TRANSLATION
aggression	侵略
