Word	haw
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	a hope
abacus	ke kumu
abalone	abalone
abandon	haʻalele
abandoned	haʻaleleʻia
abandonment	ka haʻalele
abashed	hoʻohaʻahaʻaʻia
abate	abate
abatement	hoʻopau
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	hoʻopau
abbreviation	hoʻopiʻi
abdomen	ka'ōpū
abdominal	abdominal
abduct	laweʻia
abduction	laweʻia
aberrant	aberrant
aberration	hoʻohaʻahaʻa
abeyance	e hana
abhor	hoʻowahāwahā
abhorrence	hoʻopailua
abhorrent	hoʻopailua
abide	e noho
abiding	e noho ana
ability	hiki
abject	abject
ablation	hoʻopau
ablaze	hoʻopailua
able	hiki
abnormal	ʻanoʻino
abnormality	hewaʻole
aboard	ka moku
abode	noho
abolish	hoʻopauʻia
abolition	hoʻopau
abominable	mea hoʻopailua
abominate	hoʻowahāwahā
abomination	ino
aboriginal	nā haole
abort	hele
abortion	hāpai i ka'ōpū
abortive	hoʻopunipuni
abound	nui
abovementioned	luna i oleloia
abracadabra	abracadabra
abrasion	abrasion
abrasive	hoʻopau
abreast	kūlana
abroad	ma waho
abrogate	hoʻopauʻia
abrupt	ua palaha
abruptly	me ka haʻalulu
abscess	kūleʻa
absence	ka hala
absent	nele
absentee	ke kali nei
absenteeism	ka hope
absinthe	ka absinthe
absolute	paʻa
absolution	haʻalele
absolve	e pale
absorb	hoʻopau
absorbed	makemake
absorbent	ua pale
absorbing	hōʻawe
absorption	ka hopena
abstain	abstain
abstention	hoʻopakele
abstinence	abstinence
abstract	kūlana
abstraction	kūʻokoʻa
absurd	kuhihewa
absurdity	ʻoiaʻiʻo
abundance	nui
abundant	nui
abuse	hoʻomāinoino
abused	hoʻohana hoʻomāinoinoʻia
abusive	hewa
abutment	hoʻopūkā
aby	NO TRANSLATION
abysmal	pīhoihoi
abyss	abyss
academic	kula
academy	kulanui
accede	kūleʻa
accelerant	accelerant
accelerate	e hoʻonui
accelerated	hoʻonuiʻia
acceleration	ka piʻi
accelerator	ka holomua
accent	ka leo
accentuate	hoʻonani
accept	eʻae
acceptable	ʻoluʻolu
acceptance	'āpono
acceptances	nāʻae
access	kahe
accessible	hiki ke hiki
accession	ke kākoʻo
accessory	mea hoʻohana
accident	pilikia
accidental	pilikia
accidentally	me kaʻikeʻole
acclaim	ke oli
accolade	hoʻolaha
accommodate	hoʻokipa
accommodation	hale noho
accompaniment	ka pāʻani
accompany	e hele pū
accompanying	hele pū me ia
accomplice	hana
accomplish	hoʻopau
accomplished	ua hoʻokōʻia
accomplishment	ka holomua
accord	ʻae
accordance	e like me
accordion	hui
account	pūnaeke
accountability	ka pono
accountable	pono e kūpono
accountant	ka mea loilo
accounting	ʻike helu
accounts	nā moʻolelo
accredited	ʻikeʻia
accretion	kūleʻa
accrue	hoʻonui
accueil	NO TRANSLATION
accumulate	hōʻiliʻili
accumulation	ka hoʻonuiʻana
accuracy	pololei
accurate	pololei
accursed	e hōʻinoʻia
accusation	hewa
accusative	hewa
accuse	hoopii
accused	hoopii
accuser	ka mea hoʻopiʻi
accusing	e hoopii ana
accustomed	ʻikeʻia
ace	ace
acetic	'Apene
acetylene	acetylene
ache	maʻi
achieve	hoʻokō
achieved	i loaʻa
achievement	ka hopena
aching	ke kaumaha
achy	achy
acid	waikawa
acidity	ka momona
acknowledge	ʻike
acknowledged	ʻikeʻia
acknowledgement	ʻike
acknowledgment	ʻike
acme	acme
acne	ʻene
acorn	acorn
acoustic	acoustic
acoustics	acoustics
acquaint	ʻike
acquaintance	ʻike
acquainted	ʻike
acquiescence	ʻike
acquire	loaʻa
acquiring	loaʻa
acquisition	loaʻa
acquisitions	nā kūʻai
acquit	ʻike
acquittal	hoʻopakele
acre	eka
acreage	pākuʻi
acres	eka
acrobat	hoʻopiʻi
acrylic	acrylic
act	hana
acting	hana
action	hana
action figure	ka helu hana
actionable	wikiwiki
activate	hoʻopauʻia
activation	ho'āʻoʻia
active	paʻa
activist	ka mea hana
activity	hana
actor	ka mea hana
actress	ka mea hana
actual	ʻoiaʻiʻo
actuality	ʻoiaʻiʻo
actuary	ka pilikino
acuity	hale
acumen	acumen
acupuncture	acupuncture
acute	nui
acutely	ʻoiai
ad	hoʻolaha
adage	'ōlelo
adamant	adamant
adapt	hoʻoponopono
adaptable	hiki ke loli
adaptation	hoʻoponopono
add	hoʻohui
added	hoʻopauʻia
addendum	hoʻopau hou
adder	adder
addict	pili kīʻaha
addicted	hoʻopauʻia
addiction	hoʻopau
addictive	hoʻopiʻi
addition	hoʻopau
additional	hoʻonui hou aku
additive	hoʻopau
address	wahi helu
addressee	pākuʻi
addresses	nā pane
adept	maikaʻi
adequacy	kūpono
adequate	lawa
adhere	hoʻopili
adherence	kūlou
adherent	kūlou
adhering	hoʻopili
adhesion	adhesion
adhesive	hoʻopili
adieu	adieu
adipose	ke kūlana
adjacency	ke kūkākūkā
adjacent	e pili ana
adjective	mahalo
adjoining	e pili ana
adjourn	hoʻopaneʻe
