Word	sl
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	Nadaljuj
abacus	abakus
abalone	abalone
abandon	opusti
abandoned	opuščeni
abandonment	opustitev
abashed	strmoglavilo
abate	zmanjšati
abatement	zmanjšanje
abba	abba
abbey	opatij
abbot	NO TRANSLATION
abbreviate	okrajšava
abbreviation	okrajšava
abdomen	trebuh
abdominal	trebuh
abduct	ugrabiti
abduction	ugrabitev
aberrant	aberrant
aberration	aberacija
abeyance	opustitev
abhor	Odguba
abhorrence	aborstanca
abhorrent	Odvratno
abide	Ostani
abiding	Spoštovanje
ability	sposobnost
abject	abject
ablation	ablacija
ablaze	plamen
able	sposoben
abnormal	nenormalno
abnormality	nenormalnost
aboard	na krovu
abode	bivanje
abolish	ukiniti
abolition	ukinitev
abominable	gnusno
abominate	oporekati
abomination	gnusoba
aboriginal	Aboriginalna
abort	prekiniti
abortion	splav
abortive	neuspešna
abound	obilo
abovementioned	zgoraj omenjeno
abracadabra	abracadabra
abrasion	abrazija
abrasive	abraziv
abreast	v korak
abroad	v tujini
abrogate	razveljaviti
abrupt	nenaden
abruptly	nenadoma
abscess	absces
absence	odsotnost
absent	odsoten
absentee	odsoten
absenteeism	odsotnost
absinthe	absinthe
absolute	absolutno
absolution	odsotnost
absolve	oprostite
absorb	absorbira
absorbed	absorbira
absorbent	absorbent
absorbing	absorbira
absorption	absorpcija
abstain	vzdržati
abstention	vzdržani
abstinence	abstinenca
abstract	abstraktno
abstraction	abstrakcija
absurd	absurdno
absurdity	absurdnost
abundance	obilje
abundant	bogat
abuse	zlorabe
abused	zlorabljena
abusive	zloraba
abutment	abutment
aby	NO TRANSLATION
abysmal	ogorčen
abyss	brezno
academic	akademski
academy	akademija
accede	pristopi
accelerant	pospeševalec
accelerate	pospešiti
accelerated	pospešeno
acceleration	pospešek
accelerator	pospeševalec
accent	naglas
accentuate	poudariti
accept	sprejema
acceptable	sprejemljivo
acceptance	sprejem
acceptances	sprejema
access	dostop
accessible	dostopen
accession	pristop
accessory	dodatna oprema
accident	nesreča
accidental	slučajno
accidentally	slučajno
acclaim	priznanje
accolade	priznanje
accommodate	sprejemati
accommodation	nastanitev
accompaniment	spremstvo
accompany	spremljajte
accompanying	spremljajo
accomplice	sostorilec
accomplish	izpolniti
accomplished	doseženo
accomplishment	dosežek
accord	sporazum
accordance	skladnost
accordion	harmonika
account	račun
accountability	odgovornost
accountable	odgovoren
accountant	računovodja
accounting	računovodstvo
accounts	računov
accredited	akreditiran
accretion	povečanje
accrue	pridobiti
accueil	NO TRANSLATION
accumulate	kopičijo
accumulation	kopičenje
accuracy	natančnost
accurate	natančno
accursed	preklet
accusation	obtožba
accusative	akuzativ
accuse	obtožiti
accused	obtožen
accuser	obtožilec
accusing	obtožujejo
accustomed	navajeni
ace	As
acetic	ocetek
acetylene	acetilen
ache	bolečina
achieve	doseči
achieved	doseženi
achievement	dosežek
aching	bolečine
achy	achy
acid	kisline
acidity	kislost
acknowledge	potrdite
acknowledged	priznano
acknowledgement	potrditev
acknowledgment	potrditev
acme	acme
acne	akne
acorn	želod
acoustic	akustično
acoustics	akustika
acquaint	seznaniti se
acquaintance	znanca
acquainted	spoznali
acquiescence	privolitev
acquire	pridobiti
acquiring	pridobivanje
acquisition	pridobitev
acquisitions	pridobitve
acquit	oprostiti
acquittal	oprostitev
acre	acre
acreage	površina
acres	hektarjev
acrobat	akrobat
acrylic	akril
act	ukrepati
acting	igrati
action	ukrepanje
action figure	Akcijska figura
actionable	dejanski
activate	aktivirajte
activation	aktiviranje
active	aktiven
activist	aktivist
activity	dejavnost
actor	igralec
actress	igralka
actual	dejansko
actuality	aktualnost
actuary	aktuar
acuity	ostrina
acumen	acumen
acupuncture	akupunktura
acute	akutni
acutely	akutno
ad	oglas
adage	adage
adamant	trdno
adapt	prilagoditi
adaptable	prilagodljiv
adaptation	prilagoditev
add	dodaj
added	dodano
addendum	dodatek
adder	seštevalnik
addict	odvisnik
addicted	odvisen
addiction	zasvojenost
addictive	zasvojenost
addition	Poleg tega
additional	dodatno
additive	aditiv
address	naslov
addressee	naslovnik
addresses	naslovi
adept	adept
adequacy	ustreznost
adequate	primerno
adhere	drži
adherence	spoštovanje
adherent	adherent
adhering	držati se
adhesion	adhezija
adhesive	lepilo
adieu	adieu
adipose	maščobo
adjacency	sosedstvo
adjacent	bližnji
adjective	pridevnik
adjoining	sosednje
adjourn	prekinitev
adjournment	odlog
adjudicate	odločanje
adjudication	presojanje
adjunct	dodatek
adjust	prilagodite
adjuster	nastavljiv
adjustment	prilagoditev
adjuvant	adjuvans
admin	admin
administer	dajanje
administration	uprava
administrative	upravni
administrator	administrator
admirable	občudujoče
admiral	Admiral
admiralty	Admiraliteta
admiration	občudovanje
admire	občuduj
admired	občudoval
admirer	občudovalec
admiring	občudujem
admissibility	dopustnost
admissible	dopusten
admission	sprejem
admit	priznati
admittance	sprejem
admitted	priznal
admitting	priznava
admixture	dodatek
admonition	opomin
ado	Ado
adobe	adobe
adolescence	adolescence
adolescent	mladostnik
