Word	da
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	overrasket
abacus	abacus
abalone	søøre
abandon	opgive
abandoned	forladt
abandonment	opgivelse
abashed	forknyt
abate	aftage
abatement	nedskæring
abba	abba
abbey	abbedi
abbot	abbed
abbreviate	forkorte
abbreviation	forkortelse
abdomen	mave
abdominal	abdominal
abduct	bortføre
abduction	bortførelse
aberrant	afvigende
aberration	aberration
abeyance	bero
abhor	afskyr
abhorrence	afsky
abhorrent	afskyeligt
abide	overholde
abiding	Abiding
ability	evne
abject	ynkelig
ablation	ablation
ablaze	i flammer
able	i stand
abnormal	abnorm
abnormality	abnormitet
aboard	ombord
abode	bolig
abolish	afskaffe
abolition	afskaffelsen
abominable	vederstyggelige
abominate	afsky
abomination	vederstyggelighed
aboriginal	aboriginal
abort	abort
abortion	abort
abortive	forfejlede
abound	bugne
abovementioned	ovennævnte
abracadabra	abracadabra
abrasion	slid
abrasive	slibende
abreast	ajour
abroad	i udlandet
abrogate	ophæver
abrupt	brat
abruptly	brat
abscess	byld
absence	fravær
absent	fraværende
absentee	fraværende
absenteeism	fravær
absinthe	absint
absolute	absolut
absolution	syndsforladelse
absolve	fritager
absorb	absorbere
absorbed	absorberet
absorbent	absorberende
absorbing	absorberende
absorption	absorption
abstain	afholde sig
abstention	afståelse
abstinence	afholdenhed
abstract	abstrakt
abstraction	abstraktion
absurd	absurd
absurdity	absurditet
abundance	overflod
abundant	rigelig
abuse	misbrug
abused	misbrugt
abusive	grov
abutment	abutment
aby	NO TRANSLATION
abysmal	afgrundsdyb
abyss	afgrunden
academic	akademisk
academy	akademi
accede	tiltræde
accelerant	accelerator
accelerate	fremskynde
accelerated	accelereret
acceleration	acceleration
accelerator	accelerator
accent	accent
accentuate	fremhæve
accept	acceptere
acceptable	acceptabel
acceptance	accept
acceptances	accepter
access	adgang
accessible	tilgængelig
accession	tiltrædelse
accessory	tilbehør
accident	ulykke
accidental	tilfældig
accidentally	ved en fejltagelse
acclaim	anerkendelse
accolade	hyldest
accommodate	imødekomme
accommodation	indkvartering
accompaniment	akkompagnement
accompany	ledsage
accompanying	medfølgende
accomplice	medskyldig
accomplish	opnå
accomplished	gennemført
accomplishment	realisering
accord	overenskomst
accordance	overensstemmelse
accordion	harmonika
account	konto
accountability	ansvarlighed
accountable	ansvarlig
accountant	revisor
accounting	regnskab
accounts	konti
accredited	akkrediteret
accretion	tilvækst
accrue	tilfalde
accueil	NO TRANSLATION
accumulate	ophobe
accumulation	akkumulering
accuracy	nøjagtighed
accurate	nøjagtig
accursed	forbandede
accusation	anklage
accusative	akkusativ
accuse	beskylde
accused	anklagede
accuser	anklager
accusing	beskylder
accustomed	vant
ace	es
acetic	eddikesyre
acetylene	acetylen
ache	smerte
achieve	opnå
achieved	opnået
achievement	præstation
aching	smertende
achy	ømme
acid	syre
acidity	surhedsgrad
acknowledge	anerkende
acknowledged	erkendte
acknowledgement	anerkendelse
acknowledgment	anerkendelse
acme	acme
acne	acne
acorn	agern
acoustic	akustisk
acoustics	akustik
acquaint	sætte
acquaintance	bekendtskab
acquainted	bekendtskab
acquiescence	føjelighed
acquire	erhverve
acquiring	erhverve
acquisition	erhvervelse
acquisitions	opkøb
acquit	frikende
acquittal	frikendelse
acre	hektar
acreage	areal
acres	acres
acrobat	akrobat
acrylic	akryl
act	handling
acting	skuespil
action	handling
action figure	Action figur
actionable	handlingsrettede
activate	aktivere
activation	aktivering
active	aktiv
activist	aktivist
activity	aktivitet
actor	skuespiller
actress	skuespillerinde
actual	faktiske
actuality	virkelighed
actuary	aktuar
acuity	skarphed
acumen	købmandskab
acupuncture	akupunktur
acute	spids
acutely	akut
ad	annonce
adage	ordsprog
adamant	ubøjelig
adapt	tilpasse
adaptable	tilpasningsdygtige
adaptation	tilpasning
add	tilføje
added	tilsat
addendum	tillæg
adder	adder
addict	narkoman
addicted	afhængige
addiction	afhængighed
addictive	vanedannende
addition	Ud
additional	ekstra
additive	tilsætningsstof
address	adresse
addressee	adressaten
addresses	adresser
adept	dygtig
adequacy	tilstrækkelighed
adequate	tilstrækkelig
adhere	klæbe
adherence	adhærens
adherent	vedhængende
adhering	vedhængende
adhesion	adhæsion
adhesive	klæbemiddel
adieu	farvel
adipose	fedtvæv
adjacency	adjacency
adjacent	tilstødende
adjective	adjektiv
adjoining	tilstødende
adjourn	udsætte
adjournment	udsættelse
adjudicate	træffe afgørelse i sagen
adjudication	pådømmelse
adjunct	supplement
adjust	justere
adjuster	justering
adjustment	justering
adjuvant	adjuvans
admin	admin
administer	forvalte
administration	administration
administrative	administrativ
administrator	administrator
admirable	beundringsværdig
admiral	admiral
admiralty	admiralitet
admiration	beundring
admire	beundre
admired	beundret
admirer	beundrer
admiring	beundrende
admissibility	antagelse
admissible	realitetsbehandling
admission	adgang
admit	indrømme
admittance	adgang
admitted	indrømmede
admitting	indrømme
admixture	blanding
admonition	formaning
ado	ADO
adobe	adobe
adolescence	ungdom
adolescent	teenager
adopt	vedtage
adoption	adoption
adoptive	adoptiv
adorable	yndig
