Word	hmn
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abacus
abalone	abalone
abandon	tso tseg
abandoned	tso tseg
abandonment	kev nrauj
abashed	abashed
abate	abate
abatement	kev txhim kho
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	abbreviate
abbreviation	hloov
abdomen	plab
abdominal	plab
abduct	tshem tawm
abduction	tshem tawm
aberrant	aberrant
aberration	aberration
abeyance	abeyance
abhor	abhor
abhorrence	abhorrence
abhorrent	abhorrent
abide	ua raws nraim li
abiding	ua raws
ability	muaj peev xwm
abject	abject
ablation	ablation
ablaze	kub hnyiab
able	ua tau
abnormal	txawv txav
abnormality	abnormality
aboard	aboard
abode	abode
abolish	tshem tawm
abolition	abolition
abominable	abominable
abominate	abominate
abomination	abomination
aboriginal	aboriginal
abort	rho tawm
abortion	rho menyuam
abortive	abortive
abound	abound
abovementioned	abovementioned
abracadabra	abracadabra
abrasion	puas ntsoog
abrasive	abrasive
abreast	abreast
abroad	txawv teb chaws
abrogate	abrogate
abrupt	abrupt
abruptly	abruptly
abscess	abscess
absence	tsis tuaj
absent	tsis tuaj
absentee	absentee
absenteeism	tsis tuaj
absinthe	absinthe
absolute	tsis meej
absolution	tsis nco qab
absolve	absolve
absorb	nqus tau
absorbed	absorbed
absorbent	absorbent
absorbing	absorbing
absorption	nqus dej
abstain	tshem tawm
abstention	tshem tawm
abstinence	abstinence
abstract	abstract
abstraction	abstraction
absurd	absurd
absurdity	absurdity
abundance	abundance
abundant	tshaj
abuse	kev tsim txom
abused	raug tsim txom
abusive	tsim txom
abutment	abutment
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	kev kawm
academy	academy
accede	tso cai
accelerant	ceev nrooj
accelerate	leeb
accelerated	ceev nrooj
acceleration	acceleration
accelerator	accelerator
accent	sis
accentuate	accentuate
accept	txais
acceptable	tau
acceptance	kev txaus sab
acceptances	kev pom zoo
access	nkag
accessible	puas siv tau
accession	kev nkag
accessory	accessory
accident	kev huam yuaj
accidental	lo lus
accidentally	ua yuam kev
acclaim	acclaim
accolade	ua tsaug
accommodate	pabcuam
accommodation	kev pabcuam
accompaniment	accompaniment
accompany	nrog xyuas
accompanying	nrog
accomplice	ua tiav
accomplish	ua tiav
accomplished	ua tiav
accomplishment	ua tiav
accord	accord
accordance	raws li txoj cai
accordion	accordion
account	account
accountability	lub luag hauj lwm
accountable	lav ris
accountant	tus accountant
accounting	accounting
accounts	accounts
accredited	accredited
accretion	accretion
accrue	sau
accueil	NO TRANSLATION
accumulate	noog
accumulation	tsub zuj zuj
accuracy	qhov tseeb
accurate	yog
accursed	accursed
accusation	kev liam
accusative	accusative
accuse	liam sim
accused	liam
accuser	tus neeg dag
accusing	accusing
accustomed	accustomed
ace	ace
acetic	acetic
acetylene	acetylene
ache	mob siab
achieve	ua tiav
achieved	tiav
achievement	kev ua tiav
aching	mob siab
achy	achy
acid	acid
acidity	acidity
acknowledge	lees paub
acknowledged	lees paub
acknowledgement	kev lees paub
acknowledgment	kev lees paub
acme	acme
acne	pob txuv
acorn	noob txiv qhib
acoustic	pob txaij
acoustics	acoustics
acquaint	kev paub
acquaintance	kev paub
acquainted	ntsib
acquiescence	kev pom zoo
acquire	tau
acquiring	nrhiav tau
acquisition	tshaaj
acquisitions	txais khoom
acquit	suav
acquittal	lees paub
acre	evkawj
acreage	acreage
acres	acres
acrobat	acrobat
acrylic	acrylic
act	ua
acting	yeeb yam
action	kev ua
action figure	daim ntawv txiav txim
actionable	ua tau
activate	qhib
activation	ua kom
active	nquag
activist	activist
activity	kev ua si
actor	actor
actress	actress
actual	tseeb
actuality	qhov tseeb
actuary	neeg ua hauj lwm
acuity	acuity
acumen	acumen
acupuncture	acupuncture
acute	mob
acutely	acutely
ad	ad
adage	adage
adamant	adamant
adapt	hloov
adaptable	adaptable
adaptation	hloov dua siab tshiab
add	ntxiv
added	ntxiv
addendum	daim ntawv ntxiv
adder	adder
addict	tus yees
addicted	quav
addiction	kev quav tshuaj
addictive	hom
addition	Ntxiv
additional	ntxiv
additive	additive
address	chaw nyob
addressee	tus neeg teb xov tooj
addresses	chaw nyob
adept	adept
adequacy	txaus tsim nyog
adequate	txaus
adhere	koom
adherence	kev ua raws
adherent	adherent
adhering	adhering
adhesion	adhesion
adhesive	nplaum
adieu	koj nyiam
adipose	adipose
adjacency	nyob ib sab
adjacent	nyob ib sab
adjective	chaw
adjoining	sib txuas
adjourn	thau xaus
adjournment	sijhawm xaus
adjudicate	ua txhaum
adjudication	kev txiav txim
adjunct	adjunct
adjust	kho
adjuster	teeb tsa
adjustment	kev hloov
adjuvant	adjuvant
admin	Admin
administer	tswj hwm
administration	kev tswj hwm
administrative	kev tswj hwm
administrator	tus thawj coj
admirable	qhuas
admiral	admiral
admiralty	admiralty
admiration	admiration
admire	qhuas
admired	qhuas
admirer	admirer
admiring	qhuas
admissibility	kev pom zoo
admissible	lees txais
admission	nkag
admit	lees
admittance	kev nkag
admitted	txais
admitting	lees paub
admixture	kev tuaj yeem
