Word	ru
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	трубкозуб
aback	сзади
abacus	счеты
abalone	морское ушко
abandon	отказаться от
abandoned	заброшенный
abandonment	оставление
abashed	сконфуженный
abate	утихать
abatement	снижение
abba	авва
abbey	аббатство
abbot	NO TRANSLATION
abbreviate	сокращать
abbreviation	сокращение
abdomen	брюшная полость
abdominal	абдоминальный
abduct	похищать
abduction	отведение
aberrant	отклоняющийся
aberration	аберрация
abeyance	латентность
abhor	питать отвращение
abhorrence	омерзение
abhorrent	отвратительный
abide	соблюдать
abiding	неизменный
ability	способность
abject	униженный
ablation	абляция
ablaze	пылать
able	в состоянии
abnormal	ненормальный
abnormality	ненормальность
aboard	на борту
abode	местопребывание
abolish	упразднять
abolition	отмена
abominable	отвратительный
abominate	питать отвращение
abomination	мерзость
aboriginal	аборигенный
abort	выкинуть
abortion	аборт
abortive	абортивный
abound	изобиловать
abovementioned	вышеупомянутый
abracadabra	абракадабра
abrasion	истирание
abrasive	абразивный
abreast	в ряд
abroad	за границу
abrogate	упразднять
abrupt	крутой
abruptly	резко
abscess	абсцесс
absence	отсутствие
absent	нет на месте
absentee	отсутствующий
absenteeism	абсентеизм
absinthe	абсент
absolute	абсолютный
absolution	отпущение грехов
absolve	освобождать
absorb	абсорбировать
absorbed	поглощенный
absorbent	абсорбирующий
absorbing	поглощающий
absorption	поглощение
abstain	воздерживаться
abstention	воздержанность
abstinence	абстиненция
abstract	Абстрактные
abstraction	абстракция
absurd	абсурд
absurdity	нелепость
abundance	изобилие
abundant	обильный
abuse	злоупотребление
abused	злоупотребляли
abusive	оскорбительный
abutment	устой
aby	NO TRANSLATION
abysmal	бездонный
abyss	бездна
academic	академический
academy	академия
accede	присоединяться
accelerant	ускоритель
accelerate	ускорять
accelerated	ускоренный
acceleration	ускорение
accelerator	ускоритель
accent	акцент
accentuate	акцентировать
accept	принимать
acceptable	приемлемо
acceptance	принятие
acceptances	акцепты
access	доступ
accessible	доступной
accession	присоединение
accessory	аксессуар
accident	авария
accidental	случайный
accidentally	случайно
acclaim	шумное приветствие
accolade	акколада
accommodate	вмещать
accommodation	жилье
accompaniment	сопровождение
accompany	сопровождать
accompanying	сопровождая
accomplice	соучастник
accomplish	выполнять
accomplished	осуществляется
accomplishment	достижение
accord	согласие
accordance	соответствие
accordion	аккордеон
account	Счет
accountability	подотчетность
accountable	подотчетный
accountant	бухгалтер
accounting	учет
accounts	Счета
accredited	аккредитованный
accretion	срастание
accrue	доставаться
accueil	NO TRANSLATION
accumulate	скапливаться
accumulation	накопление
accuracy	точность
accurate	точный
accursed	проклятый
accusation	обвинение
accusative	винительный
accuse	обвинять
accused	обвиняемый
accuser	обвинитель
accusing	обвинение
accustomed	привыкший
ace	туз
acetic	уксусный
acetylene	ацетилен
ache	боль
achieve	достигать
achieved	достигнутый
achievement	достижение
aching	болящий
achy	больной
acid	кислота
acidity	кислотность
acknowledge	признавать
acknowledged	признанный
acknowledgement	подтверждение
acknowledgment	подтверждение
acme	кульминация
acne	акне
acorn	желудь
acoustic	акустическое
acoustics	акустика
acquaint	знакомить
acquaintance	знакомство
acquainted	знакомый
acquiescence	уступчивость
acquire	приобретать
acquiring	приобретение
acquisition	получение
acquisitions	приобретения
acquit	оправдать
acquittal	оправдание
acre	акр
acreage	площадь
acres	акра
acrobat	акробат
acrylic	акрил
act	акт
acting	действующий
action	действие
action figure	фигура действия
actionable	действенные
activate	активировать
activation	активация
active	активный
activist	активист
activity	Мероприятия
actor	актер
actress	актриса
actual	фактический
actuality	действительность
actuary	актуарий
acuity	острота
acumen	сообразительность
acupuncture	иглоукалывание
acute	острый
acutely	остро
ad	объявление
adage	изречение
adamant	непреклонный
adapt	адаптироваться
adaptable	адаптируются
adaptation	приспособление
add	Добавить
added	добавленной
addendum	добавление
adder	сумматор
addict	наркоман
addicted	склонный
addiction	зависимость
addictive	привыкание
addition	прибавление
additional	дополнительный
additive	присадка
address	адрес
addressee	адресат
addresses	адреса
adept	искусный
adequacy	достаточность
adequate	адекватный
adhere	придерживаться
adherence	соблюдение
adherent	приверженец
adhering	придерживаясь
adhesion	адгезия
adhesive	клей
adieu	прощайте
adipose	жировой
adjacency	смежность
adjacent	примыкающий
adjective	имя прилагательное
adjoining	прилегающий
adjourn	закрывать
adjournment	отложение
adjudicate	выносить приговор
adjudication	судебное решение
adjunct	адъюнкт
adjust	регулировать
adjuster	оценщик
adjustment	регулировка
adjuvant	адъювант
admin	админ
administer	управлять
administration	администрация
administrative	административный
administrator	администратор
admirable	замечательный
admiral	адмирал
admiralty	адмиралтейство
admiration	восхищение
admire	восхищаться
admired	почитаемый
admirer	обожатель
admiring	восхищенный
admissibility	допустимость
admissible	допустимый
admission	вход
admit	признавать
admittance	впуск
admitted	признал
admitting	допускающий
admixture	примесь
admonition	замечание
ado	суматоха
adobe	саман
adolescence	подростковый возраст
adolescent	подросток
adopt	принять
adoption	принятие
adoptive	усыновленный
adorable	обожаемый
adoration	обожание
adore	обожать
adoring	поклоняющийся
adorn	украшать
adornment	украшение
