Word	hr
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	južnoafrički mravojed
aback	po krmi
abacus	računaljka
abalone	puzlatka
abandon	napustiti
abandoned	napušten
abandonment	napuštanje
abashed	zbunjen
abate	smanjiti se
abatement	smanjenje
abba	Abba
abbey	opatija
abbot	opat
abbreviate	skratiti
abbreviation	skraćenica
abdomen	trbuh
abdominal	trbušni
abduct	oteti
abduction	otmica
aberrant	nenormalan
aberration	aberacija
abeyance	stanje neizvjesnosti
abhor	mrziti
abhorrence	gađenje
abhorrent	odvratan
abide	prebivati
abiding	trajan
ability	sposobnost
abject	preziran
ablation	amputacija
ablaze	u plamenu
able	u stanju
abnormal	nenormalan
abnormality	abnormalnost
aboard	na brodu
abode	prebivalište
abolish	ukinuti
abolition	abolicija
abominable	odvratan
abominate	gnušati se
abomination	grozota
aboriginal	starosjedilac
abort	prekid
abortion	abortus
abortive	prijevremen
abound	obilovati
abovementioned	gore rečeno
abracadabra	abrakadabra
abrasion	abrazija
abrasive	abraziv
abreast	u toku
abroad	u inozemstvu
abrogate	ukinuti
abrupt	isprekidan
abruptly	iznenada
abscess	gnojni čir
absence	odsutnost
absent	odsutan
absentee	odsutni
absenteeism	izostajanje sa posla
absinthe	pelin
absolute	apsolutan
absolution	oprost
absolve	osloboditi
absorb	upiti
absorbed	upijen
absorbent	upijajući
absorbing	apsorpcioni
absorption	apsorpcija
abstain	uzdržati se
abstention	uzdržavanje
abstinence	apstinencija
abstract	sažetak
abstraction	apstrakcija
absurd	apsurdno
absurdity	apsurd
abundance	obilje
abundant	obilan
abuse	zlostavljanje
abused	zlostavljana
abusive	uvredljiv
abutment	upornjak
aby	NO TRANSLATION
abysmal	bez dna
abyss	bezdan
academic	akademski
academy	akademija
accede	pristati
accelerant	ubrzivač
accelerate	ubrzati
accelerated	ubrzan
acceleration	ubrzanje
accelerator	akcelerator
accent	naglasak
accentuate	naglasiti
accept	prihvatiti
acceptable	prihvatljiv
acceptance	prihvaćanje
acceptances	prihvaćanja
access	pristup
accessible	dostupan
accession	pristupanje
accessory	oprema
accident	nesreća
accidental	slučajan
accidentally	slučajno
acclaim	uzvikivanje
accolade	priznanje
accommodate	smjestiti
accommodation	smještaj
accompaniment	pratnja
accompany	pratiti
accompanying	prateći
accomplice	saučesnik
accomplish	ostvariti
accomplished	ostvariti
accomplishment	svršavanje
accord	sporazum
accordance	suglasnost
accordion	harmonika
account	račun
accountability	odgovornost
accountable	odgovoran
accountant	računovođa
accounting	računovodstvo
accounts	računi
accredited	akreditovan
accretion	srastanje
accrue	pritjecati
accueil	NO TRANSLATION
accumulate	akumulirati
accumulation	akumulacija
accuracy	točnost
accurate	točan
accursed	proklet
accusation	optužba
accusative	akuzativ
accuse	optužiti
accused	optuženik
accuser	tužilac
accusing	optužujući
accustomed	navikao
ace	as
acetic	octena
acetylene	acetilen
ache	boljeti
achieve	postići
achieved	postići
achievement	dostignuće
aching	bolan
achy	laganu bol
acid	kiselina
acidity	kiselost
acknowledge	priznati
acknowledged	priznao
acknowledgement	priznanje
acknowledgment	priznanje
acme	vrhunac
acne	akne
acorn	žir
acoustic	akustički
acoustics	akustika
acquaint	upoznati
acquaintance	poznanik
acquainted	upoznat
acquiescence	pomirenje
acquire	steći
acquiring	stjecanje
acquisition	akvizicija
acquisitions	akvizicije
acquit	osloboditi
acquittal	oslobađajuća presuda
acre	ral
acreage	površina u jutrima
acres	jutara
acrobat	akrobata
acrylic	akril
act	čin
acting	gluma
action	akcijski
action figure	akcijska figurica
actionable	podložan zakonskom suđenju
activate	aktivirati
activation	aktiviranje
active	aktivan
activist	aktivista
activity	aktivnost
actor	glumac
actress	glumica
actual	stvaran
actuality	stvarnost
actuary	statističar osiguravajućeg zavoda
acuity	oštrina
acumen	sposobnost
acupuncture	akupunktura
acute	akutan
acutely	akutno
ad	oglas
adage	poslovica
adamant	nepopustljiv
adapt	prilagoditi
adaptable	prilagodljiv
adaptation	prilagodba
add	dodati
added	dodano
addendum	dodatak
adder	guja
addict	odati se
addicted	ovisan
addiction	ovisnost
addictive	ovisnost
addition	dodatak
additional	dodatni
additive	aditiv
address	adresa
addressee	adresat
addresses	adrese
adept	vješt
adequacy	adekvatnost
adequate	adekvatan
adhere	prianjati
adherence	prianjanje
adherent	sljedbenik
adhering	pridržavanje
adhesion	prianjanje
adhesive	adheziv
adieu	zbogom
adipose	masan
adjacency	susjedstvo
adjacent	susjedan
adjective	pridjev
adjoining	susjedan
adjourn	odgoditi
adjournment	odlaganje
adjudicate	presuditi
adjudication	presuda
adjunct	dodatak
adjust	prilagoditi
adjuster	regulator
adjustment	podešavanje
adjuvant	katalizator
admin	admin
administer	upravljati
administration	uprava
administrative	upravni
administrator	administrator
admirable	izvrstan
admiral	admiral
admiralty	admiralitet
admiration	divljenje
admire	diviti se
admired	cijenjen
admirer	obožavatelj
admiring	diveći
admissibility	dopuštenost
admissible	dopustiv
admission	ulaz
admit	priznati
admittance	ulaz
admitted	priznao
admitting	priznajući
admixture	primjesa
admonition	ukor
ado	teškoća
