Word	tg
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	Садо Ояндасоз
aback	бесабаб нест
abacus	abacus
abalone	Садо Ояндасоз
abandon	тарк кунед
abandoned	партофташуда
abandonment	тарк кардан
abashed	нопадид шудааст
abate	хонд
abatement	камшавии
abba	Абба
abbey	Садо Ояндасоз
abbot	NO TRANSLATION
abbreviate	кӯтоҳ
abbreviation	калимаҳо
abdomen	шикам
abdominal	шикам
abduct	даст кашидан
abduction	истисмор
aberrant	aberrant
aberration	аъмол
abeyance	бадбахтӣ
abhor	нафратангез
abhorrence	нафратангез
abhorrent	Садо Ояндасоз
abide	истироҳат кунед
abiding	бодиққат бошед
ability	қобилият дорад
abject	данд
ablation	ablation
ablaze	бедор
able	қобилият доранд
abnormal	ғайриоддӣ
abnormality	бетафовутӣ
aboard	дар бар мегирад
abode	зиндагӣ мекунад
abolish	бекор карда шудааст
abolition	бекоркунӣ
abominable	вайроннашаванда
abominate	золимона
abomination	золимона
aboriginal	Аборугин
abort	бекор карда шудааст
abortion	аборт
abortive	бекор карда шудааст
abound	зиёд аст
abovementioned	дар боло қайд карда шудааст
abracadabra	Абрамакабра
abrasion	абрешим
abrasive	кист?
abreast	фароғат
abroad	дар хориҷа
abrogate	бекор кунед
abrupt	заъиф
abruptly	ҳаргиз
abscess	аҷиб
absence	набудани
absent	набуд
absentee	бесабаб нест
absenteeism	дарсгурезӣ
absinthe	пажмурда мешавад
absolute	мутлақ
absolution	Сатторӣ
absolve	аз байн меравад
absorb	кандашуда
absorbed	рабуданд
absorbent	сӯзишворӣ
absorbing	садақа кардан
absorption	истихроҷ
abstain	бедор бошед
abstention	Бештар
abstinence	бепарвоӣ
abstract	суст
abstraction	Бештар
absurd	ноком
absurdity	нокомии
abundance	фаровонӣ
abundant	фаровон аст
abuse	зӯроварӣ
abused	истифода шудааст
abusive	золимона
abutment	абутент
aby	NO TRANSLATION
abysmal	бадбахт
abyss	варақ
academic	академикӣ
academy	академик
accede	вироиш
accelerant	тезтар
accelerate	тезтар
accelerated	суръатбахш аст
acceleration	суръатбахшӣ
accelerator	суръатбахш
accent	аксуламал
accentuate	таъкид мекунад
accept	қабул кунед
acceptable	қабул карда шудааст
acceptance	қабул
acceptances	қабул
access	дастрасӣ
accessible	дастрас аст
accession	дохил шудан
accessory	дастрасӣ
accident	садама
accidental	тасодуфӣ
accidentally	тасодуфан
acclaim	гиред
accolade	тақдир
accommodate	ҷойгир кунед
accommodation	манзил
accompaniment	ҳамроҳӣ кунед
accompany	ҳамроҳӣ кунед
accompanying	ҳамроҳ шудан
accomplice	ҳамкорон
accomplish	анҷом диҳед
accomplished	анҷом ёфт
accomplishment	муваффақият
accord	шарт аст
accordance	мувофиқи
accordion	Акнун
account	ҳисоб
accountability	ҳисоботдиҳӣ
accountable	ҳисоб карда мешавад
accountant	бухгалтерӣ
accounting	ҳисобдорӣ
accounts	ҳисобҳо
accredited	аккредитатсия
accretion	Бештар
accrue	садақа кардан
accueil	NO TRANSLATION
accumulate	ҷамъ меоваранд
accumulation	ҷамъоварӣ
accuracy	дақиқ
accurate	дуруст
accursed	лутфан
accusation	айбдоршаванда
accusative	айбдоршаванда
accuse	айбдор кунед
accused	айбдор карда шудааст
accuser	даъвогар
accusing	айбдоршаванда
accustomed	одат кардааст
ace	данд
acetic	антитикӣ
acetylene	acetylene
ache	Садо Ояндасоз
achieve	ноил шудан
achieved	ба даст оварданд
achievement	дастовардҳо
aching	андеша
achy	Ачӣ
acid	кислота
acidity	кислота
acknowledge	эътироф кун
acknowledged	эътироф кард
acknowledgement	эътироф
acknowledgment	эътироф
acme	Ойини мадоро
acne	акне
acorn	acorn
acoustic	акустикӣ
acoustics	акустика
acquaint	шинос шавед
acquaintance	шиносоӣ
acquainted	шинос шуд
acquiescence	қабули қарор
acquire	дарёфт кунед
acquiring	харидорӣ
acquisition	ба даст овардан
acquisitions	харид
acquit	ба даст овардан
acquittal	ройгон
acre	акре
acreage	акракт
acres	хекторҳо
acrobat	acrobat
acrylic	акрил
act	амал
acting	амал мекунанд
action	амал
action figure	Шабакаи корӣ
actionable	амал карда мешавад
activate	фаъол гардед
activation	фаъолона
active	фаъолона
activist	фаъол
activity	фаъолият
actor	акор
actress	актриса
actual	воқеӣ
actuality	воқеӣ
actuary	амал мекунанд
acuity	сустӣ
acumen	acumen
acupuncture	acupuncture
acute	шадидтар
acutely	ба таври фаврӣ
ad	реклама
adage	адв
adamant	хомӯш
adapt	мутобиқ
adaptable	adaptable
adaptation	мутобиқсозӣ
add	илова кунед
added	илова карда шуд
addendum	замима
adder	дандон
addict	лутфан
addicted	хафа шуд
addiction	лутфан
addictive	латофат
addition	Илова бар ин,
additional	иловагӣ
additive	илова кардан
address	суроға
addressee	суроға
addresses	суроғаҳо
adept	Оддӣ
adequacy	кифоя аст
adequate	кофӣ аст
adhere	риоя кунед
adherence	риоя кардан
adherent	риоя кунед
adhering	риоя кардан
adhesion	шустани он
adhesive	ширин
adieu	Ойини мадоро
adipose	adipose
adjacency	ҳамсоягӣ
