Word	gu
aaaaaaah	આયાઆહહ
aaaah	NO TRANSLATION
aardvark	આર્ડવર્ક
aback	અચાનક
abacus	એબાસ
abalone	અબાલોન
abandon	છોડી દો
abandoned	ત્યજી
abandonment	પરિત્યાગ
abashed	શરમજનક
abate	ઓછું કરવું
abatement	ઘટાડા
abba	અબા
abbey	એબી
abbot	NO TRANSLATION
abbreviate	સંક્ષિપ્ત
abbreviation	સંક્ષેપ
abdomen	પેટ
abdominal	પેટની
abduct	અપહરણ
abduction	અપહરણ
aberrant	બદનક્ષી
aberration	વિચલન
abeyance	સ્થગિતતા
abhor	તિરસ્કારવું
abhorrence	દ્વેષ
abhorrent	ઘૃણાસ્પદ
abide	પાલન
abiding	પાલન
ability	ક્ષમતા
abject	નબળું
ablation	ઘટાડામાં
ablaze	પ્રજ્વલિત
able	સક્ષમ
abnormal	અસામાન્ય
abnormality	અસાધારણતા
aboard	વહાણમાં
abode	ઘર
abolish	નાબૂદ કરો
abolition	નાબૂદી
abominable	ઘૃણાસ્પદ
abominate	ધિક્કારવું
abomination	નફરત
aboriginal	આદિમ
abort	બંધ કરો
abortion	ગર્ભપાત
abortive	નિષ્ક્રિય
abound	ભરપૂર
abovementioned	ઉપર ઉલ્લેખ કર્યો છે
abracadabra	અબરકાદાબ્રા
abrasion	ઘસારો
abrasive	ઘર્ષક
abreast	સબળ
abroad	વિદેશમાં
abrogate	રદબાતલ
abrupt	આકસ્મિક
abruptly	અચાનક
abscess	ફોલ્લો
absence	ગેરહાજરી
absent	ગેરહાજર
absentee	ગેરહાજર
absenteeism	ગેરહાજરી
absinthe	absinthe
absolute	નિરપેક્ષ
absolution	ગેરવસૂલી
absolve	મુક્ત કરવું
absorb	શોષણ કરે છે
absorbed	શોષણ
absorbent	શોષક
absorbing	શોષણ
absorption	શોષણ
abstain	દૂર રહો
abstention	પ્રતિબંધ
abstinence	ત્યાગ
abstract	અમૂર્ત
abstraction	અદ્રશ્ય
absurd	વાહિયાત
absurdity	કઢંગાપણું
abundance	વિપુલતા
abundant	વિપુલ પ્રમાણમાં
abuse	ગા ળ
abused	દુરુપયોગ
abusive	અપમાનજનક
abutment	શરણાગતિ
aby	NO TRANSLATION
abysmal	અપૂરતું
abyss	પાતાળ
academic	શૈક્ષણિક
academy	અકાદમી
accede	સ્વીકાર્યું
accelerant	પ્રવેગક
accelerate	વેગ
accelerated	પ્રવેગીય
acceleration	પ્રવેગ
accelerator	પ્રવેગક
accent	ઉચ્ચારણ
accentuate	ભાર મૂકે છે
accept	સ્વીકારવું
acceptable	સ્વીકાર્ય
acceptance	સ્વીકૃતિ
acceptances	સ્વીકાર
access	ઍક્સેસ
accessible	સુલભ
accession	પ્રવેશ
accessory	સહાયક
accident	અકસ્માત
accidental	આકસ્મિક
accidentally	અકસ્માતે
acclaim	પ્રશંસા
accolade	પ્રશંસા
accommodate	સમાવવા
accommodation	આવાસ
accompaniment	સાથ
accompany	સાથે
accompanying	સાથે
accomplice	સહ - અપરાધી
accomplish	પરિપૂર્ણ
accomplished	પરિપૂર્ણ
accomplishment	સિદ્ધિ
accord	સમજૂતી
accordance	અનુસાર
accordion	એકોર્ડિયન
account	એકાઉન્ટ
accountability	જવાબદારી
accountable	જવાબદાર
accountant	એકાઉન્ટન્ટ
accounting	નામું
accounts	એકાઉન્ટ્સ
accredited	અધિકૃત
accretion	અભિવ્યક્તિ
accrue	ઉપાર્જિત કરવું
accueil	NO TRANSLATION
accumulate	એકઠા કરો
accumulation	સંચય
accuracy	ચોકસાઈ
accurate	સચોટ
accursed	શાપિત
accusation	આરોપ
accusative	આકસ્મિક
accuse	દોષારોપણ
accused	આરોપી
accuser	આરોપ મૂકનાર
accusing	આક્ષેપ કર્યો
accustomed	ટેવાયેલું
ace	પાસાનો પો
acetic	એસિટિક
acetylene	એસિટિલિન
ache	દુખાવો
achieve	હાંસલ
achieved	પ્રાપ્ત
achievement	સિદ્ધિ
aching	પીડા
achy	અચી
acid	તેજાબ
acidity	એસિડિટીએ
acknowledge	સ્વીકારો
acknowledged	સ્વીકાર્યું
acknowledgement	સ્વીકૃતિ
acknowledgment	સ્વીકૃતિ
acme	એકમ
acne	ખીલ
acorn	એકોર્ન
acoustic	એકોસ્ટિક
acoustics	ધ્વનિવિજ્ઞાન
acquaint	પરિચય
acquaintance	પરિચય
acquainted	પરિચિત
acquiescence	સંમતિ
acquire	હસ્તગત
acquiring	હસ્તગત
acquisition	સંપાદન
acquisitions	એક્વિઝિશન
acquit	બાંધી દેવું
acquittal	નિર્દોષ છુટકારો
acre	એકર
acreage	વાવેતર વિસ્તાર
acres	એકર
acrobat	એક્રોબેટ
acrylic	એક્રેલિક
act	કાર્ય કરો
acting	અભિનય
action	ક્રિયા
action figure	ક્રિયા આંકડો
actionable	દાવાપાત્ર
activate	સક્રિય કરો
activation	સક્રિયકરણ
active	સક્રિય
activist	કાર્યકર્તા
activity	પ્રવૃત્તિ
actor	અભિનેતા
actress	અભિનેત્રી
actual	વાસ્તવિક
actuality	વાસ્તવિકતા
actuary	એક્ટ્યુરી
acuity	તીવ્રતા
acumen	કુશળતા
acupuncture	એક્યુપંકચર
acute	તીવ્ર
acutely	તીક્ષ્ણ
ad	જાહેરાત
adage	કહેવત
adamant	મક્કમ
adapt	સ્વીકારવાનું
adaptable	સ્વીકાર્ય
adaptation	અનુકૂલન
add	ઉમેરો
added	ઉમેરી
addendum	પુરવણી
adder	નાનો ઝેરી સાંપ
addict	વ્યસની
addicted	વ્યસની
addiction	વ્યસન
addictive	વ્યસન
addition	વધુમાં
additional	વધારાનુ
additive	ઉમેરવામાં
address	સરનામું
addressee	સરનામાં
addresses	સરનામાઓ
adept	પારંગત
adequacy	પર્યાપ્તતા
adequate	પર્યાપ્ત
adhere	પાલન
adherence	પાલન
adherent	અનુયાયી
adhering	પાલન
adhesion	સંલગ્નતા
adhesive	ચીકણું
adieu	એડીયુ
adipose	વરાળ
adjacency	સંલગ્નતા
adjacent	અડીને
adjective	વિશેષણ
adjoining	સંલગ્ન
adjourn	સ્થગિત
adjournment	સ્થગિતતા
adjudicate	નિર્ણય કરવો
adjudication	નિર્ણય
adjunct	સંલગ્ન
adjust	વ્યવસ્થિત કરો
adjuster	એડજસ્ટર
adjustment	ગોઠવણ
adjuvant	સહાયક
admin	એડમિન
administer	સંચાલિત કરો
administration	વહીવટ
administrative	વહીવટી
administrator	સંચાલક
admirable	પ્રશંસનીય
admiral	એડમિરલ
admiralty	એડમિરલ્ટી
admiration	પ્રશંસા
admire	પ્રશંસક
admired	પ્રશંસા
admirer	પ્રશંસક
admiring	પ્રશંસા
admissibility	સ્વીકાર્યતા
admissible	સ્વીકાર્ય
admission	પ્રવેશ
admit	સ્વીકાર્યું
admittance	પ્રવેશ
admitted	સ્વીકાર્યું
admitting	સ્વીકાર્યું
admixture	સંમિશ્રણ
admonition	સલાહ
ado	એડો
adobe	એડોબ
adolescence	કિશોરાવસ્થા
adolescent	કિશોર
adopt	અપનાવી
adoption	દત્તક
adoptive	દત્તક
adorable	આરાધ્ય
adoration	પૂજા
adore	પૂજવું
adoring	આદરણીય
adorn	શણગારવું
adornment	શણગાર
adrenalin	એડ્રેનાલિન
adrenaline	એડ્રેનાલિન
adrift	અસહાય
adult	પુખ્ત
adulterated	ભેળસેળવાળું
adulterer	વ્યભિચારી
adultery	વ્યભિચાર
adulthood	પુખ્તવયતા
advance	અગાઉથી
advanced	અદ્યતન
advancement	પ્રગતિ
advancing	આગળ
advantage	ફાયદો
advantageous	ફાયદાકારક
advent	આગમન
adventure	સાહસ
adventurer	સાહસી
adventures	સાહસો
adventurous	સાહસિક
adversary	વિરોધી
adverse	પ્રતિકૂળ
adversity	પ્રતિકૂળતા
advertise	જાહેરાત કરો
advertisement	જાહેરખબર
advertising	જાહેરાત
adverts	જાહેરાત
advice	સલાહ
advisable	સલાહભર્યું
advise	સલાહ
advised	સલાહ આપી
advisement	સલાહ
adviser	સલાહકાર
advisor	સલાહકાર
advisory	સલાહકાર
advocacy	સમર્થન
advocate	વકીલ
aegis	વસિયતનામું
aeration	વાયુમિશ્રણ
aerial	હવાઈ
aerobics	ઍરોબિક્સ
aerodrome	વિમાનમથક
aerodynamic	એરોડાયનેમિક
aerodynamics	એરોડાયનેમિક્સ
aeronautics	એરોનોટિક્સ
aeroplane	વિમાન
aerospace	એરોસ્પેસ
aesthetic	સૌંદર્યલક્ષી
aesthetics	સૌંદર્ય શાસ્ત્ર
aetiology	રોગશાસ્ત્ર
afar	આઘે
affable	વિવેકપૂર્ણ
affair	અફેર
affect	અસર
affecting	અસર
affection	સ્નેહ
affectionate	પ્રેમાળ
affections	લાગણીઓ
affiche	NO TRANSLATION
affidavit	એફિડેવિટ
affiliated	સંલગ્ન
affiliation	જોડાણ
affinity	આકર્ષણ
affirm	પ્રતિજ્ઞા
affirmation	પ્રતિજ્ઞા
affirmative	હકારાત્મક
affirmatively	પ્રતિજ્ઞાપૂર્વક
affix	લગાડવું
afflict	દમન
afflicted	વ્યથિત
affliction	દુઃખ
affluence	સમૃદ્ધિ
