Word	bg
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	вид юж.-афр. мравояд
aback	изненадан
abacus	Абак
abalone	морски охлюви
abandon	изоставят
abandoned	изоставен
abandonment	изоставяне
abashed	смутен
abate	отменям
abatement	намаляване
abba	Abba
abbey	абатство
abbot	игумен
abbreviate	съкращавам
abbreviation	съкращение
abdomen	корем
abdominal	коремен
abduct	отклонявам
abduction	отвличане
aberrant	анормален
aberration	аберация
abeyance	безстопанственост
abhor	ненавиждам
abhorrence	отвращение
abhorrent	отблъскващ
abide	стоя
abiding	траен
ability	способност
abject	жалък
ablation	ампутация
ablaze	пламнал
able	способен
abnormal	анормален
abnormality	аномалия
aboard	на борда
abode	жилище
abolish	премахване
abolition	премахване
abominable	отвратителен
abominate	ненавиждам
abomination	мерзост
aboriginal	абориген
abort	осуетявам
abortion	аборт
abortive	неуспешен
abound	изобилстват
abovementioned	гореспоменат
abracadabra	заклинание
abrasion	износване
abrasive	абразив
abreast	редом
abroad	в чужбина
abrogate	отменям
abrupt	рязък
abruptly	рязко
abscess	абсцес
absence	отсъствие
absent	отсъстващ
absentee	отсъствуващ
absenteeism	често отсъствие от работа
absinthe	абсент
absolute	абсолютен
absolution	опрощение на греховете
absolve	опрощавам
absorb	абсорбират
absorbed	погълнат
absorbent	абсорбент
absorbing	увлекателен
absorption	абсорбция
abstain	въздържа
abstention	въздържание
abstinence	въздържане
abstract	абстрактен
abstraction	абстракция
absurd	абсурд
absurdity	абсурд
abundance	изобилие
abundant	изобилен
abuse	злоупотреба
abused	злоупотребява
abusive	обиден
abutment	подпора
aby	NO TRANSLATION
abysmal	бездънен
abyss	бездна
academic	академичен
academy	академия
accede	се присъедини
accelerant	ускорител
accelerate	ускоряване
accelerated	ускорено
acceleration	ускорение
accelerator	ускорител
accent	акцент
accentuate	наблягам
accept	приемам
acceptable	приемлив
acceptance	приемане
acceptances	приемания
access	достъп
accessible	достъпен
accession	достъп
accessory	аксесоар
accident	злополука
accidental	случаен
accidentally	случайно
acclaim	аплодирам
accolade	похвала
accommodate	настанят
accommodation	настаняване
accompaniment	съпровод
accompany	придружавам
accompanying	придружаващ
accomplice	съучастник
accomplish	постигне
accomplished	осъществен
accomplishment	постижение
accord	съгласие
accordance	съответствие
accordion	акордеон
account	сметка
accountability	отговорност
accountable	отговорен
accountant	касиер счетоводител
accounting	счетоводство
accounts	сметки
accredited	акредитиран
accretion	натрупване
accrue	натрупват
accueil	NO TRANSLATION
accumulate	натрупват
accumulation	натрупване
accuracy	точност
accurate	точен
accursed	проклет
accusation	обвинение
accusative	винителен
accuse	обвинявам
accused	обвинен
accuser	обвинител
accusing	обвинявайки
accustomed	обичаен
ace	ас
acetic	оцетен
acetylene	ацетилен
ache	болка
achieve	постигане
achieved	постигнати
achievement	постижение
aching	болеше
achy	схванат
acid	киселина
acidity	киселинност
acknowledge	потвърждавам
acknowledged	призната
acknowledgement	признание
acknowledgment	признание
acme	връхна точка
acne	акне
acorn	жълъд
acoustic	акустичен
acoustics	акустика
acquaint	запознае
acquaintance	познат
acquainted	запознат
acquiescence	примирение
acquire	придобивам
acquiring	придобиване
acquisition	придобиване
acquisitions	придобивания
acquit	уреждам
acquittal	оправдателна присъда
acre	акър
acreage	площ
acres	акра
acrobat	акробат
acrylic	акрил
act	акт
acting	актьорско майсторство
action	действие
action figure	фигура за действие
actionable	действена
activate	активирате
activation	активиране
active	активен
activist	деец
activity	дейност
actor	актьор
actress	актриса
actual	действителен
actuality	действителност
actuary	статистик
acuity	проницателност
acumen	проницателност
acupuncture	акупунктура
acute	остър
acutely	остро
ad	реклама
adage	поговорка
adamant	непреклонен
adapt	адаптира
adaptable	приспособим
adaptation	адаптация
add	добави
added	добавен
addendum	допълнение
adder	усойница
addict	наркоман
addicted	пристрастен
addiction	пристрастяване
addictive	пристрастяване
addition	допълнение
additional	допълнителен
additive	добавъчен
address	адрес
addressee	адресат
addresses	адреси
adept	вещ
adequacy	адекватност
adequate	адекватен
adhere	се придържат
adherence	придържане
adherent	привърженик
adhering	придържайки
adhesion	адхезия
adhesive	лепило
adieu	сбогом
adipose	мастната
adjacency	съседство
adjacent	съседен
adjective	прилагателно
adjoining	съседен
adjourn	свършвам
adjournment	отсрочване
adjudicate	произнасяне
adjudication	отсъждане
adjunct	допълнение
adjust	регулирате
adjuster	регулатор
adjustment	регулиране
adjuvant	адювантна
admin	администратор
administer	администрира
administration	администрация
administrative	административен
administrator	администратор
admirable	възхитителен
admiral	адмирал
admiralty	адмиралтейство
admiration	възхищение
admire	уважавам
admired	възхищават
admirer	почитател
admiring	възхищавах
admissibility	допустимост
admissible	допустим
admission	допускане
admit	признавам
admittance	достъп
admitted	допуснати
admitting	признавайки
admixture	примес
admonition	предупреждение
ado	шум
adobe	кирпич
adolescence	юношество
adolescent	юноша
adopt	приеме
adoption	осиновяване
adoptive	приемен
adorable	възхитителен
adoration	обожание
adore	обожавам
adoring	обожаващи
adorn	украсявам
adornment	украса
adrenalin	адреналина
adrenaline	адреналин
adrift	без посока
adult	възрастен
