Word	hu
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	hátra
abacus	golyós számológép
abalone	kaliforniai ehető kagyló
abandon	elhagyott
abandoned	elhagyatott
abandonment	lemondás
abashed	elképedt
abate	érvénytelenít
abatement	csökkentés
abba	Abba
abbey	apátság
abbot	NO TRANSLATION
abbreviate	rövidít
abbreviation	rövidítés
abdomen	has
abdominal	hasi
abduct	elrabol
abduction	emberrablás
aberrant	aberrált
aberration	eltérés
abeyance	felfüggesztve
abhor	gyűlöl
abhorrence	gyűlölet
abhorrent	gyűlöletes
abide	betartja
abiding	maradandó
ability	képesség
abject	siralmas
ablation	abláció
ablaze	lángoló
able	képes
abnormal	rendellenes
abnormality	rendellenesség
aboard	fedélzeten
abode	lakóhely
abolish	megszüntet
abolition	eltörlés
abominable	utálatos
abominate	utál
abomination	utálat
aboriginal	bennszülött
abort	elvetél
abortion	magzatelhajtás
abortive	sikertelen
abound	bővelkedik
abovementioned	fent említett
abracadabra	varázsige
abrasion	kopás
abrasive	csiszoló
abreast	egymás mellett
abroad	külföldön
abrogate	megszünteti
abrupt	hirtelen
abruptly	hirtelen
abscess	tályog
absence	távollét
absent	hiányzó
absentee	hiányzó
absenteeism	hiányzás
absinthe	abszint
absolute	abszolút
absolution	feloldozás
absolve	felment
absorb	elnyel
absorbed	elnyelt
absorbent	nedvszívó
absorbing	elnyelő
absorption	abszorpció
abstain	tartózkodik
abstention	tartózkodás
abstinence	önmegtartóztatás
abstract	absztrakt
abstraction	absztrakció
absurd	abszurd
absurdity	képtelenség
abundance	bőség
abundant	bőséges
abuse	visszaélés
abused	bántalmazott
abusive	gyalázkodó
abutment	támfal
aby	NO TRANSLATION
abysmal	feneketlen
abyss	szakadék
academic	akadémiai
academy	akadémia
accede	csatlakozásra
accelerant	katalizátor
accelerate	gyorsul
accelerated	felgyorsult
acceleration	gyorsulás
accelerator	gyorsító
accent	hangsúly
accentuate	hangsúlyoz
accept	elfogad
acceptable	elfogadható
acceptance	elfogadás
acceptances	vételek
access	hozzáférés
accessible	hozzáférhető
accession	csatlakozás
accessory	tartozék
accident	baleset
accidental	véletlen
accidentally	véletlenül
acclaim	elismerést
accolade	elismerés
accommodate	elhelyezésére
accommodation	szállás
accompaniment	kíséret
accompany	kísér
accompanying	kísérő
accomplice	bűnrészes
accomplish	megvalósítani, végrahajt
accomplished	tökéletes
accomplishment	teljesítmény
accord	egyetértés
accordance	szerint
accordion	harmonika
account	számla
accountability	felelősségre vonhatóság
accountable	felelős
accountant	Könyvelő
accounting	számvitel
accounts	fiókok
accredited	meghatalmazott
accretion	növekedés
accrue	növekszik
accueil	NO TRANSLATION
accumulate	felhalmozódnak
accumulation	felhalmozódás
accuracy	pontosság
accurate	pontos
accursed	elátkozott
accusation	vád
accusative	tárgyeset
accuse	vádol
accused	vádlott
accuser	vádló
accusing	vádló
accustomed	szokásos
ace	ász
acetic	ecetsavas
acetylene	acetilén
ache	fájdalom
achieve	elér
achieved	elért
achievement	teljesítmény
aching	fájó
achy	sajgó
acid	sav
acidity	savasság
acknowledge	elismerni
acknowledged	elismert
acknowledgement	elismerés
acknowledgment	elismerés
acme	csúcspont
acne	pattanás
acorn	makk
acoustic	akusztikus
acoustics	akusztika
acquaint	megismertet
acquaintance	ismerős
acquainted	ismerkedés
acquiescence	hozzájárulás
acquire	szerez
acquiring	megszerzése
acquisition	beszerzés
acquisitions	felvásárlások
acquit	viszonoz
acquittal	felmentés
acre	acre
acreage	vetésterülete
acres	hold
acrobat	akrobata
acrylic	akril
act	törvény
acting	ható
action	akció
action figure	akció figura
actionable	perelhető
activate	aktiválja
activation	aktiválás
active	aktív
activist	aktivista
activity	tevékenység
actor	színész
actress	színésznő
actual	tényleges
actuality	aktualitás
actuary	statisztikus
acuity	élesség
acumen	éleslátás
acupuncture	akupunktúra
acute	akut
acutely	akut
ad	hirdetés
adage	példabeszéd
adamant	hajthatatlan
adapt	alkalmazkodni
adaptable	alkalmazható
adaptation	alkalmazkodás
add	hozzáad
added	hozzáadott
addendum	függelék
adder	vipera
addict	rabja
addicted	rabja
addiction	függőség
addictive	addiktív
addition	kiegészítés
additional	további
additive	adalékanyag
address	cím
addressee	címzett
addresses	címek
adept	ügyes
adequacy	megfelelés
adequate	megfelelő
adhere	tapad
adherence	tapadás
adherent	tapadó
adhering	tapadó
adhesion	tapadás
adhesive	ragasztóanyag
adieu	Isten veletek
adipose	kövér
adjacency	szomszédosság
adjacent	szomszédos
adjective	melléknév
adjoining	szomszédos
adjourn	berekeszt
adjournment	elnapolás
adjudicate	határozni
adjudication	megítélés
adjunct	adjunktus
adjust	beállítani
adjuster	beállító
adjustment	beállítás
adjuvant	adjuváns
admin	admin
administer	beadására
administration	adminisztráció
administrative	közigazgatási
administrator	adminisztrátor
admirable	csodálatra méltó
admiral	admirális
admiralty	admiralitás
admiration	csodálat
admire	csodál
admired	csodált
admirer	csodáló
admiring	megcsodálta
admissibility	elfogadhatóság
admissible	elfogadható
admission	belépés
admit	beismerni
admittance	bejárás
