Word	jw
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abacus
abalone	abalone
abandon	nglirwaaken
abandoned	ditinggal
abandonment	abandonment
abashed	abashed
abate	abate
abatement	abatement
abba	abba
abbey	biara
abbot	NO TRANSLATION
abbreviate	ringkes
abbreviation	singkatan
abdomen	abdomen
abdominal	weteng
abduct	abduct
abduction	penculikan
aberrant	aberrant
aberration	aberration
abeyance	abeyance
abhor	nesu
abhorrence	nesu
abhorrent	abhorrent
abide	manggon
abiding	manggon
ability	kemampuan
abject	abject
ablation	ablation
ablaze	nylametake
able	bisa
abnormal	ora normal
abnormality	abnormality
aboard	ing prau
abode	abode
abolish	mungkasi
abolition	penghancuran
abominable	abominable
abominate	abominate
abomination	nistha
aboriginal	aborigin
abort	mbatalake
abortion	aborsi
abortive	abortive
abound	tambah akeh
abovementioned	seng kasebut ning ndhuwur
abracadabra	abracadabra
abrasion	abrasion
abrasive	abrasive
abreast	nggoleki
abroad	ing luar negeri
abrogate	abrogate
abrupt	abrupt
abruptly	sacara tiba-tiba
abscess	abscess
absence	ora ana
absent	ora ana
absentee	absen
absenteeism	absen
absinthe	absinthe
absolute	mutlak
absolution	absolution
absolve	absolve
absorb	nyerep
absorbed	diserep
absorbent	absorbent
absorbing	nyerep
absorption	panyerepan
abstain	nyegah
abstention	nolak
abstinence	pantangan
abstract	abstrak
abstraction	abstraksi
absurd	absurd
absurdity	absurdity
abundance	kelimpahan
abundant	akeh banget
abuse	penyalahgunaan
abused	dilecehke
abusive	penyalah gunaan
abutment	abutment
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	akademik
academy	akademi
accede	ngakoni
accelerant	accelerant
accelerate	akselerasi
accelerated	cepet
acceleration	percepatan
accelerator	akselerator
accent	aksen
accentuate	accentuate
accept	nampa
acceptable	ditrima
acceptance	acceptance
acceptances	nampa
access	akses
accessible	bisa diakses
accession	aksesi
accessory	aksesoris
accident	kecelakaan
accidental	sengaja
accidentally	sengaja
acclaim	panjaluk
accolade	pinunjul
accommodate	nyepakake
accommodation	akomodasi
accompaniment	accompaniment
accompany	ngancani
accompanying	gawan
accomplice	nglampahi
accomplish	ngrampungake
accomplished	wis rampung
accomplishment	prestasi
accord	kasepakatan
accordance	miturut
accordion	akordion
account	akun
accountability	tanggung jawab
accountable	tanggung jawab
accountant	akuntan
accounting	akuntansi
accounts	akun
accredited	akreditasi
accretion	accretion
accrue	diakoni
accueil	NO TRANSLATION
accumulate	nglumpukake
accumulation	akumulasi
accuracy	akurasi
accurate	akurat
accursed	kacilakan
accusation	accusation
accusative	accusative
accuse	nyalahake
accused	dipuntudhuh
accuser	accuser
accusing	nyalahake
accustomed	rakulinan
ace	ace
acetic	acetic
acetylene	asetilena
ache	nyenyet
achieve	entuk
achieved	ngrambah
achievement	prestasi
aching	aching
achy	sakit
acid	asam
acidity	acidity
acknowledge	ngakoni
acknowledged	ngakoni
acknowledgement	ngakoni
acknowledgment	ngakoni
acme	acme
acne	kukul
acorn	acorn
acoustic	akustik
acoustics	akustik
acquaint	acquaint
acquaintance	acquaintance
acquainted	acquainted
acquiescence	acquiescence
acquire	ndarbeni
acquiring	éntuk
acquisition	akehe
acquisitions	Akuisisi
acquit	mbebasake
acquittal	mbebasake
acre	hektar
acreage	acreage
acres	hektar
acrobat	acrobat
acrylic	akrilik
act	tumindak
acting	tumindak
action	tumindak
action figure	tokoh aksi
actionable	actionable
activate	aktifake
activation	aktifitas
active	aktif
activist	aktivis
activity	kegiatan
actor	aktor
actress	aktris
actual	nyata
actuality	tumindak
actuary	actuary
acuity	acuity
acumen	acumen
acupuncture	Akupunktur
acute	akut
acutely	acutely
ad	iklan
adage	adage
adamant	adamant
adapt	adaptasi
adaptable	adaptable
adaptation	adaptasi
add	nambah
added	ditambahake
addendum	tambahan
adder	adder
addict	pecandu
addicted	ketagihan
addiction	kecanduan
addictive	ketagihan
addition	Kajaba iku
additional	tambahan
additive	aditif
address	alamat
addressee	addressee
addresses	alamat
adept	adept
adequacy	kecukupan
adequate	cukup
adhere	adhere
adherence	kepeksa
adherent	adherent
adhering	adhering
adhesion	adhesion
adhesive	adhine
adieu	adieu
adipose	adipose
adjacency	jejer
adjacent	jejer
adjective	adjective
adjoining	adjoining
adjourn	adjourn
adjournment	adjournment
adjudicate	adjudicate
adjudication	adjudication
adjunct	adjunct
adjust	nyetel
adjuster	adjuster
adjustment	imbuhan
adjuvant	adjuvant
admin	admin
administer	ngurus
administration	administrasi
administrative	administratif
administrator	administrator
admirable	admirable
admiral	admiral
admiralty	admiralty
admiration	kekarepan
admire	ngujo
admired	admired
admirer	admirer
admiring	admiring
admissibility	admissibility
admissible	bisa ditampa
admission	diakoni
admit	ngakoni
admittance	admittance
admitted	ngakoni
admitting	ngakoni
admixture	admixture
admonition	admonition
ado	ado
adobe	adobe
adolescence	remaja
adolescent	remaja
adopt	diadopsi
adoption	adopsi
adoptive	adoptive
adorable	adorable
adoration	adorasi
adore	adore
adoring	adoring
adorn	adorn
adornment	adornment
