Word	fy
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	ôfbrekke
abacus	abacus
abalone	abalone
abandon	fergees
abandoned	ferlitten
abandonment	ferplichting
abashed	oanstutsen
abate	abate
abatement	abatement
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	ôfkoarting
abbreviation	ôfkoarting
abdomen	abdomen
abdominal	abdominaal
abduct	ôfwike
abduction	abduction
aberrant	oantrune
aberration	Aberration
abeyance	ôfwêzich
abhor	ôfhinklik
abhorrence	ôfhinklikheid
abhorrent	ôfbrekke
abide	bliuwend
abiding	ôfhinklik
ability	fermogen
abject	ôfwike
ablation	ablaasje
ablaze	ôfbrekke
able	kinne
abnormal	abnormaal
abnormality	ôfnormaliteit
aboard	oanbieding
abode	wenje
abolish	ôfskaffe
abolition	abolition
abominable	abominable
abominate	abominate
abomination	abominaasje
aboriginal	ôfwike
abort	ôfbrekke
abortion	aborting
abortive	abortyf
abound	folle
abovementioned	niisneamd
abracadabra	abracadabra
abrasion	abrasion
abrasive	abrasive
abreast	no
abroad	bûtenlân
abrogate	ôfbrekke
abrupt	abrupt
abruptly	abrupt
abscess	abscess
absence	ôfwêzigens
absent	ôfwêzich
absentee	ôfwêzich
absenteeism	fermogen
absinthe	absinthe
absolute	absolút
absolution	oplossing
absolve	absolv
absorb	absorbearje
absorbed	absorbed
absorbent	absorbearjend
absorbing	absorpt
absorption	absorption
abstain	fêststelle
abstention	ôfhinklikens
abstinence	ôfstimming
abstract	abstrakt
abstraction	abstraksje
absurd	ûnsinnich
absurdity	absurditeit
abundance	oerfloed
abundant	oerfloedich
abuse	misbrûk
abused	misbrûkt
abusive	misledigje
abutment	abutment
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	akademysk
academy	akademy
accede	besykje
accelerant	accelerant
accelerate	ferheegje
accelerated	begeliede
acceleration	fersnelling
accelerator	accelerator
accent	aksint
accentuate	accentuate
accept	oannimme
acceptable	oannimlik
acceptance	akseptaasje
acceptances	akseptearjen
access	tagong
accessible	tagonklik
accession	gearkomst
accessory	aksjes
accident	ûngelok
accidental	tafallich
accidentally	tafallich
acclaim	akseptearje
accolade	accolade
accommodate	akkomodaasje
accommodation	akkommodaasje
accompaniment	begeliede
accompany	begeliede
accompanying	begeliede
accomplice	Komôf
accomplish	akseptearje
accomplished	foltôge
accomplishment	prestaasje
accord	akkoart
accordance	oerienkomst
accordion	akkordeon
account	rekken
accountability	ferantwurdlikens
accountable	ferantwurdelik
accountant	akkountant
accounting	kontrôle
accounts	akkounts
accredited	akseptearre
accretion	akkrêft
accrue	accrue
accueil	NO TRANSLATION
accumulate	sammelje
accumulation	akkumulation
accuracy	krektens
accurate	krekt
accursed	ferflokt
accusation	beskuldiging
accusative	Akkusatyf
accuse	akseptearje
accused	beskuldige
accuser	accuser
accusing	beswier
accustomed	geweldich
ace	ace
acetic	acetic
acetylene	acetylene
ache	ache
achieve	berikke
achieved	berikke
achievement	berikken
aching	earm
achy	achy
acid	sulver
acidity	acidity
acknowledge	erkenne
acknowledged	erkend
acknowledgement	erkenning
acknowledgment	erkenning
acme	acme
acne	jeugdpûkels
acorn	ikel
acoustic	akoestysk
acoustics	akoestyk
acquaint	kenneth
acquaintance	ferieniging
acquainted	kenniste
acquiescence	ferieniging
acquire	te krijen
acquiring	te krijen
acquisition	oanwinst
acquisitions	akwisynten
acquit	besykje
acquittal	frijwilligers
acre	acre
acreage	hûske
acres	acres
acrobat	acrobat
acrylic	acryl
act	handeling
acting	hannelje
action	aksje
action figure	aksjefiguer
actionable	actionable
activate	aktivearje
activation	aktivaasje
active	aktyf
activist	aktivist
activity	aktiviteit
actor	toanielspiler
actress	toanielspylster
actual	feitlik
actuality	realiteit
actuary	actuary
acuity	acuity
acumen	acumen
acupuncture	akupunktur
acute	acute
acutely	acutely
ad	Ad
adage	adage
adamant	adamant
adapt	oanpasse
adaptable	oanpasber
adaptation	oanpassing
add	add
added	tafoege
addendum	addendum
adder	adder
addict	geweldig
addicted	ferwûne
addiction	ferslaving
addictive	geweldig
addition	oanfolling
additional	oanfoljend
additive	additive
address	adres
addressee	adres
addresses	adressen
adept	adept
adequacy	adequacy
adequate	adequate
adhere	harkje
adherence	ferhâlding
adherent	adherent
adhering	oanhâldend
adhesion	adhesion
adhesive	adhesive
adieu	adieu
adipose	adipose
adjacency	oansluting
adjacent	neistlizzend
adjective	eigenskipswurd
adjoining	oanjoech
adjourn	ferpleatse
adjournment	ferplichtingen
adjudicate	beslute
adjudication	oardering
adjunct	adjunct
adjust	oanpasse
adjuster	oanpassing
adjustment	oanpassing
adjuvant	adjuvant
admin	admin
administer	administraasje
administration	bestjoer
administrative	bestjoerlik
administrator	administrator
admirable	admirable
admiral	admiraal
admiralty	admiraliteit
admiration	bewûndering
admire	bewûnderje
admired	bewûndere
admirer	admirer
admiring	bewûnderje
admissibility	admissibility
admissible	admissible
admission	admission
admit	tajaan
admittance	admission
admitted	admitted
admitting	admitend
admixture	admixture
admonition	admonysje
ado	ado
adobe	adobe
