Word	sn
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abacus
abalone	abalone
abandon	siya
abandoned	asiyiwa
abandonment	kusiya
abashed	washadzika
abate	abate
abatement	abatement
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	zvinyorwa
abbreviation	abbreviation
abdomen	mimba
abdominal	mimba
abduct	kubvisa
abduction	kubatwa
aberrant	aberrant
aberration	kuberekwa
abeyance	abeyance
abhor	kuvenga
abhorrence	kuvenga
abhorrent	zvinonyangadza
abide	gara
abiding	kugara
ability	kukwanisa
abject	zvinopesana
ablation	ablation
ablaze	kupisa
able	vanogona
abnormal	zvisiri izvo
abnormality	kusakanganisika
aboard	inway
abode	vakagara
abolish	kubvisa
abolition	kubvisa
abominable	zvinonyangadza
abominate	zvinonyangadza
abomination	zvinonyangadza
aboriginal	aboriginal
abort	bvisa
abortion	kubvisa pamuviri
abortive	kubvisa
abound	zvizhinji
abovementioned	zvataurwa pamusoro
abracadabra	abracadabra
abrasion	abrasion
abrasive	kubvisa
abreast	inowedzera
abroad	kunze kwenyika
abrogate	abrogate
abrupt	pakarepo
abruptly	pakarepo
abscess	abscess
absence	kusavapo
absent	asipo
absentee	asipo
absenteeism	kusawana
absinthe	absinthe
absolute	mhedziso
absolution	absolution
absolve	siya
absorb	kunyanya
absorbed	akabatwa
absorbent	absorbent
absorbing	kunyanya
absorption	absorption
abstain	regai
abstention	kudzikama
abstinence	kuzvidzora
abstract	abstract
abstraction	kubvisa
absurd	zvisinganzwisisiki
absurdity	kusaziva
abundance	zvakawanda
abundant	zvakawanda
abuse	kushungurudza
abused	vanoshungurudzwa
abusive	kushungurudza
abutment	nhengo
aby	NO TRANSLATION
abysmal	abysmal
abyss	abhisha
academic	mudzidzi
academy	academy
accede	tsigira
accelerant	accelerant
accelerate	accelerate
accelerated	kukurumidza
acceleration	kukurumidza
accelerator	accelerator
accent	kusimbiswa
accentuate	accentuate
accept	accept
acceptable	inogamuchirika
acceptance	kubvuma
acceptances	acceptances
access	access
accessible	kufambidzana
accession	accession
accessory	accessory
accident	ngozi
accidental	kazhinji
accidentally	accidentally
acclaim	rumbidza
accolade	accolade
accommodate	kugara
accommodation	pokugara
accompaniment	accompaniment
accompany	famba
accompanying	pamwe chete
accomplice	accomplice
accomplish	kuzadzisa
accomplished	zvakaitwa
accomplishment	kukwana
accord	accord
accordance	maererano
accordion	accordion
account	nhoroondo
accountability	kuzvidavirira
accountable	vanozvidavirira
accountant	munyori wenhoroondo
accounting	accounting
accounts	nhoroondo
accredited	akabvumirwa
accretion	accretion
accrue	kuwedzera
accueil	NO TRANSLATION
accumulate	kuunganidza
accumulation	kuunganidza
accuracy	kururama
accurate	zvakarurama
accursed	rakatukwa
accusation	mhosva
accusative	kupomera
accuse	kupomera
accused	akapomerwa
accuser	mupomera
accusing	kupomera
accustomed	akajaira
ace	ace ace
acetic	acetic
acetylene	acetylene
ache	ache
achieve	kubudirira
achieved	akabudirira
achievement	kubudirira
aching	aching
achy	achy
acid	asidi
acidity	acidity
acknowledge	kubvuma
acknowledged	akabvuma
acknowledgement	kubvuma
acknowledgment	kubvuma
acme	acme
acne	acne
acorn	acorn
acoustic	acoustic
acoustics	acoustics
acquaint	kuzivana
acquaintance	shamwari
acquainted	vanoziva
acquiescence	acquiescence
acquire	kuwana
acquiring	kuwana
acquisition	acquisition
acquisitions	kuwanikwa
acquit	acquit
acquittal	kuregerera
acre	acre
acreage	acreage
acres	acres
acrobat	acrobat
acrylic	acrylic
act	chiito
acting	kuita
action	chiito
action figure	chiito chiito
actionable	canable
activate	activate
activation	kushandiswa
active	inoshanda
activist	mutungamiriri
activity	basa
actor	actor
actress	actress
actual	chaiyo
actuality	realityality
actuary	actuary
acuity	acuity
acumen	acumen
acupuncture	acupuncture
acute	acute
acutely	acutely
ad	ad
adage	adage
adamant	adamant
adapt	kuchinja
adaptable	inogadziriswa
adaptation	kuchinja
add	onai
added	akawedzera
addendum	addendum
adder	adder
addict	chiremba
addicted	addicted
addiction	addiction
addictive	addictive
addition	kuwedzera
additional	zvimwe
additive	additive
address	address
addressee	addressee
addresses	aderesi
adept	adept
adequacy	kukwana
adequate	zvakakwana
adhere	kunamatira
adherence	kutevera
adherent	adherent
adhering	kunamatira
adhesion	adhesion
adhesive	adhesive
adieu	adieu
adipose	adipose
adjacency	adjacency
adjacent	pedo
adjective	chirevo
adjoining	adjoining
adjourn	rambai
adjournment	kusununguka
adjudicate	kururamisa
adjudication	kupiwa mhosva
adjunct	adjunct
adjust	shandura
adjuster	adjuster
adjustment	kuchinja
adjuvant	adjuvant
admin	admin
administer	kutungamirira
administration	administration
administrative	administration
administrator	administrator
admirable	inonakidza
admiral	admiral
admiralty	admiralty
admiration	kuyemura
admire	admire
admired	anoyemura
admirer	admirer
admiring	admiring
admissibility	admissibility
admissible	zvinogamuchirwa
admission	kubvuma
admit	bvuma
admittance	admittance
admitted	akabvuma
admitting	admitting
admixture	admixture
admonition	zano
ado	ado
adobe	adobe
adolescence	kuyaruka
