Word	ro
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	Aardvark
aback	prin surprindere
abacus	abac
abalone	scoică abalone
abandon	abandon
abandoned	abandonat
abandonment	abandon
abashed	ruşinat
abate	reduce
abatement	reducere
abba	abba
abbey	abaţie
abbot	NO TRANSLATION
abbreviate	prescurta
abbreviation	abreviere
abdomen	abdomen
abdominal	abdominal
abduct	răpi
abduction	răpire
aberrant	aberant
aberration	aberaţie
abeyance	suspendare
abhor	detesta
abhorrence	oroare
abhorrent	respingător
abide	rămâne
abiding	statornic
ability	abilitate
abject	abject
ablation	ablațiune
ablaze	aprins
able	capabil
abnormal	anormal
abnormality	anomalie
aboard	la bordul
abode	domiciliu
abolish	aboli
abolition	desființare
abominable	abominabil
abominate	detesta
abomination	scârbă
aboriginal	aborigen
abort	avorta
abortion	intrerupere de sarcina
abortive	nereușit
abound	abunda
abovementioned	menționat mai sus
abracadabra	abracadabra
abrasion	abraziune
abrasive	abraziv
abreast	alături
abroad	in strainatate
abrogate	abroga
abrupt	brusc
abruptly	brusc
abscess	abces
absence	absență
absent	absent
absentee	absent
absenteeism	absenteism
absinthe	absint
absolute	absolut
absolution	iertare
absolve	absolvi
absorb	absorbi
absorbed	absorbită
absorbent	absorbant
absorbing	absorbant
absorption	absorbţie
abstain	abține
abstention	abţinere
abstinence	abstinență
abstract	abstract
abstraction	abstracție
absurd	absurd
absurdity	absurditate
abundance	abundenţă
abundant	abundent
abuse	abuz
abused	abuzat
abusive	abuziv
abutment	pilastru
aby	NO TRANSLATION
abysmal	abisal
abyss	abis
academic	academic
academy	academie
accede	adera
accelerant	Accelerant
accelerate	accelera
accelerated	accelerat
acceleration	accelerare
accelerator	accelerator
accent	accent
accentuate	accentua
accept	Accept
acceptable	acceptabil
acceptance	acceptare
acceptances	acceptările
access	acces
accessible	accesibil
accession	acces
accessory	accesorii
accident	accident
accidental	accidental
accidentally	accidental
acclaim	aclama
accolade	acoladă
accommodate	găzdui
accommodation	cazare
accompaniment	acompaniament
accompany	însoți
accompanying	acompaniind
accomplice	complice
accomplish	realiza
accomplished	realizat
accomplishment	realizare
accord	acord
accordance	concordanță
accordion	acordeon
account	cont
accountability	responsabilitate
accountable	responsabil
accountant	contabil
accounting	contabilitate
accounts	conturi
accredited	acreditat
accretion	concreștere
accrue	crește
accueil	NO TRANSLATION
accumulate	acumula
accumulation	acumulare
accuracy	precizie
accurate	precis
accursed	blestemat
accusation	acuzare
accusative	acuzativ
accuse	acuza
accused	acuzat
accuser	acuzator
accusing	acuzare
accustomed	obișnuit
ace	as
acetic	acetic
acetylene	acetilenă
ache	durere
achieve	obține
achieved	realizat
achievement	realizare
aching	dureros
achy	achy
acid	acid
acidity	aciditate
acknowledge	recunoaște
acknowledged	recunoscut
acknowledgement	confirmare
acknowledgment	confirmare
acme	culme
acne	acnee
acorn	ghindă
acoustic	acustic
acoustics	acustică
acquaint	cunoștință
acquaintance	cunoștință
acquainted	cunoscut
acquiescence	asentiment
acquire	dobândi
acquiring	dobândirea
acquisition	achiziţie
acquisitions	achiziții
acquit	achita
acquittal	achitare
acre	acru
acreage	suprafața cultivată
acres	acri
acrobat	acrobat
acrylic	acril
act	act
acting	actorie
action	acțiune
action figure	figura de acțiune
actionable	atacabil
activate	Activati
activation	activarea
active	activ
activist	activist
activity	activitate
actor	actor
actress	actriţă
actual	real
actuality	actualitate
actuary	actuar
acuity	acuitate
acumen	pătrundere
acupuncture	acupunctura
acute	acut
acutely	acut
ad	anunț
adage	zicală
adamant	adamant
adapt	adapta
adaptable	adaptabil
adaptation	adaptare
add	adăuga
added	adăugat
addendum	addenda
adder	sumator
addict	vicios
addicted	dependent
addiction	dependenta
addictive	dependență
addition	plus
additional	adiţional
additive	aditiv
address	adresa
addressee	destinatar
addresses	adrese
adept	expert
adequacy	adecvarea
adequate	adecvat
adhere	adera
adherence	aderare
adherent	aderent
adhering	aderare
adhesion	adeziune
adhesive	adeziv
adieu	Adio
adipose	adipos
adjacency	adiacență
adjacent	adiacent
adjective	adjectiv
adjoining	învecinat
adjourn	suspenda
adjournment	amânare
adjudicate	adjudeca
adjudication	adjudecare
adjunct	adjunct
adjust	regla
adjuster	ajustor
adjustment	ajustare
adjuvant	adjuvant
admin	admin
administer	administra
administration	administrare
administrative	administrativ
administrator	administrator
admirable	admirabil
admiral	amiral
admiralty	amiralitate
admiration	admirație
admire	admira
admired	admirata
admirer	admirator
admiring	admirativ
admissibility	admisibilitate
admissible	admisibil
admission	admitere
admit	admite
admittance	admitere
admitted	admise
admitting	admiterea
admixture	amestec
admonition	admonestare
ado	zgomot
adobe	chirpici
adolescence	adolescent
adolescent	adolescent
adopt	adopta
adoption	adopţie
adoptive	adoptiv
adorable	adorabil
adoration	adorare
adore	adora
adoring	adorator
adorn	împodobi
adornment	podoabă
adrenalin	adrenalină
adrenaline	adrenalina
adrift	în voia valurilor
adult	adult
adulterated	alterat
adulterer	adulter
adultery	adulter
adulthood	maturitate
advance	avans
advanced	avansat
advancement	avansare
advancing	avansarea
advantage	avantaj
