Word	ig
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abacus
abalone	abalone
abandon	gbahapụ
abandoned	agbahapụ
abandonment	agbahapụ
abashed	ihere
abate	abate
abatement	iwepụ
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	abbreviate
abbreviation	abbreviation
abdomen	afọ
abdominal	abdominal
abduct	abata
abduction	ntinye
aberrant	aberrant
aberration	aberration
abeyance	ịbịa
abhor	ihere
abhorrence	asọpụrụ
abhorrent	ihere
abide	nọgide
abiding	na-erube isi
ability	ike
abject	abject
ablation	ablation
ablaze	ọkụ
able	ike
abnormal	ihe ojoo
abnormality	adịghị mma
aboard	n'ime
abode	obibi
abolish	wezuga
abolition	abolition
abominable	abominable
abominate	kpọrọ asị
abomination	ihe arụ
aboriginal	aboriginal
abort	abort
abortion	ite ime
abortive	abortive
abound	baa ụba
abovementioned	n'elumentioned
abracadabra	abracadabra
abrasion	abrasion
abrasive	abrasive
abreast	abreast
abroad	mba
abrogate	ehichapu
abrupt	ngwa ngwa
abruptly	ngwa ngwa
abscess	ezighi
absence	enweghị
absent	enweghị
absentee	enweghi
absenteeism	ezighi ezi
absinthe	absinthe
absolute	zuru
absolution	ezighi ezi
absolve	absolve
absorb	banye
absorbed	etinye uche
absorbent	emetụta
absorbing	na-ekpo ọkụ
absorption	absorption
abstain	zere
abstention	abstention
abstinence	abstinence
abstract	nkịtị
abstraction	abstraction
absurd	ezighi ezi
absurdity	ezighi ezi
abundance	ụba
abundant	otutu
abuse	mmegbu
abused	emegbu
abusive	mkparị
abutment	nkwụsị
aby	NO TRANSLATION
abysmal	dị egwu
abyss	abis
academic	agụmakwụkwọ
academy	agụmakwụkwọ
accede	kwadoro
accelerant	accelerant
accelerate	mee ngwa ngwa
accelerated	accelerated
acceleration	ọganihu
accelerator	onye nhazi
accent	ụda
accentuate	accentuate
accept	kwenye
acceptable	anabata
acceptance	anabata
acceptances	anabata
access	ohere
accessible	nwere ike ịnweta
accession	nbanye
accessory	ngwa
accident	ihe mberede
accidental	mberede
accidentally	na mberede
acclaim	na-eti mkpu
accolade	adalata
accommodate	nabata
accommodation	ebe obibi
accompaniment	egwu egwu
accompany	soro
accompanying	soro ya
accomplice	arụ ọrụ
accomplish	mezuo
accomplished	mezuru
accomplishment	mmezu
accord	nkwenye
accordance	dị
accordion	ekwekọrịtara
account	akaụntụ
accountability	aza ajụjụ
accountable	aza ajụjụ
accountant	akaụntụ
accounting	nyocha
accounts	akaụntụ
accredited	akwado
accretion	nzaba
accrue	mụbaa
accueil	NO TRANSLATION
accumulate	chịkọta
accumulation	ngwakọta
accuracy	ziri ezi
accurate	ezi
accursed	bụrụ ndị a bụrụ ọnụ
accusation	ebubo
accusative	ebubo
accuse	ebubo
accused	ebubo
accuser	ebubo
accusing	ebubo
accustomed	na-emekarị
ace	ace
acetic	acetic
acetylene	acetylene
ache	ọrịa
achieve	mezuo
achieved	nweta
achievement	mmezu
aching	ahụhụ
achy	achy
acid	acid
acidity	acidity
acknowledge	kweta
acknowledged	kwetara
acknowledgement	nkwupụta
acknowledgment	nkwupụta
acme	acme
acne	ihe otutu
acorn	acorn
acoustic	obi ụtọ
acoustics	acoustics
acquaint	mara
acquaintance	mara
acquainted	mara
acquiescence	nkwenye
acquire	nweta
acquiring	nweta
acquisition	nnweta
acquisitions	ihe
acquit	kweta
acquittal	ịkwụ ụgwọ
acre	acre
acreage	acreage
acres	acres
acrobat	acrobat
acrylic	acrylic
act	eme
acting	eme
action	edinam
action figure	eme ihe
actionable	eme ihe
activate	rụọ ọrụ
activation	mmalite
active	arụ ọrụ
activist	onye mmume
activity	ọrụ
actor	omee
actress	omee
actual	n'ezie
actuality	eziokwu
actuary	omeewu
acuity	aghara
acumen	acumen
acupuncture	acupuncture
acute	nnukwu
acutely	dị mma
ad	ad
adage	okwu
adamant	ndi mmadu
adapt	gbanwee
adaptable	eme mgbanwe
adaptation	mmegharị
add	tinye
added	gbakwunyere
addendum	addendum
adder	adder
addict	ọgwụ ọjọọ
addicted	ọgwụ ọjọọ
addiction	ịṅụ ọgwụ ọjọọ
addictive	na-eri ahụ
addition	mgbakwunye
additional	ọzọ
additive	agbakwunye
address	adreesị
addressee	onye nnọchiteanya
addresses	adreesị
adept	adept
adequacy	ezigbo ego
adequate	ezuru
adhere	rube isi
adherence	nrube isi
adherent	adherent
adhering	na-agbaso
adhesion	adhesion
adhesive	nrapado
adieu	adieu
adipose	adipose
adjacency	adjacency
adjacent	n'akụkụ
adjective	adjective
adjoining	na-adakọrịta
adjourn	kwụsị
adjournment	nkwụsị
adjudicate	adjudic
adjudication	adjudication
adjunct	nhazi
adjust	gbanwee
adjuster	nhazi
adjustment	ndozi
adjuvant	adjuvant
admin	ha
administer	nye aka
administration	nlekọta
administrative	nhazi
administrator	onye nlekọta
admirable	adọrọ mmasị
admiral	admiral
admiralty	admiralty
admiration	obi ụtọ
admire	na-enwe mmasị
admired	adọrọ mmasị
admirer	admirer
admiring	enwe mmasị
admissibility	ikike
