Word	tr
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	yerdomuzu
aback	pupada
abacus	abaküs
abalone	deniz kulağı
abandon	terketmek
abandoned	terkedilmiş
abandonment	terk
abashed	yüzü kızarmış
abate	azaltmak
abatement	azaltma
abba	abba
abbey	manastır
abbot	NO TRANSLATION
abbreviate	kısaltmak
abbreviation	kısaltma
abdomen	karın
abdominal	karın
abduct	kaçırmak
abduction	kaçırma
aberrant	anormal
aberration	aberasyon
abeyance	askıda
abhor	iğrenmek
abhorrence	nefret
abhorrent	iğrenç
abide	uymak
abiding	bitmez tükenmez
ability	kabiliyet
abject	sefil
ablation	ablasyon
ablaze	alev alev
able	yapabilmek
abnormal	Anormal
abnormality	anormallik
aboard	gemiye
abode	ikametgâh
abolish	ortadan kaldırmak
abolition	kaldırma
abominable	iğrenç
abominate	tiksinmek
abomination	nefret
aboriginal	yerli
abort	iptal etmek
abortion	kürtaj
abortive	prematüre
abound	bol
abovementioned	Yukarıda sözü edilen
abracadabra	NO TRANSLATION
abrasion	aşınma
abrasive	aşındırıcı
abreast	yan yana
abroad	yurt dışı
abrogate	iptal
abrupt	ani
abruptly	aniden
abscess	apse
absence	yokluk
absent	yok
absentee	gelmeyen kimse
absenteeism	devamsızlık
absinthe	pelin
absolute	kesin
absolution	günahların bağışlanması
absolve	affetmek
absorb	emmek
absorbed	emilir
absorbent	emici
absorbing	emici
absorption	emme
abstain	kaçınmak
abstention	kaçınma
abstinence	kaçınma
abstract	soyut
abstraction	soyutlama
absurd	saçma
absurdity	anlamsızlık
abundance	bolluk
abundant	bol
abuse	taciz
abused	istismar
abusive	küfürlü
abutment	dayanak
aby	NO TRANSLATION
abysmal	dipsiz
abyss	Uçurum
academic	akademik
academy	akademi
accede	razı olmak
accelerant	hızlandıran
accelerate	hızlandırmak
accelerated	hızlandırılmış
acceleration	hızlanma
accelerator	hızlandırıcı
accent	Aksan
accentuate	vurgulamak
accept	kabul etmek
acceptable	kabul edilebilir
acceptance	kabul
acceptances	kabuller
access	erişim
accessible	ulaşılabilir
accession	katılım
accessory	aksesuar
accident	kaza
accidental	tesadüfi
accidentally	kazara
acclaim	alkış
accolade	rabıta
accommodate	Karşılamak
accommodation	Konaklama
accompaniment	eşlik
accompany	eşlik etmek
accompanying	Eşlik eden
accomplice	suç ortağı
accomplish	başarmak
accomplished	başarılı
accomplishment	başarı
accord	anlaşma
accordance	uyum
accordion	akordeon
account	hesap
accountability	Hesap verebilirlik
accountable	sorumlu
accountant	Muhasebeci
accounting	muhasebe
accounts	hesapları
accredited	resmen tanınmış
accretion	büyüme
accrue	tahakkuk
accueil	NO TRANSLATION
accumulate	biriktirmek
accumulation	birikim
accuracy	doğruluk
accurate	doğru
accursed	lanetli
accusation	suçlama
accusative	ismin -i hali
accuse	suçlamak
accused	sanık
accuser	suçlayan kimse
accusing	itham
accustomed	alışık
ace	as
acetic	asetik
acetylene	asetilen
ache	ağrı
achieve	başarmak
achieved	elde
achievement	başarı
aching	ağrıyan
achy	ağrılı
acid	asit
acidity	asidite
acknowledge	kabul
acknowledged	tanınan
acknowledgement	alındı
acknowledgment	alındı
acme	doruk
acne	akne
acorn	meşe palamudu
acoustic	akustik
acoustics	akustik
acquaint	tanıtmak
acquaintance	tanıdık
acquainted	tanışık
acquiescence	uysallık
acquire	kazanmak
acquiring	edinme
acquisition	edinme
acquisitions	devralmalar
acquit	aklamak
acquittal	beraat
acre	dönümlük
acreage	yüzölçümü
acres	dönüm
acrobat	akrobat
acrylic	akrilik
act	davranmak
acting	oyunculuk
action	aksiyon
action figure	aksiyon figürü
actionable	dava edilebilir
activate	etkinleştirmek
activation	etkinleştirme
active	aktif
activist	eylemci
activity	aktivite
actor	aktör
actress	aktris
actual	gerçek
actuality	aktüalite
actuary	aktüer
acuity	keskinlik
acumen	sezgi
acupuncture	akupunktur
acute	akut
acutely	akut
ad	ilan
adage	atasözü
adamant	sert
adapt	uyarlamak
adaptable	uyarlanabilir
adaptation	adaptasyon
add	eklemek
added	katma
addendum	ek
adder	engerek
addict	tiryaki
addicted	bağımlı
addiction	bağımlılık
addictive	bağımlılık yapan
addition	ilave
additional	ek
additive	katkı
address	adres
addressee	alıcı
addresses	adresler
adept	usta
adequacy	yeterlik
adequate	yeterli
adhere	yapışmak
adherence	bağlılık
adherent	yapışık
adhering	kalarak
adhesion	yapışma
adhesive	yapıştırıcı
adieu	elveda
adipose	yağ
adjacency	yakınlık
adjacent	bitişik
adjective	sıfat
adjoining	bitişik
adjourn	ertelemek
adjournment	erteleme
adjudicate	ihale etmek
adjudication	hüküm
adjunct	ilave
adjust	ayarlamak
adjuster	ayarlayıcı
adjustment	ayarlama
adjuvant	adjuvan
admin	yönetim
administer	yönetmek
administration	yönetim
administrative	idari
administrator	yönetici
admirable	takdire değer
admiral	amiral
admiralty	amiraller
admiration	hayranlık
admire	beğenmek
admired	hayran
admirer	hayran
admiring	hayran
admissibility	kabul edilebilirlik
admissible	kabul edilebilir
admission	kabul
admit	Kabul et
admittance	giriş
admitted	kabul edilmiş
