Word	ml
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	അസാധാരണമായ
abacus	അബാകസ്
abalone	abalone
abandon	ഉപേക്ഷിക്കുക
abandoned	ഉപേക്ഷിച്ചു
abandonment	ഉപേക്ഷിക്കൽ
abashed	വിഭജിച്ചു
abate	അവസാനിക്കുക
abatement	അപഹരണം
abba	abba
abbey	അപ്പേ
abbot	NO TRANSLATION
abbreviate	ചുരുക്കുക
abbreviation	ചുരുക്കെഴുത്ത്
abdomen	ഉദരം
abdominal	വയറുവേദന
abduct	തട്ടിക്കൊണ്ടുപോകുക
abduction	തട്ടിക്കൊണ്ടുപോകൽ
aberrant	തെറ്റായ
aberration	അപരാധം
abeyance	നിരാകരണം
abhor	വെറുക്കുക
abhorrence	അപമാനം
abhorrent	വെറുക്കുന്നു
abide	നിലനിൽക്കുക
abiding	നിലനിൽക്കുന്നു
ability	കഴിവ്
abject	നിശബ്ദമായി
ablation	ablation
ablaze	ചുഴലിക്കാറ്റ്
able	കഴിവുള്ളവൻ
abnormal	അസാധാരണമായ
abnormality	അസാധാരണത
aboard	കപ്പൽ
abode	താമസിക്കുക
abolish	ഇല്ലാതാക്കുക
abolition	നിർത്തലാക്കൽ
abominable	വെറുപ്പുളവാക്കുന്നതാണ്
abominate	വെറുക്കുക
abomination	മ്ളേച്ഛത
aboriginal	ആദിമ
abort	ഉപേക്ഷിക്കുക
abortion	ഗർഭഛിദ്രം
abortive	നിർത്തൂ
abound	സമൃദ്ധമായി
abovementioned	മുകളിൽ പറഞ്ഞിരിക്കുന്നു
abracadabra	അബ്രകദാബ്ര
abrasion	രാസവളം
abrasive	അസ്വസ്ഥത
abreast	ആപേക്ഷികം
abroad	വിദേശത്ത്
abrogate	ദുർവ്വർത്തമാനം
abrupt	പെട്ടെന്ന്
abruptly	പെട്ടന്ന്
abscess	കുരുക്ക്
absence	അഭാവം
absent	ഹാജരല്ല
absentee	ഹാജരാകരുത്
absenteeism	വിഭജനം
absinthe	അസ്തിത്വം
absolute	കേവലമായ
absolution	absolution
absolve	വിട്ടുകളയുക
absorb	ആഗിരണം
absorbed	ആഗിരണം
absorbent	ആഗിരണം
absorbing	ആഗിരണം
absorption	ആഗിരണം
abstain	വിട്ടുനിൽക്കുക
abstention	വിട്ടുനിന്നു
abstinence	സല്ലാപം
abstract	അമൂർത്തമായ
abstraction	അമൂർത്തീകരണം
absurd	അസംബന്ധം
absurdity	അസംബന്ധം
abundance	സമൃദ്ധി
abundant	സമൃദ്ധമായ
abuse	ദുരുപയോഗം
abused	ദുരുപയോഗം ചെയ്തു
abusive	ദുരുപയോഗം ചെയ്യുന്ന
abutment	വഞ്ചന
aby	NO TRANSLATION
abysmal	അസംബന്ധം
abyss	അഗാധം
academic	അക്കാഡമിക്
academy	അക്കാദമി
accede	ഒത്തുപോകുന്നു
accelerant	ത്വരണം
accelerate	വേഗത്തിലാക്കുക
accelerated	ത്വരിതപ്പെടുത്തി
acceleration	ത്വരണം
accelerator	ആക്സലറേറ്റർ
accent	ആക്സന്റ്
accentuate	ഉദ്ദീപിപ്പിക്കുക
accept	സ്വീകരിക്കൂ
acceptable	സ്വീകാര്യമായ
acceptance	സ്വീകാര്യത
acceptances	സ്വീകാര്യമായ
access	പ്രവേശനം
accessible	ലഭ്യമാ
accession	പ്രവേശനം
accessory	ഉപസാധനം
accident	അപകടം
accidental	ആകസ്മികമായ
accidentally	ആകസ്മികമായി
acclaim	അഭിനന്ദനം
accolade	accolade
accommodate	ഉൾക്കൊള്ളിക്കുക
accommodation	താമസ സൌകര്യം
accompaniment	സഹകരണം
accompany	കൂടെപ്പോവുക
accompanying	അനുഗമിക്കൽ
accomplice	സഹകരണം
accomplish	നിവർത്തിക്കുക
accomplished	പൂർത്തീകരിച്ചു
accomplishment	നേട്ടങ്ങൾ
accord	സമ്മതം
accordance	അനുസൃതമായി
accordion	കൈകിന്നാരം
account	അക്കൗണ്ട്
accountability	ഉത്തരവാദിത്തം
accountable	കണക്ക്
accountant	അക്കൗണ്ടന്റ്
accounting	അക്കൌണ്ടിംഗ്
accounts	അക്കൗണ്ടുകൾ
accredited	അംഗീകാരം നൽകി
accretion	അക്രീഷൻ
accrue	എ
accueil	NO TRANSLATION
accumulate	കുന്നുകൂടുക
accumulation	സംഭരണം
accuracy	കൃത്യത
accurate	കൃത്യമായ
accursed	ശപിക്കപ്പെട്ടത്
accusation	കുറ്റാരോപണം
accusative	ആരോപണം
accuse	ബോധിപ്പിക്കുന്ന
accused	കുറ്റാരോപിതൻ
accuser	കുറ്റാരോപിതൻ
accusing	ആരോപണം
accustomed	ശീലിച്ചു
ace	ഏസ്
acetic	അസറ്റിക്
acetylene	അസറ്റലീൻ
ache	ആര
achieve	നേടിയെടുക്കാൻ
achieved	നേടി
achievement	നേട്ടം
aching	വേദന
achy	achy
acid	ആസിഡ്
acidity	അസിഡിറ്റി
acknowledge	സമ്മതിക്കുക
acknowledged	സമ്മതിച്ചു
acknowledgement	അംഗീകാരം
acknowledgment	അംഗീകാരം
acme	acme
