Word	mg
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	gaga
abacus	abacus
abalone	abalone
abandon	hanary
abandoned	nandao
abandonment	fandaozana
abashed	hangaihay
abate	hampitony
abatement	fiafarana
abba	Abba
abbey	Abbey
abbot	NO TRANSLATION
abbreviate	abbreviate
abbreviation	fanafohezana
abdomen	kibony
abdominal	kibo
abduct	abduct
abduction	fakàna an-keriny
aberrant	aberrant
aberration	aberration
abeyance	abeyance
abhor	mankahalà
abhorrence	rikoriko
abhorrent	maharikoriko
abide	mitoera
abiding	maharitra
ability	fahaizana
abject	faraidiny
ablation	ablation
ablaze	nirehetan'ny
able	afaka
abnormal	ara-dalàna
abnormality	ara-dalàna,
aboard	sambo
abode	nitoetra
abolish	hanafoana
abolition	fanafoanana
abominable	fahavetavetana
abominate	zava-betaveta
abomination	fahavetavetana
aboriginal	Aboriginal
abort	abort
abortion	fanalan-jaza
abortive	abortive
abound	betsaka
abovementioned	abovementioned
abracadabra	abracadabra
abrasion	abrasion
abrasive	Marokoroko
abreast	abreast
abroad	any ivelany
abrogate	abrogate
abrupt	tampoka
abruptly	tampoka
abscess	abscess
absence	tsy fisian'ny
absent	tsy eo
absentee	tsy tonga
absenteeism	absenteeism
absinthe	absinthe
absolute	tanteraka
absolution	famotsoran-keloka
absolve	hanafaka
absorb	mandray
absorbed	variana
absorbent	absorbent
absorbing	mitroka
absorption	hisakana ny fiasan'ireny
abstain	hifady
abstention	koa nilaza hoe mpankahala
abstinence	tsy nihinan-kanina
abstract	saro-takarina
abstraction	abstraction
absurd	tsy mitombina
absurdity	hadalàna
abundance	be dia be
abundant	be
abuse	fanararaotana
abused	nanararaotra
abusive	ratsy
abutment	abutment
aby	NO TRANSLATION
abysmal	nahatsiravina ny
abyss	lavaka tsy hita noanoa
academic	akademika
academy	Akademia
accede	accede
accelerant	accelerant
accelerate	haingana
accelerated	haingana
acceleration	haingana
accelerator	Mandehana mafimafy kokoa
accent	lantom-peony
accentuate	Asongadin'ireny
accept	manaiky
acceptable	azo ekena
acceptance	fanekena
acceptances	acceptances
access	fidirana
accessible	azo idirana
accession	fidirana
accessory	fanampin-javatra
accident	loza
accidental	nahy
accidentally	tsy nahy
acclaim	laza
accolade	accolade
accommodate	handraisana
accommodation	zavatra ilaina
accompaniment	arahina
accompany	hiaraka
accompanying	laoka
accomplice	mpiray tsikombakomba
accomplish	hanatanteraka
accomplished	tanteraka
accomplishment	zava-bita
accord	mifanaraka
accordance	mifanaraka
accordion	angorodao
account	kaonty
accountability	andraikitra
accountable	tompon 'andraikitra
accountant	kaonty
accounting	fitantanam-bola
accounts	kaonty
accredited	ofisialy
accretion	accretion
accrue	hampitombo
accueil	NO TRANSLATION
accumulate	hanangonany
accumulation	fanangonan-karena
accuracy	araka ny marina
accurate	marina
accursed	voaozona
accusation	fiampangana
accusative	Zavatra
accuse	miampanga
accused	voampanga
accuser	mpiampanga
accusing	niampanga
accustomed	zatra
ace	abidy
acetic	acetic
acetylene	acetylene
ache	ache
achieve	hanatrarana
achieved	tratra
achievement	zava-bitany
aching	Nanaintaina
achy	achy
acid	asidra
acidity	asidra
acknowledge	manaiky
acknowledged	niaiky
acknowledgement	fiekena
acknowledgment	fiekena
acme	acme
acne	refin-
acorn	voa kelin'ny fangatahana
acoustic	Acoustic
acoustics	acoustics
acquaint	hampahafantarana
acquaintance	olom-pantany
acquainted	mahafantatra
acquiescence	acquiescence
acquire	hahazo
acquiring	mahazo
acquisition	fahazoana
acquisitions	novidiny
acquit	manafaka
acquittal	fanafahana
acre	hektara
acreage	acreage
acres	hektara
acrobat	Acrobat
acrylic	acrylic
act	fihetsika
acting	hanao zavatra
action	hetsika
action figure	hetsika endrika
actionable	actionable
activate	hampavitrika
activation	fampahavitrihana
active	active
activist	mafana fo
activity	asa
actor	mpilalao
actress	mpilalao sarimihetsika
actual	tena
actuality	raha ny marina
actuary	actuary
acuity	acuity
acumen	fahaizana manamboatra
acupuncture	tsindrona volamena
acute	maranitra
acutely	acutely
ad	taorian 'i jk
adage	fomba fiteny
adamant	nanaiky
adapt	mampifanaraka
adaptable	hilefitra
adaptation	fampifanarahana
add	hametraka
added	nanampy
addendum	addendum
adder	menarana
addict	-mahadomelina
addicted	nandevozin'ny
addiction	fiankinan-doha
addictive	doha
addition	koa
additional	fanampiny
additive	additive
address	adiresy
addressee	addressee
addresses	adiresy
adept	zatra
adequacy	adequacy
adequate	sahaza
adhere	manaraka
adherence	firaiketana
adherent	adherent
adhering	manaraka
adhesion	hidiran'i
adhesive	adhesive
adieu	Adieu
adipose	adipose
adjacency	adjacency
adjacent	mifanila
adjective	mpamaritra
adjoining	nifanila
adjourn	-pivoriany
adjournment	fiafaran'ny
adjudicate	adjudicate
adjudication	adjudication
adjunct	adjunct
adjust	hanitsy
adjuster	adjuster
adjustment	fanitsiana
adjuvant	adjuvant
admin	Admin
administer	hitantana
administration	fitantanan-draharaha
administrative	panjakana
administrator	mpandrindra
admirable	mendri-piderana
admiral	amiral
admiralty	Admiralty
