Word	lv
aaaaaaah	aaaaaaha
aaaah	NO TRANSLATION
aardvark	aardvark
aback	dīvains
abacus	abacus
abalone	cāli
abandon	pamest
abandoned	pamesta
abandonment	atmešana
abashed	saudzīgs
abate	saīsināt
abatement	samazināšana
abba	Abba
abbey	abatija
abbot	NO TRANSLATION
abbreviate	saīsināt
abbreviation	abreviatūra
abdomen	vēders
abdominal	vēdera
abduct	nolaupīt
abduction	nolaupīšana
aberrant	neatbilstošs
aberration	aberācija
abeyance	apturēšana
abhor	niknums
abhorrence	negodīgums
abhorrent	negodīgi
abide	paliec
abiding	paliekoša
ability	spēja
abject	abject
ablation	ablācija
ablaze	apslāpēt
able	spējīgs
abnormal	patoloģiska
abnormality	anomālija
aboard	uz borta
abode	mītne
abolish	atcelt
abolition	atcelšana
abominable	negodīgi
abominate	abominate
abomination	abominācija
aboriginal	aborigēns
abort	pārtraukt
abortion	aborts
abortive	abortu
abound	abound
abovementioned	Augstāk minēts
abracadabra	abracadabra
abrasion	nodilums
abrasive	abrazīvs
abreast	abreast
abroad	ārzemēs
abrogate	atcelt
abrupt	pēkšņi
abruptly	pēkšņi
abscess	abscess
absence	prombūtne
absent	prombūtne
absentee	prombūtne
absenteeism	prombūtne
absinthe	absints
absolute	absolūti
absolution	atmešana
absolve	atlaist
absorb	absorbēt
absorbed	uzsūcas
absorbent	absorbējošs
absorbing	absorbējot
absorption	absorbcija
abstain	atturēties
abstention	atturēšanās
abstinence	atturība
abstract	abstrakts
abstraction	abstrakcija
absurd	absurds
absurdity	absurds
abundance	pārpilnība
abundant	bagātīgs
abuse	ļaunprātīgi izmantot
abused	ļaunprātīgi
abusive	ļaunprātīgs
abutment	abatment
aby	NO TRANSLATION
abysmal	bezgalīgs
abyss	bezdibenis
academic	akadēmiskā
academy	akadēmija
accede	pievienoties
accelerant	paātrinātājs
accelerate	paātrināt
accelerated	paātrināta
acceleration	paātrinājums
accelerator	paātrinātājs
accent	akcents
accentuate	akcentēt
accept	pieņemt
acceptable	pieņemams
acceptance	pieņemšana
acceptances	pieņemšana
access	piekļuvi
accessible	pieejams
accession	pievienošanās
accessory	aksesuārs
accident	nelaimes gadījums
accidental	nejauša
accidentally	nejauši
acclaim	atzinību
accolade	accolade
accommodate	uzņemt
accommodation	izmitināšana
accompaniment	pavadījums
accompany	pavadīt
accompanying	pavadošais
accomplice	līdzdalībnieks
accomplish	paveikt
accomplished	paveikts
accomplishment	sasniegums
accord	piekrītu
accordance	atbilstību
accordion	akordeons
account	konts
accountability	atbildība
accountable	atbildīgs
accountant	grāmatvedis
accounting	grāmatvedība
accounts	konti
accredited	akreditēta
accretion	akrecija
accrue	uzkrāt
accueil	NO TRANSLATION
accumulate	uzkrāties
accumulation	uzkrāšanās
accuracy	precizitāte
accurate	precīza
accursed	nolādēts
accusation	apsūdzība
accusative	apsūdzošs
