Word	sk
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	Aardvark
aback	prekvapený
abacus	počítadlo
abalone	useň
abandon	opustiť
abandoned	opustený
abandonment	opustenie
abashed	v rozpakoch
abate	zmenšiť
abatement	zníženie
abba	abba
abbey	opátstva
abbot	NO TRANSLATION
abbreviate	skrátiť
abbreviation	skratka
abdomen	brucho
abdominal	brušnej
abduct	uniesť
abduction	únos
aberrant	nenormálne
aberration	odchýlka
abeyance	suspenzie
abhor	hroziť sa
abhorrence	opovrhnutie
abhorrent	odporný
abide	dodržať
abiding	rešpektujúci
ability	schopnosť
abject	ponížený
ablation	odstránenie
ablaze	horiace
able	schopný
abnormal	abnormálne
abnormality	anomálie
aboard	na palube
abode	príbytok
abolish	zrušiť
abolition	zrušenie
abominable	odporný
abominate	hnusiť
abomination	ohavnosť
aboriginal	domorodý
abort	prerušiť
abortion	potrat
abortive	nevydarený
abound	oplývať
abovementioned	vyššie spomínané
abracadabra	NO TRANSLATION
abrasion	odreniny
abrasive	brusivo
abreast	bok po boku
abroad	v zahraničí
abrogate	zrušiť
abrupt	náhly
abruptly	stroho
abscess	absces
absence	neprítomnosť
absent	neprítomný
absentee	absentér
absenteeism	absentérstvo
absinthe	absint
absolute	absolútny
absolution	oslobodenie
absolve	oslobodiť viny
absorb	absorbovať
absorbed	vstrebáva
absorbent	absorbujúce
absorbing	pútavý
absorption	vstrebávanie
abstain	abstinovať
abstention	zdržanie sa
abstinence	abstinencie
abstract	abstraktné
abstraction	abstrakcie
absurd	absurdné
absurdity	nezmyselnosť
abundance	hojnosť
abundant	hojný
abuse	zneužívanie
abused	zneužila
abusive	hrubý
abutment	podpera
aby	NO TRANSLATION
abysmal	priepastný
abyss	priepasť
academic	akademický
academy	akadémie
accede	pristúpiť
accelerant	akcelerátor
accelerate	urýchliť
accelerated	zrýchlený
acceleration	akcelerácia
accelerator	urýchľovač
accent	prízvuk
accentuate	zdôrazniť
accept	súhlasiť
acceptable	prijateľný
acceptance	prijatie
acceptances	akceptáciou
access	prístup
accessible	prístupný
accession	nastúpenie
accessory	prídavný
accident	nehoda
accidental	náhodný
accidentally	náhodou
acclaim	pozdravovat
accolade	vyznamenanie
accommodate	ubytovať
accommodation	ubytovanie
accompaniment	sprievod
accompany	sprevádzať
accompanying	sprevádzajúci
accomplice	spolupáchateľa
accomplish	dokončiť
accomplished	dokonalý
accomplishment	dosiahnutie
accord	dohoda
accordance	zhoda
accordion	akordeón
account	účet
accountability	zodpovednosť
accountable	zodpovedný
accountant	účtovný
accounting	účtovníctva
accounts	účty
accredited	akreditovaný
accretion	narastania
accrue	narastať
accueil	NO TRANSLATION
accumulate	akumulovať
accumulation	akumulácia
accuracy	presnosť
accurate	presný
accursed	prekliaty
accusation	obvinenie
accusative	akuzatív
accuse	obviniť
accused	obžalovaný
accuser	žalobca
accusing	vyčítavo
accustomed	zvyknutý
ace	eso
acetic	octová
acetylene	acetylén
ache	bolenie
achieve	dosiahnuť
achieved	dosiahnuté
achievement	úspech
aching	bolestivý
achy	boľavý
acid	kyselina
acidity	kyslosť
acknowledge	potvrdiť
acknowledged	uznala
acknowledgement	poďakovanie
acknowledgment	poďakovanie
acme	vrchol
acne	akné
acorn	žaluď
acoustic	akustický
acoustics	akustika
acquaint	zoznámiť
acquaintance	známosť
acquainted	oboznameny
acquiescence	súhlas
acquire	nadobudnúť
acquiring	získavanie
acquisition	získavanie
acquisitions	akvizície
acquit	oslobodiť viny
acquittal	oslobodenie
acre	aker
acreage	výmera
acres	akrov
acrobat	akrobat
acrylic	akryl
act	akt
acting	herectvo
action	akčné
action figure	akčná figúrka
actionable	hodnotný
activate	Aktivovať
activation	aktivácia
active	aktívny
activist	aktivista
activity	aktivita
actor	herec
actress	herečka
actual	skutočný
actuality	skutočnosť
actuary	poistný matematik
acuity	ostrosť
acumen	prezieravosť
acupuncture	akupunktúra
acute	akútna
acutely	akútne
ad	reklama
adage	príslovie
adamant	neoblomný
adapt	prispôsobiť
adaptable	prispôsobivý
adaptation	adaptácia
add	pridať
added	pridaný
addendum	dodatky
adder	zmija
addict	narkoman
addicted	závislý
addiction	závislosť
addictive	návykové
addition	pridanie
additional	dodatočný
additive	prísada
address	adresa
addressee	adresát
addresses	adresy
adept	zbehlý
adequacy	primeranosť
adequate	primeraný
adhere	držať
adherence	lipnutie
adherent	stúpenec
adhering	dodržiavaním
adhesion	priľnavosť
adhesive	lepidlo
adieu	zbohom
adipose	tuková
adjacency	susedov
adjacent	priľahlý
adjective	prídavné meno
adjoining	susediace
adjourn	odložiť
adjournment	odročenie
adjudicate	rozhodnúť
adjudication	rozsudok
adjunct	prídavok
adjust	nastaviť
adjuster	nastavovač
adjustment	nastavenie
adjuvant	adjuvant
admin	admin
administer	spravovať
administration	podávanie
administrative	administratívne
administrator	správca
admirable	obdivuhodný
admiral	admirál
admiralty	Admirality
admiration	obdiv
admire	obdivovať
admired	obdivovanou
admirer	obdivovateľ
admiring	obdivovanie
admissibility	prípustnosti
admissible	prípustná
admission	vstupné
admit	pripustiť
