Word	no
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	bakk
abacus	kuleramme
abalone	sjøøre
abandon	forlate
abandoned	forlatt
abandonment	oppgivelse
abashed	beskjemmet
abate	avta
abatement	minking
abba	abba
abbey	kloster
abbot	NO TRANSLATION
abbreviate	forkorte
abbreviation	forkortelse
abdomen	mage
abdominal	abdominal
abduct	bortføre
abduction	bortføring
aberrant	avvik
aberration	aberrasjon
abeyance	bero
abhor	avsky
abhorrence	avsky
abhorrent	avskyelig
abide	holde
abiding	Abiding
ability	evnen
abject	ynke
ablation	ablasjon
ablaze	brann
able	i stand
abnormal	unormal
abnormality	abnormitet
aboard	ombord
abode	bolig
abolish	avskaffe
abolition	avskaffelse
abominable	avskyelig
abominate	avsky
abomination	styggedom
aboriginal	opprinnelig
abort	avbryte
abortion	abort
abortive	mislykket
abound	florerer
abovementioned	nevnte
abracadabra	abrakadabra
abrasion	slitasje
abrasive	slip
abreast	à jour
abroad	i utlandet
abrogate	oppheve
abrupt	brå
abruptly	brått
abscess	abscess
absence	fravær
absent	fraværende
absentee	fraværende
absenteeism	fravær
absinthe	absint
absolute	absolutte
absolution	absolusjon
absolve	frikjenne
absorb	absorbere
absorbed	absorbert
absorbent	absorberende
absorbing	absorberende
absorption	absorpsjon
abstain	avstå
abstention	abstention
abstinence	avholdenhet
abstract	abstrakt
abstraction	abstraksjon
absurd	absurd
absurdity	absurditet
abundance	overflod
abundant	rikelig
abuse	misbruke
abused	misbrukt
abusive	fornærmende
abutment	anslags
aby	NO TRANSLATION
abysmal	abysmal
abyss	avgrunnen
academic	akademisk
academy	akademi
accede	tiltre
accelerant	accelerant
accelerate	akselerere
accelerated	akselerert
acceleration	akselerasjon
accelerator	akselerator
accent	aksent
accentuate	fremheve
accept	aksepterer
acceptable	akseptabel
acceptance	godkjennelse
acceptances	aksepter
access	adgang
accessible	tilgjengelig
accession	tiltredelse
accessory	tilbehør
accident	ulykke
accidental	utilsiktet
accidentally	ved et uhell
acclaim	anerkjennelse
accolade	utmerkelse
accommodate	imøtekomme
accommodation	overnatting
accompaniment	akkompagnement
accompany	ledsage
accompanying	medfølgende
accomplice	medskyldig
accomplish	utrette
accomplished	oppnås
accomplishment	gjennomføring
accord	accord
accordance	samsvar
accordion	trekkspill
account	konto
accountability	ansvarlighet
accountable	ansvarlig
accountant	regnskapsfører
accounting	regnskap
accounts	kontoer
accredited	akkreditert
accretion	Tilveksten
accrue	påløpe
accueil	NO TRANSLATION
accumulate	akkumulere
accumulation	akkumulering
accuracy	nøyaktighet
accurate	korrekt
accursed	forbannet
accusation	anklage
accusative	akkusativ
accuse	beskylde
accused	tiltalte
accuser	anklageren
accusing	anklagende
accustomed	vant
ace	ess
acetic	eddiksyre
acetylene	acetylen
ache	smerte
achieve	oppnå
achieved	oppnådd
achievement	oppnåelse
aching	verk
achy	verk
acid	syre
acidity	surhet
acknowledge	anerkjenne
acknowledged	anerkjente
acknowledgement	bekreftelse
acknowledgment	bekreftelse
acme	acme
acne	kviser
acorn	eikenøtt
acoustic	akustisk
acoustics	akustikk
acquaint	kjent
acquaintance	bekjent
acquainted	kjent
acquiescence	samtykke
acquire	tilegne
acquiring	anskaffe
acquisition	oppkjøp
acquisitions	oppkjøp
acquit	frikjenne
acquittal	frifinnelse
acre	acre
acreage	areal
acres	dekar
acrobat	akrobat
acrylic	akryl
act	handling
acting	skuespill
action	handling
action figure	action-figur
actionable	handlings
activate	aktivere
activation	aktivering
active	aktiv
activist	aktivist
activity	aktivitet
actor	skuespiller
actress	skuespillerinne
actual	faktiske
actuality	Aktualitet
actuary	aktuar
acuity	skarphet
acumen	sans
acupuncture	akupunktur
acute	akutt
acutely	akutt
ad	annonse
adage	munnhell
adamant	ubøyelig
adapt	tilpasse
adaptable	tilpasningsdyktig
adaptation	tilpasning
add	Legg til
added	la til
addendum	addendum
adder	huggorm
addict	stoffmisbruker
addicted	avhengige
addiction	avhengighet
addictive	vanedannende
addition	addisjon
additional	ytterligere
additive	tilsetningsstoff
address	adresse
addressee	adressat
addresses	adresser
adept	dyktig
adequacy	tilstrekkelighet
adequate	tilstrekkelig
adhere	over
adherence	binding
adherent	tilhenger
adhering	holde
adhesion	adhesjon
adhesive	klebe
adieu	adjø
adipose	adipose
adjacency	tilstøter
adjacent	ved siden av
adjective	adjektiv
adjoining	tilstøtende
adjourn	utsette
adjournment	adjournment
adjudicate	avgjøre
adjudication	pådømmelse
adjunct	medhjelper
adjust	justere
adjuster	adjuster
adjustment	justering
adjuvant	adjuvans
admin	admin
administer	administrere
administration	administrasjon
administrative	administrative
administrator	administrator
admirable	beundringsverdig
admiral	admiral
admiralty	Admiralty
admiration	beundring
admire	beundre
admired	beundret
admirer	beundrer
admiring	beundrer
admissibility	avvisnings
admissible	tillatelig
admission	adgang
admit	innrømme
admittance	adgang
admitted	innrømmet
admitting	bekjenne
admixture	blanding
admonition	formaning
ado	En gjør
adobe	adobe
adolescence	oppvekst
adolescent	tenåring
adopt	adoptere
adoption	adopsjon
adoptive	adoptiv
