Word	eu
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abako
abalone	abalone
abandon	bertan behera
abandoned	abandonatutako
abandonment	abandono
abashed	lotsatuta
abate	abate
abatement	murrizteko
abba	abba
abbey	abadia
abbot	abade
abbreviate	laburtu
abbreviation	laburdura
abdomen	abdominalak
abdominal	sabeleko
abduct	abduct
abduction	bahiketa
aberrant	aberrant
aberration	aberrazio
abeyance	abeyance
abhor	gaitzesten
abhorrence	abhorrence
abhorrent	abhorrent
abide	bete beharko
abiding	izkutuko
ability	gaitasuna
abject	abject
ablation	ablazioa
ablaze	ablaze
able	ahal
abnormal	anormal
abnormality	Gorabeheraren
aboard	itsasontzian
abode	abode
abolish	indargabetzeko
abolition	indargabetzea
abominable	abominable
abominate	nardagarri
abomination	abomination
aboriginal	aborigenen
abort	abortatzeko
abortion	abortua
abortive	abortu
abound	ugariak
abovementioned	aipatutako
abracadabra	abracadabra
abrasion	urradura
abrasive	urratzailea
abreast	abreast
abroad	atzerrian
abrogate	indargabetu
abrupt	bortitza
abruptly	bortizki
abscess	absceso
absence	absentzia
absent	absent
absentee	absentee
absenteeism	absentismoa
absinthe	absinthe
absolute	absolutua
absolution	absoluzioa
absolve	absolbitu
absorb	xurgatzen
absorbed	xurgatu
absorbent	xurgatzaile
absorbing	xurgatzeko
absorption	absortzio
abstain	Abstentzioa
abstention	abstentzioa
abstinence	abstinentzia
abstract	abstraktu
abstraction	abstrakzioa
absurd	absurdu
absurdity	zentzugabekeria
abundance	ugaritasuna
abundant	ugaria
abuse	tratu txarrak
abused	neurriz
abusive	gehiegikeri
abutment	abutment
aby	NO TRANSLATION
abysmal	abysmal
abyss	amildegitik
academic	akademikoa
academy	akademia
accede	atxikiko
accelerant	accelerant
accelerate	bizkortzea
accelerated	azeleratu
acceleration	azelerazio
accelerator	azeleragailu
accent	azentuarekin
accentuate	areagotu
accept	onartu
acceptable	onargarria
acceptance	onarpena
acceptances	onarpenak
access	sarbidea
accessible	irisgarria
accession	Atxikitze
accessory	osagarri
accident	istripua
accidental	istripuz
accidentally	ustekabean
acclaim	txalotu
accolade	alorrean
accommodate	moldatzeko
accommodation	ostatua
accompaniment	lagundurik
accompany	batera
accompanying	batera doan
accomplice	konplize
accomplish	betetzeko
accomplished	lortzen
accomplishment	lorpen
accord	akordioa
accordance	jarraiki
accordion	akordeoia
account	kontu
accountability	erantzukizun
accountable	kontuak
accountant	kontulari
accounting	kontabilitate
accounts	kontuak
accredited	akreditatu
accretion	accretion
accrue	sortuko
accueil	NO TRANSLATION
accumulate	pilatu
accumulation	metaketa
accuracy	zehaztasun
accurate	zehatza
accursed	madarikatuak
accusation	salaketa
accusative	akusatiboa
accuse	leporatzen
accused	leporatu
accuser	accuser
accusing	salatuz
accustomed	ohituta
ace	as
acetic	azetiko
acetylene	azetilenoaren
ache	mina
achieve	lortzea
achieved	lortzen
achievement	lorpen
aching	aching
achy	achy
acid	azido
acidity	azidotasun
acknowledge	aitortu
acknowledged	onartu
acknowledgement	errekonozimendua
acknowledgment	errekonozimendua
acme	Acme
acne	aknea
acorn	ezkur
acoustic	akustikoa
acoustics	akustika
acquaint	acquaint
acquaintance	ezagun
acquainted	ezagutu
acquiescence	acquiescence
acquire	eskuratzen
acquiring	eskuratzen
acquisition	eskuratzea
acquisitions	erosketak
acquit	absolbitu
acquittal	absoluzioa
acre	acre
acreage	jabaria
acres	akre
acrobat	acrobat
acrylic	akrilikoa
act	egintza
acting	Ukan
action	ekintza
action figure	ekintza figura
actionable	actionable
activate	aktibatu
activation	aktibazioa
active	aktibo
activist	aktibista
activity	jarduera
actor	aktore
actress	aktorea
actual	benetako
actuality	actuality
actuary	aktuario
acuity	zorroztasun
acumen	acumen
acupuncture	akupuntura
acute	akutua
acutely	acutely
ad	ad
adage	adage
adamant	adamant
adapt	moldatu
adaptable	moldagarria
adaptation	egokitze
add	gehitu
added	gehitu
addendum	addendum
adder	adder
addict	Addictos
addicted	adikzioa
addiction	mendetasuna
addictive	addictive
addition	Horrez
additional	osagarriak
additive	gehigarri
address	helbidea
addressee	hartzaileak
addresses	helbideak
adept	maite
adequacy	egokitasuna
adequate	egokia
adhere	atxikitzen
adherence	atxikimendua
adherent	adherent
adhering	atxikitzea
adhesion	atxikidura
adhesive	itsasgarri
adieu	adieu
adipose	gantz
adjacency	adjacency
adjacent	aldameneko
adjective	adjektibo
adjoining	aldameneko
adjourn	adjourn
adjournment	adjournment
adjudicate	esleitzea
adjudication	adjudikazio
adjunct	batzuetan
adjust	egokitu
adjuster	adituen
adjustment	doikuntza
adjuvant	adjuvant
admin	admin
administer	kudeatzeko
administration	administrazioa
administrative	administratiboak
administrator	administrator
admirable	miresgarria
admiral	almirante
admiralty	Admiralty
admiration	miresmen
admire	miresten
admired	miresten
admirer	miresle
admiring	miresten
admissibility	onargarriak
admissible	onargarria
admission	onarpen
admit	aitortu
admittance	admittance
admitted	onartutakoen
admitting	onartu
admixture	nahaste
admonition	admonition
ado	ADO
adobe	adobe
adolescence	nerabezaroan
