Word	km
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abacus
abalone	ធ្មេញ
abandon	បោះបង់
abandoned	បោះបង់
abandonment	បោះបង់
abashed	អាក់អន់ចិត្ត
abate	abate
abatement	ការថយចុះ
abba	abba
abbey	វត្តអារាម
abbot	NO TRANSLATION
abbreviate	អក្សរកាត់
abbreviation	អក្សរកាត់
abdomen	ពោះ
abdominal	ពោះ
abduct	ចាប់ពង្រត់
abduction	ចាប់ពង្រត់
aberrant	អវិជ្ជមាន
aberration	កំហុសឆ្គង
abeyance	ភាពធុញទ្រាន់
abhor	ស្អប់ខ្ពើម
abhorrence	ការស្អប់ខ្ពើម
abhorrent	ស្អប់ខ្ពើម
abide	ប្រកាន់ខ្ជាប់
abiding	ប្រកាន់ខ្ជាប់
ability	សមត្ថភាព
abject	abject
ablation	ablation
ablaze	ឆាបឆេះ
able	អាច
abnormal	មិនធម្មតា
abnormality	ភាពមិនធម្មតា
aboard	ជិះលើ
abode	ស្នាក់នៅ
abolish	លុបចោល
abolition	លុបបំបាត់
abominable	គួរស្អប់ខ្ពើម
abominate	ស្អប់ខ្ពើម
abomination	គួរស្អប់ខ្ពើម
aboriginal	ដើម
abort	បោះបង់
abortion	ការរំលូតកូន
abortive	រំលូតកូន
abound	មានពាសពេញ
abovementioned	ខាងលើ
abracadabra	abracadabra
abrasion	ធ្មេញ
abrasive	សំណឹក
abreast	abreast
abroad	នៅបរទេស
abrogate	abrogate
abrupt	ខឹង
abruptly	យ៉ាងឆាប់រហ័ស
abscess	អាប់ស
absence	អវត្តមាន
absent	អវត្តមាន
absentee	អវត្តមាន
absenteeism	អវត្តមាន
absinthe	absinthe
absolute	ដាច់ខាត
absolution	absolution
absolve	ជម្រះ
absorb	ស្រូបយក
absorbed	ស្រូបយក
absorbent	ស្រូបយក
absorbing	ស្រូបយក
absorption	ស្រូបយក
abstain	ជៀសវាង
abstention	ការជៀសវាង
abstinence	ការតម
abstract	អរូបី
abstraction	អរូបី
absurd	មិនទំនង
absurdity	មិនសមហេតុផល
abundance	សម្បូរបែប
abundant	សម្បូរបែប
abuse	ការរំលោភបំពាន
abused	រំលោភបំពាន
abusive	រំលោភបំពាន
abutment	ទ្រង
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	ការសិក្សា
academy	សាលា
accede	ចូល
accelerant	សំទុះ
accelerate	បង្កើនល្បឿន
accelerated	ពន្លឿន
acceleration	ការបង្កើនល្បឿន
accelerator	បង្កើនល្បឿន
accent	សំដី
accentuate	សង្កត់ធ្ងន់
accept	ទទួលយក
acceptable	អាចទទួលយកបាន
acceptance	ការទទួលយក
acceptances	ការទទួលយក
access	ចូល
accessible	អាចចូលបាន
accession	ចូល
accessory	គ្រឿងបន្លាស់
accident	គ្រោះថ្នាក់
accidental	ដោយចៃដន្យ
accidentally	ដោយចៃដន្យ
acclaim	សរសើរ
accolade	សរសើរ
accommodate	សម្រុះសម្រួល
accommodation	កន្លែងស្នាក់នៅ
accompaniment	បន្ទរ
accompany	អមដំណើរ
accompanying	ជាមួយ
accomplice	សហការី
accomplish	សម្រេច
accomplished	សម្រេច
accomplishment	សមិទ្ធផល
accord	យល់ព្រម
accordance	ស្រប
accordion	អង្កាញ់
account	គណនី
accountability	គណនេយ្យភាព
accountable	គណនេយ្យ
accountant	គណនេយ្យ
accounting	គណនេយ្យ
accounts	គណនី
accredited	ទទួលស្គាល់
accretion	កើនឡើង
accrue	បង្កើន
accueil	NO TRANSLATION
accumulate	កកកុញ
accumulation	ការប្រមូលផ្តុំ
accuracy	ភាព​ត្រឹមត្រូវ
accurate	ត្រឹមត្រូវ
accursed	ត្រូវបានគេធ្វើបាប
accusation	ការចោទប្រកាន់
accusative	ចោទប្រកាន់
accuse	ចោទប្រកាន់
accused	ចោទ
accuser	អ្នកចោទប្រកាន់
accusing	ចោទប្រកាន់
accustomed	ទម្លាប់ធ្វើការកត់សំគាល់
ace	សន្លឹកអាត់
acetic	អាសេទិក
acetylene	acetylene
ache	ឈឺចាប់
achieve	សម្រេចបាន
achieved	សម្រេច
achievement	សមិទ្ធផល
aching	ឈឺចាប់
achy	ឈឺចាប់
acid	អាស៊ីត
acidity	អាសុីត
acknowledge	ទទួលស្គាល់
acknowledged	បានទទួលស្គាល់
acknowledgement	ការទទួលស្គាល់
acknowledgment	ការទទួលស្គាល់
acme	acme
acne	មុន
acorn	acorn
acoustic	សូរស័ព្ទ
acoustics	សូរស័ព្ទ
acquaint	ស្គាល់
acquaintance	ស្គាល់
acquainted	ស្គាល់
acquiescence	ការលះបង់
acquire	ទទួលបាន
acquiring	ទទួលបាន
acquisition	ទិញ
acquisitions	ការទិញ
acquit	រួចខ្លួន
acquittal	ការដោះលែង
acre	acre
acreage	acreage
acres	ហិចតា
acrobat	acrobat
acrylic	acrylic
act	ទង្វើ
acting	សម្ដែង
action	សកម្មភាព
action figure	តួលេខសកម្មភាព
actionable	សកម្មភាព
activate	ធ្វើឱ្យសកម្ម
activation	សកម្មភាព
active	សកម្ម
