Word	sm
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	o se mea e leai
abacus	faʻailoga
abalone	vailaʻau
abandon	lafoaia
abandoned	tuulafoaiina
abandonment	lafoaia
abashed	faalumaina
abate	faʻasologa
abatement	faʻaaogaina
abba	abba
abbey	abbey
abbot	NO TRANSLATION
abbreviate	otooto
abbreviation	otootoga
abdomen	manava
abdominal	afaina
abduct	faoa
abduction	aveeseina
aberrant	valea
aberration	faʻaleagaina
abeyance	faʻailoga
abhor	inoino
abhorrence	inoino
abhorrent	inoino
abide	tausisia
abiding	tausisia
ability	tomai
abject	faalumaina
ablation	faʻasologa
ablaze	sasaa
able	mafai
abnormal	lē masani
abnormality	mea le lelei
aboard	uta
abode	nofo
abolish	soloia
abolition	solo
abominable	inosia
abominate	inoino
abomination	mea inosia
aboriginal	Aboriginal
abort	afaina
abortion	faapaʻu pepe
abortive	faʻailoga
abound	tele
abovementioned	ua taua i luga
abracadabra	abracadabra
abrasion	faʻasalaga
abrasive	abrasive
abreast	togi
abroad	i fafo
abrogate	solo
abrupt	faanatinati
abruptly	faʻafuaseʻi
abscess	fao
absence	toesea
absent	toesea
absentee	leai
absenteeism	toesea
absinthe	absinthe
absolute	saʻo
absolution	toesea
absolve	saʻo
absorb	toso
absorbed	faʻaleleia
absorbent	sosolo
absorbing	gauaʻi
absorption	avega
abstain	aloese
abstention	taofi
abstinence	faʻasalaga
abstract	faʻapitoa
abstraction	faʻaaogaina
absurd	valea
absurdity	valea
abundance	tele
abundant	tele
abuse	faʻaleagaina
abused	sauaina
abusive	faʻasaunoa
abutment	faʻapipiʻi
aby	NO TRANSLATION
abysmal	leaga
abyss	abyss
academic	aʻoga
academy	aʻoga
accede	faʻatautaia
accelerant	saoasaoa
accelerate	faatelevave
accelerated	faʻateleina
acceleration	saoasaoa
accelerator	osofaʻiga
accent	leo
accentuate	faʻailoa
accept	talia
acceptable	taliaina
acceptance	talia
acceptances	taliaina
access	avanoa
accessible	avanoa
accession	faʻatasi
accessory	avanoa
accident	faalavelave
accidental	faʻafuaseʻi
accidentally	faʻafuaseʻi
acclaim	alalaga
accolade	faʻaola
accommodate	nofo ai
accommodation	fale nofo
accompaniment	taʻavale
accompany	ō faʻatasi
accompanying	faʻatasi
accomplice	tagata faʻapitoa
accomplish	ausia
accomplished	ausia
accomplishment	ausia
accord	tutusa
accordance	tusa ai
accordion	tutusa
account	teugatupe
accountability	tali atu
accountable	tali atu
accountant	tausitusi
accounting	tala faʻatusi
accounts	tala
accredited	faʻatagaina
accretion	faʻamanuiaina
accrue	faʻateleina
accueil	NO TRANSLATION
accumulate	faaputuputu
accumulation	faaputuputu
accuracy	saʻo
accurate	saʻo
accursed	faʻasalaina
accusation	tuuaiga
accusative	tuuai
accuse	molia
accused	tuuaia
accuser	tagata molia
accusing	molia
accustomed	masani
ace	ace
acetic	vailaau
acetylene	acetylene
ache	maʻi
achieve	ausia
achieved	ausia
achievement	ausia
aching	mafatia
achy	au
acid	gaʻo
acidity	malosi
acknowledge	faailoa
acknowledged	faailoaina
acknowledgement	faʻaaloalo
acknowledgment	faʻaaloalo
acme	faʻamalosi
acne	siama
acorn	moa
acoustic	acoustic
acoustics	acoustics
acquaint	masani
acquaintance	masani
acquainted	masani
acquiescence	faʻamaoniga
acquire	maua
acquiring	mauaina
acquisition	mauaina
acquisitions	faʻatau
acquit	faʻamaonia
acquittal	faʻasao
acre	eka
acreage	fanua
acres	eka
acrobat	faʻataʻitaʻiga
acrylic	acrylic
act	galue
acting	galue
action	taga
action figure	fua faʻatatau
actionable	faʻataʻitaʻi
activate	faʻaagaoioia
activation	faatoaagaina
active	malosi
activist	tagata gaoioi
activity	gaoioiga
actor	tagata fai taga
actress	tagata fai pese
actual	moni
actuality	moni
actuary	tagata poto faapitoa i mea tau tupe
acuity	fanua
acumen	acumen
acupuncture	acupuncture
acute	aute
acutely	matua
ad	ad
adage	taufaaleaga
adamant	mataʻutia
adapt	fetuunai
adaptable	fetuunai
adaptation	fetuunaiga
add	faʻaopoopo
added	faaopoopo
addendum	faʻaopoopoga
adder	mea faʻapipiʻi
addict	vaisu
addicted	vaisu
addiction	vaisu
addictive	vaisu
addition	faʻaopoopoga
additional	faʻaopoopoga
additive	faʻaopoopoga
address	tuatusi
addressee	tagata faʻatau
addresses	tuatusi
adept	tagata atamai
adequacy	le lava
adequate	lava
adhere	tausisia
adherence	pipii
adherent	tausisia
adhering	pipii
adhesion	taliga
adhesive	pipii
adieu	adieu
adipose	faʻalelei
adjacency	faʻatatau
adjacent	lata ane
adjective	faʻaaliga
adjoining	latalata ane
adjourn	tolopo
adjournment	tolopoina
adjudicate	faamasinoina
adjudication	faamasinoga
adjunct	fetuunai
adjust	fetuunai
adjuster	fetuunaiga
adjustment	fetuunaiga
adjuvant	adjuvant
admin	pule
administer	faafoe
administration	pulega
administrative	pulega
administrator	pule
admirable	faamemelo
admiral	talifiami
admiralty	talisapaia
admiration	faamemelo
admire	faamemelo
admired	faamemelo
admirer	faamemelo
admiring	faamemelo
