Word	lb
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	erbäermlech sinn
abacus	Abaco
abalone	Abalone
abandon	opzeginn
abandoned	verloossen
abandonment	Opruff
abashed	Trikot
abate	ze schwätzen
abatement	Verréngerung
abba	abba
abbey	Abtei
abbot	NO TRANSLATION
abbreviate	Ofkiirzung
abbreviation	Ofkierzung
abdomen	Bauch
abdominal	Bauch
abduct	entfalen
abduction	entlooss
aberrant	iwwerflësseg
aberration	Aberratioun
abeyance	bliwwen
abhor	genug
abhorrence	Aborrence
abhorrent	ongënschteg sinn
abide	bleiwe kann
abiding	bleift
ability	Fäegkeet
abject	abezuelen
ablation	Ablation
ablaze	Äerdbiewen
able	fäeg sinn
abnormal	anormal
abnormality	Anomalie
aboard	onopfëllen
abode	wunnen
abolish	ofschafen
abolition	Ofschaaffung
abominable	onberechenbar
abominate	Abominat
abomination	Abominatioun
aboriginal	ursprénglech
abort	ofbriechen
abortion	Ofdreiwung
abortive	ofgebrach
abound	eriwwer
abovementioned	ugesat gëtt
abracadabra	abracadabra
abrasion	ofwaarden
abrasive	rau
abreast	mateneen
abroad	am Ausland
abrogate	ofzesetzen
abrupt	esoueng brutal
abruptly	schloofen
abscess	Abszess
absence	Fannt
absent	net ofginn
absentee	Avantage
absenteeism	Falen
absinthe	Absinth
absolute	absolutt sinn
absolution	'Absolutioun
absolve	ausgoen
absorb	absorbéieren
absorbed	absorbéiert sinn
absorbent	absorbéiere sinn
absorbing	absorbéieren
absorption	Absorptioun
abstain	ze abstanen
abstention	Enthalung
abstinence	Abstinenz
abstract	abstrakt
abstraction	Abstraktioun
absurd	absurd
absurdity	Absurdecht
abundance	gefloss ass
abundant	reich
abuse	Mëssbrauch
abused	mëssbraucht gëtt
abusive	erbäigezunn
abutment	erwaart
aby	NO TRANSLATION
abysmal	onheemlech
abyss	Abéierungsplang
academic	akademesch
academy	Futtballschoul
accede	uginn
accelerant	accelerant sinn
accelerate	beschleunegen
accelerated	beschleunegt ginn
acceleration	beschleunegen
accelerator	Beschleuniger
accent	Akzent
accentuate	ze ginn
accept	akzeptéieren
acceptable	akzeptabel ass
acceptance	Akzeptanz
acceptances	Akzeptatioun
access	Zougang
accessible	accessibel sinn
accession	Bäitrëtt
accessory	Accessoir
accident	Accident
accidental	zoufälleg
accidentally	zoufälleg
acclaim	uginn
accolade	accolade
accommodate	aménagéieren
accommodation	Ënnerkonft
accompaniment	Begleedung
accompany	begleeden
accompanying	begleeden
accomplice	Komplott
accomplish	erreechen
accomplished	erfëllt
accomplishment	erreechen
accord	Accord
accordance	konform
accordion	Akkordeon
account	Kont
accountability	Rechenschaftspflicht
accountable	verantwortlech
accountant	Comptabel
accounting	Comptabilitéit
accounts	Konten
accredited	accredited
accretion	Accretioun
accrue	zousätzlech
accueil	NO TRANSLATION
accumulate	akkumuléieren
accumulation	akkumuléieren
accuracy	Genauegkeet
accurate	genee sinn
accursed	verfloss wier
accusation	Beschuldigung
accusative	Akkusativ
accuse	zouzedrécken
accused	beschëllegt
accuser	Accuser
accusing	kierpert
accustomed	gewinnt sinn
ace	ace
acetic	opgeriicht
acetylene	Acetylen
ache	Schëlleren
achieve	ze erreechen
achieved	erreecht gëtt
achievement	Leeschtung
aching	Schued
achy	achi
acid	Sauer
acidity	Aciditéit
acknowledge	unzeerkennen
acknowledged	unerkannt
acknowledgement	Unerkennung
acknowledgment	Unerkennung
acme	Akme
acne	Akne
acorn	Ecke
acoustic	akustesch sinn
acoustics	Akustik
acquaint	kennen
acquaintance	Bekannten
acquainted	lieweg ginn
acquiescence	erfëllt
acquire	ze kréien
acquiring	Kaf huelen
acquisition	Acquisitioun
acquisitions	Acquisitioune
acquit	ze kréien
acquittal	erakommen
acre	Hektar
acreage	Héichplateau
acres	acres
acrobat	Akrobat
acrylic	Acryl
act	handelen
acting	ze handelen
action	Aktioun
action figure	Aktioun
actionable	ze machbar
activate	aktivéieren
activation	Aktivatioun
active	aktiv
activist	aktiv war
activity	Aktivitéit
actor	Schauspiller
actress	Schauspillerin
actual	iwwerhaapt
actuality	Realitéit
actuary	ageriicht
acuity	Akut
acumen	Akomenter
acupuncture	Akupunktur
acute	akut
acutely	akut
ad	ad
adage	Adage
adamant	bedéngt
adapt	adaptéieren
adaptable	adaptéierbar sinn
adaptation	Adaptatioun
add	dobäisetzen
added	derbäi
addendum	addendum
adder	Adder
addict	Sucht
addicted	süchteg sinn
addiction	Sucht
addictive	Sucht
addition	zousätzlech
additional	zousätzlech
additive	Zousatz
address	Adress
addressee	schécken
addresses	Adressen
adept	adept
adequacy	adequat
adequate	adäquat
adhere	unhänken
adherence	adherenz
adherent	adherent
adhering	verflicht
adhesion	Adhesioun
adhesive	Klebstoff
adieu	adieu
adipose	Fett
adjacency	Noperschaft
adjacent	ugrenzend sinn
adjective	Adjektiv
adjoining	vgl
adjourn	notzen
adjournment	Versuergement
adjudicate	ze décidéieren
adjudication	Déklaratioun
adjunct	Zousaz
adjust	z'erreechen
adjuster	ze regelen
adjustment	Upassung
adjuvant	Adjuvans
