Word	sd
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	عمارتون
aback	بي پناهه
abacus	عباسي
abalone	ابڙو
abandon	کلون
abandoned	ڇڏيو ويو
abandonment	ڇڏيل
abashed	ڀڄي ويو
abate	قسمت
abatement	ٽرانس
abba	ابا
abbey	ابوبڪر
abbot	NO TRANSLATION
abbreviate	مختصر
abbreviation	مختصر نالو
abdomen	پيٽ
abdominal	ڦيرايو
abduct	اغوا
abduction	اغوا
aberrant	افطار
aberration	وجوهات
abeyance	احسان
abhor	ابڙو
abhorrence	ابوبڪر
abhorrent	حيرت انگيز
abide	سدائين رهڻ
abiding	سدائين رھندي
ability	قابليت
abject	منسوب
ablation	ڦيري
ablaze	اڪيلو
able	لائق نه آهي
abnormal	غير معمولي
abnormality	غير معمولي
aboard	سمنڊ ۾
abode	جاء
abolish	ختم ڪرڻ
abolition	تڪرار
abominable	ڦوٽو آهي
abominate	ڦيٽو
abomination	نفرت
aboriginal	اصلي
abort	معافي ڏيندڙ
abortion	بدنام
abortive	حيرت انگيز
abound	گهرو
abovementioned	مٿي ڄاڻايل
abracadabra	ابوطالب
abrasion	گھڙندو
abrasive	خوفناڪ
abreast	ناڻو
abroad	ملڪ ۾
abrogate	معافي ڏيندڙ
abrupt	ڀريل
abruptly	بيحد آهي
abscess	غير نصابي
absence	غير موجودگي
absent	غير حاضر
absentee	غير حاضر
absenteeism	غير حاضري
absinthe	غائب
absolute	مطلق
absolution	نظريا
absolve	absolve
absorb	جذباتي
absorbed	جذباتي
absorbent	جذباتي
absorbing	جذباتي
absorption	جذباتي
abstain	نڀاڳ
abstention	نڀاڳ
abstinence	ابديس
abstract	خلاص آهي
abstraction	ڌنڌو
absurd	غائب
absurdity	غير حاضرگي
abundance	اڪثريت
abundant	وڏي پئماني تي
abuse	غلطي
abused	بدڪار
abusive	غير انساني
abutment	بيوقوف
aby	NO TRANSLATION
abysmal	عضويب آهي
abyss	حامي
academic	تعليمي
academy	اڪيڊميڊ
accede	گهڙندو
accelerant	تڪڙو
accelerate	تڪڙو
accelerated	تڪڙو
acceleration	تڪليف
accelerator	تيز ڪندڙ
accent	تلفظ
accentuate	ڌيان ڏيڻ
accept	قبول ڪيو
acceptable	قبول نه ٿيو
acceptance	قبوليت
acceptances	قبوليت
access	رسائي
accessible	رسائي
accession	رسائي
accessory	رسائي
accident	حادثا
accidental	حادثي
accidentally	حادثي طور تي
acclaim	اقليمي
accolade	تعصب
accommodate	استحڪام
accommodation	رهائش
accompaniment	گڏوگڏ
accompany	سان گڏ
accompanying	سان گڏ
accomplice	سهڪار
accomplish	ڪامياب
accomplished	ڪامياب
accomplishment	ڪاميابي
accord	اتفاق
accordance	مطابق
accordion	اتفاق
account	اڪائونٽ
accountability	احتساب
accountable	اڪائونٽبل
accountant	اڪاؤنٽ
accounting	اڪائونٽنگ
accounts	اڪائونٽ
accredited	اعتبار سان
accretion	تڪليف
accrue	تياريون
accueil	NO TRANSLATION
accumulate	جمع ڪرائڻ
accumulation	جمع
accuracy	صداقت
accurate	صحيح
accursed	تي لعنت ڪئي وئي
accusation	الزام
accusative	الزام
accuse	الزام
accused	الزام
accuser	الزام
accusing	الزام لڳائڻ
accustomed	عادي
ace	ا
acetic	اڻڄاتل
acetylene	ايٿليبل
ache	اهن
achieve	حاصل ڪرڻ
achieved	حاصل ڪيو
achievement	ڪاميابي
aching	درد
achy	اڪيلي
acid	هڪڙو
acidity	امل
acknowledge	تسليم ڪيو
acknowledged	قبول ڪيو
acknowledgement	تسليم
acknowledgment	تسليم
acme	ايڪي
acne	نڀاڳو
acorn	ننڍڙو
acoustic	صوفاتي
acoustics	صوتيات
acquaint	واقف ٿيو
acquaintance	واقفيت
acquainted	واقف ٿيو
acquiescence	خوشگوار
acquire	حاصل ڪيو
acquiring	حاصل ڪرڻ
acquisition	حاصل ڪرڻ
acquisitions	حاصلات
acquit	حاصل ڪرڻ
acquittal	واقف
acre	ايڪڙ
acreage	ايجاد
acres	ايڪڙ
acrobat	ايڪوٽٽ
acrylic	هڪڪيل
act	عمل
acting	عمل
action	عمل
action figure	ڪارڪردگي جي لحاظ کان
actionable	قابل عمل
activate	چالو ڪيو
activation	چالو
active	چالو
activist	ڪارڪن
activity	سرگرمي
actor	اداڪار
actress	اداڪار
actual	اصل
actuality	عمل
actuary	عمل
acuity	ايڪو
acumen	ٻڏڻ
acupuncture	ايڪوپنڪچر
acute	غلط
acutely	بلڪل
ad	اشتهار
adage	عادل
adamant	ڄاڻي ٿو
adapt	ٺاهي
adaptable	مناسب آهي
adaptation	موافقت
add	شامل ڪيو
added	شامل ڪيو
addendum	اضافو
adder	ايڊڊر
addict	تڪرار
addicted	عادي آهي
addiction	نوڪري
addictive	وڌائڻ
addition	ان کان سواء
additional	اضافي
additive	اضافو
address	ايڊريس
addressee	ايڊريس
addresses	ايڊريس
adept	مشڪل آهي
adequacy	مناسب
adequate	مناسب
adhere	پيروي
adherence	تعريف
adherent	پسنديده
adhering	نصيحت وٺندو
adhesion	ٿڌڻ
adhesive	ٿڪڻ
