Word	is
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	jarðvegur
aback	óvart
abacus	abacus
abalone	abalone
abandon	yfirgefa
abandoned	yfirgefinn
abandonment	yfirgefa
abashed	abashed
abate	afnema
abatement	lækkun
abba	abba
abbey	klaustur
abbot	NO TRANSLATION
abbreviate	skammstafað
abbreviation	skammstöfun
abdomen	kvið
abdominal	kvið
abduct	afnema
abduction	brottnám
aberrant	aberrant
aberration	aberration
abeyance	abeyance
abhor	abhor
abhorrence	abhorrence
abhorrent	abhorrent
abide	halda áfram
abiding	ævarandi
ability	hæfni
abject	abject
ablation	ablation
ablaze	bölvun
able	fær
abnormal	óeðlilegt
abnormality	óeðlilegt
aboard	um borð
abode	búsetu
abolish	afnema
abolition	afnám
abominable	svívirðilegt
abominate	gnæfa
abomination	gnægð
aboriginal	frumbyggja
abort	afnema
abortion	fóstureyðingu
abortive	abortive
abound	í miklu magni
abovementioned	fyrrnefndur
abracadabra	abracadabra
abrasion	núningi
abrasive	slípiefni
abreast	í lagi
abroad	erlendis
abrogate	afnema
abrupt	skyndilega
abruptly	skyndilega
abscess	abscess
absence	fjarveru
absent	fjarverandi
absentee	fjarverandi
absenteeism	fjarvistir
absinthe	absinthe
absolute	alger
absolution	upplausn
absolve	absolve
absorb	gleypa
absorbed	frásogast
absorbent	gleypið
absorbing	hrífandi
absorption	frásog
abstain	afstýra
abstention	ógildingu
abstinence	fráhvarf
abstract	abstrakt
abstraction	abstrakt
absurd	fáránlegt
absurdity	fáránlegt
abundance	gnægð
abundant	nóg
abuse	misnotkun
abused	misnotuð
abusive	Ofbeldisfull
abutment	abutment
aby	NO TRANSLATION
abysmal	óþarfur
abyss	hyldýpi
academic	fræðileg
academy	Háskóli
accede	komast að
accelerant	accelerant
accelerate	hraða
accelerated	flýtti
acceleration	hröðun
accelerator	eldsneytisgjöf
accent	hreim
accentuate	leggja áherslu á
accept	samþykkja
acceptable	viðunandi
acceptance	samþykki
acceptances	samþykki
access	aðgang
accessible	aðgengileg
accession	aðild
accessory	aukabúnaður
accident	slys
accidental	fyrir slysni
accidentally	fyrir slysni
acclaim	lof
accolade	hrós
accommodate	mæta
accommodation	húsnæði
accompaniment	undirleik
accompany	fylgja
accompanying	í fylgd með
accomplice	vitorðsmaður
accomplish	ná
accomplished	náð
accomplishment	afrek
accord	samkomulagi
accordance	samræmi
accordion	harmónikur
account	reikningur
accountability	ábyrgð
accountable	ábyrgur
accountant	endurskoðandi
accounting	bókhald
accounts	reikningar
accredited	viðurkennd
accretion	accretion
accrue	safna saman
accueil	NO TRANSLATION
accumulate	safnast saman
accumulation	uppsöfnun
accuracy	nákvæmni
accurate	nákvæmur
accursed	bölvaður
accusation	ásakanir
accusative	accusative
accuse	ákæra
accused	sakaður
accuser	ákærandi
accusing	ásakandi
accustomed	vanir
ace	Ás
acetic	ediksýra
acetylene	asetýlen
ache	verkur
achieve	ná
achieved	náð
achievement	afrek
aching	verkir
achy	achy
acid	sýru
acidity	sýrustig
acknowledge	viðurkenna
acknowledged	viðurkennt
acknowledgement	staðfesting
acknowledgment	staðfesting
acme	acme
acne	unglingabólur
acorn	acorn
acoustic	hljóðeinangrun
acoustics	hljóðeinangrun
acquaint	kynnast
acquaintance	kunningi
acquainted	kynnt
acquiescence	samkynhneigð
acquire	eignast
acquiring	öðlast
acquisition	kaup
acquisitions	yfirtökur
acquit	frelsa
acquittal	fagnaðarerindið
acre	ekrur
acreage	svæði
acres	hektara
acrobat	acrobat
acrylic	akríl
act	athöfn
acting	starfa
action	aðgerð
action figure	ofurhetja
actionable	virkjanlegt
activate	virkja
activation	virkjun
active	virkur
activist	aðgerðasinnar
activity	virkni
actor	leikari
actress	leikkona
actual	raunveruleg
actuality	virkni
actuary	tryggingafélagi
acuity	skerpu
acumen	acumen
acupuncture	nálastungumeðferð
acute	bráð
acutely	bráðlega
ad	auglýsing
adage	adage
adamant	adamant
adapt	aðlagast
adaptable	aðlögunarhæfni
adaptation	aðlögun
add	Bæta við
added	bætt við
addendum	viðbót
adder	adder
addict	fíkill
addicted	háður
addiction	fíkn
addictive	ávanabindandi
addition	viðbót
additional	viðbótar
additive	aukefni
address	heimilisfang
addressee	viðtakandi
addresses	heimilisföng
adept	Adept
adequacy	fullnægjandi
adequate	fullnægjandi
adhere	fylgja
adherence	fylgja
adherent	viðhengi
adhering	fylgi
adhesion	viðloðun
adhesive	lím
adieu	adieu
adipose	fitu
adjacency	adjacency
adjacent	aðliggjandi
adjective	lýsingarorð
adjoining	samliggjandi
adjourn	frestað
adjournment	frestun
adjudicate	dæma
adjudication	dómgreind
adjunct	aðstoðarmaður
adjust	stilla
adjuster	stilla
adjustment	aðlögun
adjuvant	hjálparefni
admin	admin
administer	gefa
administration	gjöf
administrative	stjórnsýslu
administrator	stjórnandi
admirable	dásamlegt
admiral	Admiral
admiralty	aðdáun
admiration	aðdáun
admire	dáist
admired	dáðist
admirer	aðdáandi
admiring	dáist
admissibility	aðgengileg
admissible	leyfilegt
admission	inngöngu
admit	viðurkenna
admittance	inngöngu
