Word	ur
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	حفاظت کی بابت مزید جانیں
aback	aback
abacus	abacus
abalone	ابلون
abandon	چھوڑ دو
abandoned	ترک کر دیا
abandonment	دستبرداری
abashed	ٹوٹا ہوا
abate	ہمت
abatement	بے شمار
abba	ابا
abbey	abbey
abbot	NO TRANSLATION
abbreviate	مختصر
abbreviation	مخفف
abdomen	پیٹ
abdominal	پیٹ
abduct	اغوا
abduction	اغوا
aberrant	الوداع
aberration	ابلاغ
abeyance	ہمت
abhor	ابھر
abhorrence	پریشانی
abhorrent	پرجوش
abide	رہو
abiding	رہنا
ability	صلاحیت
abject	منسوخ کریں
ablation	غفلت
ablaze	ابلاغ
able	قابل
abnormal	غیر معمولی
abnormality	غیر معمولی
aboard	ہموار
abode	رہائش
abolish	ختم
abolition	خاتمہ
abominable	بدمعاش
abominate	نفرت کرو
abomination	نفرت
aboriginal	اصلی
abort	بند کرو
abortion	ہراساں کرنا
abortive	بدقسمتی
abound	آس پاس
abovementioned	مذکورہ بالا
abracadabra	NO TRANSLATION
abrasion	گھاس
abrasive	کھرچنے
abreast	abreast
abroad	بیرون ملک
abrogate	پریشان
abrupt	اچانک
abruptly	بے شک
abscess	غفلت
absence	عدم موجودگی
absent	غیر حاضر
absentee	غیر حاضر
absenteeism	غیر حاضری
absinthe	غائب
absolute	مطلق
absolution	غفلت
absolve	مطلق
absorb	جذب
absorbed	جذب
absorbent	جذباتی
absorbing	جذباتی
absorption	جذب
abstain	خلاصہ
abstention	abstention
abstinence	بے شمار
abstract	خلاصہ
abstraction	تجری
absurd	مضحکہ خیز
absurdity	غفلت
abundance	کثرت
abundant	بہت زیادہ
abuse	بدسلوکی
abused	زیادتی
abusive	بدسلوکی
abutment	بدلہ
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	تعلیمی
academy	اکیڈمی
accede	اتفاق
accelerant	تیزی سے
accelerate	تیز
accelerated	تیز
acceleration	تیز رفتار
accelerator	تیز رفتار
accent	تلفظ
accentuate	تلفظ
accept	قبول کرو
acceptable	قابل قبول
acceptance	قبولیت
acceptances	قبولیاں
access	رسائی
accessible	قابل رسائی
accession	رسائی
accessory	آلات
accident	حادثہ
accidental	حادثاتی
accidentally	غلطی سے
acclaim	تعریف
accolade	آلودہ
accommodate	ایڈجسٹ کریں
accommodation	رہائش
accompaniment	کے ساتھ
accompany	ساتھ
accompanying	ساتھ
accomplice	شراکت
accomplish	پورا
accomplished	کامیاب
accomplishment	کامیابی
accord	معاہدہ
accordance	مطابق
accordion	accordion
account	اکاؤنٹ
accountability	احتساب
accountable	جوابدہ
accountant	اکاؤنٹنٹ
accounting	اکاؤنٹنگ
accounts	اکاؤنٹس
accredited	معتبر
accretion	اقرار
accrue	جمع
accueil	NO TRANSLATION
accumulate	جمع
accumulation	جمع
accuracy	درستگی
accurate	درست
accursed	لعنت
accusation	الزام
accusative	الزامات
accuse	الزام لگایا
accused	الزام لگایا
accuser	الزام لگایا
accusing	الزام لگایا
accustomed	عادی
ace	اککا
acetic	acetic
acetylene	ایکسلیٹین
ache	آہستہ آہستہ
achieve	حاصل کریں
achieved	حاصل کیا
achievement	کامیابی
aching	درد
achy	achy
acid	ایسڈ
acidity	تیزاب
acknowledge	تسلیم
acknowledged	اعتراف کیا
acknowledgement	اعتراف
acknowledgment	اعتراف
acme	acme
acne	مںہاسی
acorn	acorn
acoustic	دونک
acoustics	صوتی
acquaint	واقف
acquaintance	واقف
acquainted	واقف
acquiescence	خوشگوار
acquire	حاصل
acquiring	حاصل کرنا
acquisition	حصول
acquisitions	حصول
acquit	حاصل کرنا
acquittal	واقف
acre	ایکڑ
acreage	اکریج
acres	ایکڑ
acrobat	ایکروبیٹ
acrylic	اکیلکس
act	عمل کریں
acting	اداکاری
action	عمل
action figure	کارروائی کے اعداد و شمار
actionable	کارروائی کی
activate	چالو کریں
activation	چالو
active	فعال
activist	کارکن
activity	سرگرمی
actor	اداکار
actress	اداکارہ
actual	اصل
actuality	حقیقت
actuary	اداکارہ
acuity	ایکوئٹی
acumen	اکیلے
acupuncture	ایکیوپنکچر
acute	تیز
acutely	تیزی سے
ad	اشتھار
adage	عاجز
adamant	خوشگوار
adapt	اپنانے
adaptable	قابل اطلاق
adaptation	موافقت
add	شامل کریں
added	شامل
addendum	اضافہ
adder	ایڈڈر
addict	رواداری
addicted	عدد
addiction	لت
addictive	لت
addition	اس کے علاوہ
additional	اضافی
additive	اضافی
address	پتہ
addressee	ایڈریس
addresses	پتے
adept	ماہر
adequacy	کافی
adequate	کافی
adhere	عمل کرنا
adherence	عمل
adherent	اطاعت
adhering	عمل کرنا
adhesion	چپکنے والی
adhesive	چپکنے والی
adieu	ایڈی
adipose	مشق
adjacency	ملحقہ
adjacent	قریب
adjective	صفت
adjoining	ملحق
adjourn	اختتام
adjournment	اختتام
adjudicate	فیصلہ کرنا
adjudication	فیصلہ
adjunct	ملحقہ
adjust	ایڈجسٹ کریں
adjuster	ایڈجسٹٹر
adjustment	ایڈجسٹمنٹ
