Word	ka
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	აარვარვაკი
aback	aback
abacus	აბაკუსი
abalone	abalone
abandon	უარი თქე
abandoned	მიტოვებული
abandonment	მიტოვება
abashed	შეურაცხყოფა
abate	შეჩერდება
abatement	შეჩერება
abba	აბბა
abbey	აბიმე
abbot	NO TRANSLATION
abbreviate	მოკლე
abbreviation	აბრევიატურა
abdomen	მუცელი
abdominal	მუცლის ღრუს
abduct	გატაცება
abduction	გატაცება
aberrant	aberrant
aberration	შეცდომა
abeyance	მიტოვება
abhor	ბოროტი
abhorrence	ბოროტება
abhorrent	უკმაყოფილო
abide	დაიცვან
abiding	მდგრადობა
ability	უნარი
abject	abject
ablation	აბლაცია
ablaze	აბლაზმა
able	შეუძლია
abnormal	არანორმალური
abnormality	abnormality
aboard	ბორტზე
abode	ცხოვრობს
abolish	გააუქმოს
abolition	გაუქმება
abominable	abominable
abominate	abominate
abomination	უმსგავსოება
aboriginal	აბორიგენული
abort	გაუქმება
abortion	აბორტი
abortive	შეწყვეტა
abound	abound
abovementioned	როგორც უკვე ავღნიშნე
abracadabra	აბრაკადაბრა
abrasion	აბრაზიას
abrasive	აბრაზიული
abreast	ინფორმირება
abroad	საზღვარგარეთ
abrogate	გაუქმება
abrupt	მკვეთრი
abruptly	მოულოდნელად
abscess	აბსცესი
absence	არარსებობა
absent	არდამსწრე
absentee	არყოფნა
absenteeism	absenteeism
absinthe	აბსენტი
absolute	აბსოლუტური
absolution	absolution
absolve	სრულად
absorb	აღიქვას
absorbed	შეიწოვება
absorbent	შთამნთქმელი
absorbing	შთამნთქმელი
absorption	შთანთქმის
abstain	თავი შეიკავონ
abstention	თავი შეიკავა
abstinence	abstinence
abstract	აბსტრაქტული
abstraction	აბსტრაქცია
absurd	აბსურდული
absurdity	აბსურდული
abundance	სიუხვე
abundant	უხვი
abuse	ბოროტად
abused	შეურაცხყოფა
abusive	შეურაცხმყოფელი
abutment	abutment
aby	NO TRANSLATION
abysmal	abysmal
abyss	უფსკრულს
academic	აკადემიური
academy	აკადემია
accede	მიერთება
accelerant	დაჩქარება
accelerate	დააჩქაროს
accelerated	დაჩქარდა
acceleration	დაჩქარება
accelerator	ამაჩქარებელი
accent	აქცენტი
accentuate	აქცენტირება
accept	მიიღოს
acceptable	მისაღებია
acceptance	მიღება
acceptances	მიღება
access	ხელმისაწვდომობა
accessible	ხელმისაწვდომი
accession	მიერთება
accessory	აქსესუარი
accident	უბედური შემთხვევა
accidental	შემთხვევითი
accidentally	შემთხვევით
acclaim	აღიარება
accolade	accolade
accommodate	განთავსება
accommodation	საცხოვრებელი ფართი
accompaniment	თანხლებით
accompany	ერთად
accompanying	კომპანიის გაწევა
accomplice	თანამონაწილე
accomplish	განახორციელოს
accomplished	დასრულდა
accomplishment	კეთილმოწყობა
accord	ა
accordance	შესაბამისად
accordion	აკორდეონი
account	ანგარიში
accountability	ანგარიშვალდებულება
accountable	ანგარიშვალდებული
accountant	ბუღალტერი
accounting	აღრიცხვა
accounts	ანგარიშები
accredited	აკრედიტირებული
accretion	აკრედიტაცია
accrue	დარიცხვა
accueil	NO TRANSLATION
accumulate	დაგროვება
accumulation	დაგროვება
accuracy	სიზუსტე
accurate	ზუსტი
accursed	შეჭამეს
accusation	ბრალდება
accusative	accusative
accuse	ადანაშაულებენ
accused	დაადანაშაულა
accuser	დამნაშავე
accusing	დაადანაშაულეს
accustomed	მიჩვეული
ace	ace
acetic	აცეტიკური
acetylene	აცეტილენი
ache	ტკივილი
achieve	მიღწევა
achieved	მიღწეული
achievement	მიღწევა
aching	აჩრდილი
achy	achy
acid	მჟავა
acidity	მჟავიანობა
acknowledge	აღიარებთ
acknowledged	აღიარა
acknowledgement	აღიარება
acknowledgment	აღიარება
acme	აკმ
acne	აკნე
acorn	რკო
acoustic	აკუსტიკური
acoustics	აკუსტიკა
acquaint	გაცნობა
acquaintance	გაცნობა
acquainted	გაეცნო
acquiescence	თანხმობა
acquire	შეიძინოს
acquiring	იძენს
acquisition	შეძენა
acquisitions	შეძენა
acquit	გათავისუფლება
acquittal	გამამართლებელი განაჩენი
acre	acre
acreage	acreage
acres	ჰექტარი
acrobat	აკრობატული
acrylic	აკრილის
act	იმოქმედოს
acting	მოქმედება
action	აქცია
action figure	სამოქმედო ფიგურა
actionable	actionable
activate	გააქტიურება
activation	გააქტიურება
active	აქტიური
activist	აქტივისტი
activity	საქმიანობა
actor	მსახიობი
actress	მსახიობი
actual	ფაქტობრივი
actuality	აქტუალობა
actuary	აქტიური
acuity	სიჯიუტე
acumen	აკუმულაცია
acupuncture	acupuncture
acute	მწვავე
acutely	მწვავე
ad	რეკლამა
adage	adage
adamant	დარწმუნებულია
adapt	ადაპტირება
adaptable	ადაპტირებადი
adaptation	ადაპტაცია
add	დაამატეთ
added	დამატებული
addendum	დანამატი
adder	დამტენი
addict	დამოკიდებული
addicted	ნარკომანი
addiction	დამოკიდებულება
addictive	ნარკოტიკული
addition	გარდა ამისა
additional	დამატებითი
additive	დანამატი
address	მისამართი
