Word	kn
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	ಆಡ್ವಾರ್ಕ್
aback	aback
abacus	ಅಬ್ಯಾಕಸ್
abalone	ಅಬಲೋನ್
abandon	ತ್ಯಜಿಸಿ
abandoned	ಕೈಬಿಡಲಾಗಿದೆ
abandonment	ಪರಿತ್ಯಾಗ
abashed	abashed
abate	ಕ್ಷೀಣಿಸು
abatement	ತಗ್ಗಿಸುವಿಕೆ
abba	ಅಬ್ಬಾ
abbey	ಅಬ್ಬೆ
abbot	NO TRANSLATION
abbreviate	ಸಂಕ್ಷೇಪಿಸು
abbreviation	ಸಂಕ್ಷೇಪಣ
abdomen	ಹೊಟ್ಟೆ
abdominal	ಕಿಬ್ಬೊಟ್ಟೆಯ
abduct	ಅಪಹರಣ
abduction	ಅಪಹರಣ
aberrant	ದೌರ್ಜನ್ಯ
aberration	ವಿಪಥನ
abeyance	ಅಮಾನತ್ತು
abhor	ಅಸಹ್ಯ
abhorrence	ಅಸಹ್ಯ
abhorrent	ಅಸಹ್ಯ
abide	ಬದ್ಧವಾಗಿರಲು
abiding	ಪಾಲಿಸುವ
ability	ಸಾಮರ್ಥ್ಯ
abject	ಅಸಹ್ಯ
ablation	ಕ್ಷಯಿಸುವಿಕೆ
ablaze	ಹೊಳಪು
able	ಸಾಧ್ಯವಾಯಿತು
abnormal	ಅಸಹಜ
abnormality	ಅಸಹಜತೆ
aboard	ವಿಮಾನದಲ್ಲಿ
abode	ವಾಸಸ್ಥಾನ
abolish	ನಿರ್ಮೂಲನೆ
abolition	ನಿರ್ಮೂಲನೆ
abominable	ಅಸಹ್ಯ
abominate	ಅಸಹ್ಯ
abomination	ಅಬೊಮಿನೇಷನ್
aboriginal	ಮೂಲನಿವಾಸಿ
abort	ಸ್ಥಗಿತಗೊಳಿಸು
abortion	ಗರ್ಭಪಾತ
abortive	ಸ್ಥಗಿತಗೊಳಿಸು
abound	ವಿಪುಲವಾಗಿವೆ
abovementioned	ಮೇಲೆ ತಿಳಿಸಿದ
abracadabra	ಅಬ್ರಕಾಡಬ್ರಾ
abrasion	ಸವೆತ
abrasive	ಅಪಘರ್ಷಕ
abreast	ಪಕ್ಕಪಕ್ಕದಲ್ಲಿ
abroad	ವಿದೇಶದಲ್ಲಿ
abrogate	ದುರ್ಬಲಗೊಳಿಸು
abrupt	ಹಠಾತ್
abruptly	ಥಟ್ಟನೆ
abscess	ಬಾವು
absence	ಅನುಪಸ್ಥಿತಿಯಲ್ಲಿ
absent	ಗೈರು
absentee	ಅನುಪಸ್ಥಿತಿಯಲ್ಲಿ
absenteeism	ಗೈರುಹಾಜರಿಯಿಲ್ಲ
absinthe	ಅಬ್ಸಿಂತೆ
absolute	ಸಂಪೂರ್ಣ
absolution	ವಿಕಸನ
absolve	ನಿವಾರಿಸು
absorb	ಹೀರಿಕೊಳ್ಳುತ್ತದೆ
absorbed	ಹೀರಿಕೊಳ್ಳಲಾಗಿದೆ
absorbent	ಹೀರಿಕೊಳ್ಳುವ
absorbing	ಹೀರಿಕೊಳ್ಳುವ
absorption	ಹೀರಿಕೊಳ್ಳುವಿಕೆ
abstain	ದೂರವಿರಿ
abstention	ತಿರಸ್ಕಾರ
abstinence	ಇಂದ್ರಿಯನಿಗ್ರಹವು
abstract	ಅಮೂರ್ತ
abstraction	ಅಮೂರ್ತತೆ
absurd	ಅಸಂಬದ್ಧ
absurdity	ಅಸಂಬದ್ಧತೆ
abundance	ಹೇರಳವಾಗಿ
abundant	ಹೇರಳವಾಗಿ
abuse	ನಿಂದನೆ
abused	ನಿಂದನೆ
abusive	ನಿಂದನೀಯ
abutment	ತಗ್ಗಿಸುವಿಕೆ
aby	NO TRANSLATION
abysmal	ಅಸಹ್ಯ
abyss	ಪ್ರಪಾತ
academic	ಶೈಕ್ಷಣಿಕ
academy	ಅಕಾಡೆಮಿ
accede	ಒಪ್ಪಿಕೊಳ್ಳಿ
accelerant	ವೇಗವರ್ಧಕ
accelerate	ವೇಗವನ್ನು
accelerated	ವೇಗವರ್ಧಿತ
acceleration	ವೇಗವರ್ಧನೆ
accelerator	ವೇಗವರ್ಧಕ
accent	ಉಚ್ಚಾರಣೆ
accentuate	ಎದ್ದುಕಾಣಿಸು
accept	ಸ್ವೀಕರಿಸಿ
acceptable	ಸ್ವೀಕಾರಾರ್ಹ
acceptance	ಸ್ವೀಕಾರ
acceptances	ಸ್ವೀಕಾರಗಳು
access	ಪ್ರವೇಶ
accessible	ಪ್ರವೇಶಿಸಬಹುದು
accession	ಪ್ರವೇಶ
accessory	ಸಹಾಯಕ
accident	ಅಪಘಾತ
accidental	ಆಕಸ್ಮಿಕ
accidentally	ಆಕಸ್ಮಿಕವಾಗಿ
acclaim	ಪ್ರಶಂಸೆ
accolade	ಪುರಸ್ಕಾರ
accommodate	ಸರಿಹೊಂದಿಸು
accommodation	ಸೌಕರ್ಯಗಳು
accompaniment	ಪಕ್ಕವಾದ್ಯ
accompany	ಜೊತೆಯಲ್ಲಿ
accompanying	ಜೊತೆಯಲ್ಲಿ
