Word	su
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abacus
abalone	abalone
abandon	ninggalkeun
abandoned	ditinggalkeun
abandonment	abandonment
abashed	abashed
abate	abate
abatement	abatement
abba	abba
abbey	Abbey
abbot	NO TRANSLATION
abbreviate	nyingget
abbreviation	singgetan
abdomen	beuteung
abdominal	beuteung
abduct	nyulik
abduction	penculikan
aberrant	aberrant
aberration	aberration
abeyance	abeyance
abhor	abhor
abhorrence	abhorrence
abhorrent	abhorrent
abide	abide
abiding	patuh
ability	kamampuhan
abject	abject
ablation	ablation
ablaze	muntab-muntab
able	bisa
abnormal	teu biasa
abnormality	Abnormalitas
aboard	numpak
abode	abode
abolish	mupuskeun
abolition	abolition
abominable	abominable
abominate	abominate
abomination	abomination
aboriginal	aboriginal
abort	abort
abortion	kaluron
abortive	abortive
abound	abound
abovementioned	abovementioned
abracadabra	abracadabra
abrasion	abrasion
abrasive	abrasive
abreast	abreast
abroad	luar nagari
abrogate	abrogate
abrupt	kasar
abruptly	abruptly
abscess	bisul
absence	hal nu henteu datang
absent	absen
absentee	absentee
absenteeism	absenteeism
absinthe	absinthe
absolute	absolut
absolution	absolution
absolve	absolve
absorb	nyerep
absorbed	diserep
absorbent	absorbent
absorbing	nyerep
absorption	diserep
abstain	teu mere sora
abstention	abstention
abstinence	teu dahar
abstract	abstrak
abstraction	abstraksi
absurd	pimanaeun
absurdity	absurdity
abundance	kaayaan luber
abundant	loba pisan
abuse	nyiksa
abused	abused
abusive	kejam
abutment	abutment
aby	NO TRANSLATION
abysmal	abysmal
abyss	jurang
academic	akademis
academy	akademi
accede	accede
accelerant	accelerant
accelerate	ngagancangkeun
accelerated	gancangan
acceleration	gagancangan
accelerator	akselerator
accent	logat
accentuate	accentuate
accept	narima
acceptable	bisa ditarima
acceptance	kaayaan katarima
acceptances	acceptances
access	jalan asup
accessible	bisa diasupan
accession	digentos
accessory	barang tambahan
accident	kacilakaan
accidental	kaleresan
accidentally	teu ngahaja
acclaim	acclaim
accolade	accolade
accommodate	nampanan
accommodation	bantuan
accompaniment	iringan
accompany	marengan
accompanying	ngaréncangan
accomplice	antek
accomplish	ngabereskeun
accomplished	dilakonan
accomplishment	prestasi
accord	atos
accordance	luyu
accordion	akordion
account	rekening
accountability	akuntabilitas
accountable	tanggung jawab
accountant	akuntan
accounting	akuntansi
accounts	rekening
accredited	accredited
accretion	sÃkrÃsi
accrue	nambahan
accueil	NO TRANSLATION
accumulate	ngumpulkeun
accumulation	pangumpulan
accuracy	katalitian
accurate	pas
accursed	accursed
accusation	tudingan
accusative	akusatip
accuse	nuding
accused	nu dituding
accuser	accuser
accusing	tuduh
accustomed	biasa
ace	as
acetic	asétat
acetylene	acetylene
ache	nyeri
achieve	ngahontal
achieved	kahontal
achievement	prestasi
aching	hemeng
achy	achy
acid	asam
acidity	kaasaman
acknowledge	ngaku
acknowledged	dicaritakeun
acknowledgement	pangakuan
acknowledgment	pangakuan
acme	acme
acne	jarawat
acorn	buahna tangkal ek
acoustic	akustik
acoustics	akustika
acquaint	ngenalkeun
acquaintance	kenalan
acquainted	acquainted
acquiescence	acquiescence
acquire	meunang
acquiring	acquiring
acquisition	hal nu dihasilkeun
acquisitions	acquisitions
acquit	ngabebaskeun
acquittal	ngajadikeun bebas
acre	acre
acreage	acreage
acres	acres
acrobat	tukang akrobat
acrylic	acrylic
act	kalakuan
acting	lakonan
action	aksi
action figure	inohong peta
actionable	actionable
activate	ngaktipkeun
activation	aktivasina
active	aktip
activist	jelema nu ngahangkeutkeun
activity	kagiatan
actor	lalaki nu ngalalajoaneun
actress	awewe nu ngalalajoaneun
actual	saleresna
actuality	actuality
actuary	actuary
acuity	acuity
acumen	acumen
acupuncture	akupungtur
acute	genting
acutely	acutely
ad	ad
adage	adage
adamant	tetep
adapt	ngakurkeun
adaptable	bisa ngakurkeun
adaptation	adaptasi
add	nambah
added	ditambahkeun
addendum	addendum
adder	panambah
addict	nu mikaresep pisan
addicted	addicted
addiction	mikaresep pisan
addictive	adiktif
addition	tambahan
additional	tambahan
additive	bahan tambahan
address	alamat
addressee	addressee
addresses	alamat
adept	mahér
adequacy	adequacy
adequate	cukup
adhere	taat
adherence	adherence
adherent	adherent
adhering	adhering
adhesion	adhesion
adhesive	napel
adieu	adieu
adipose	adiposa
adjacency	adjacency
adjacent	tepung wates
adjective	kecap sipat
adjoining	adjoining
adjourn	nunda
adjournment	adjournment
adjudicate	adjudicate
adjudication	adjudication
adjunct	adjunct
adjust	ngatur
adjuster	adjuster
adjustment	carana ngatur
adjuvant	adjuvant
admin	admin
administer	ngololakeun
administration	administrasi
administrative	administrasi
administrator	anu ngolola
admirable	hebat
admiral	laksamana
admiralty	admiralty
admiration	rasa reueus
admire	muja
admired	admired
admirer	admirer
admiring	admiring
admissibility	admissibility
admissible	bisa ditarima
admission	pangakuan
admit	ngaku
admittance	hak keur asup
admitted	ngaku
admitting	admitting
admixture	admixture
admonition	admonition
ado	ado
adobe	Adobe
adolescence	waktu rumaja
