Word	lt
aaaaaaah	aaaaaaha
aaaah	NO TRANSLATION
aardvark	aardvark
aback	atsimenu
abacus	abacus
abalone	garbanotas
abandon	apleisti
abandoned	paliktas
abandonment	atsisakymas
abashed	nuobodus
abate	susilpninti
abatement	mažinimas
abba	Abba
abbey	abatija
abbot	NO TRANSLATION
abbreviate	sutrumpinti
abbreviation	santrumpa
abdomen	pilvas
abdominal	pilvasis
abduct	pagrobti
abduction	pagrobimas
aberrant	netinkamas
aberration	aberacija
abeyance	sustabdymas
abhor	šmeižti
abhorrence	baimė
abhorrent	nepatogus
abide	laikykis
abiding	laikantis
ability	gebėjimas
abject	abject
ablation	abliacija
ablaze	gaisras
able	galingas
abnormal	nenormalus
abnormality	anomalija
aboard	laive
abode	gyventi
abolish	panaikinti
abolition	panaikinimas
abominable	bjaurus
abominate	abominate
abomination	bjaurystė
aboriginal	aborigenai
abort	nutraukti
abortion	abortas
abortive	neveikianti
abound	gausu
abovementioned	anksčiau paminėtas
abracadabra	abracadabra
abrasion	trintis
abrasive	abrazyvinis
abreast	be abejo
abroad	užsienyje
abrogate	atšaukti
abrupt	staiga
abruptly	staiga
abscess	pūlinys
absence	nebuvimas
absent	nėra
absentee	absentee
absenteeism	nebuvimas
absinthe	absentas
absolute	absoliutus
absolution	atleidimas
absolve	atleisk
absorb	sugerti
absorbed	sugeria
absorbent	sugeriantis
absorbing	sugeriantis
absorption	absorbcija
abstain	susilaikyti
abstention	susilaikymas
abstinence	susilaikymas
abstract	abstraktus
abstraction	abstrakcija
absurd	absurdas
absurdity	absurdas
abundance	gausa
abundant	gausu
abuse	piktnaudžiavimas
abused	piktnaudžiaujama
abusive	užgaulus
abutment	atrama
aby	NO TRANSLATION
abysmal	apgailėtinas
abyss	bedugnė
academic	akademinis
academy	akademija
accede	prisijungti
accelerant	pagreitis
accelerate	paspartinti
accelerated	pagreitintas
acceleration	pagreitis
accelerator	greitintuvas
accent	akcentas
accentuate	pabrėžti
accept	priimti
acceptable	priimtinas
acceptance	priėmimas
acceptances	priėmimai
access	prieiga
accessible	prieinama
accession	įstojimas
accessory	aksesuaras
accident	avarija
accidental	atsitiktinis
accidentally	atsitiktinai
acclaim	pripažinimas
accolade	apdovanojimas
accommodate	prisitaikyti
accommodation	apgyvendinimas
accompaniment	asortimentas
accompany	lydėti
accompanying	palyda
accomplice	bendrininkas
accomplish	įvykdyti
accomplished	įvykdytas
accomplishment	pasiekimas
accord	susitarti
accordance	atitikimas
accordion	akordeonas
account	sąskaita
accountability	atskaitomybė
accountable	atskaitingas
accountant	buhalteris
accounting	apskaita
accounts	sąskaitos
accredited	akredituotas
accretion	akrecija
accrue	kaupiasi
accueil	NO TRANSLATION
accumulate	kaupti
accumulation	kaupimas
accuracy	tikslumas
accurate	tiksliai
accursed	prakeiktas
accusation	kaltinimas
accusative	kaltinamasis
