Word	sq
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	Aardvark
aback	prapa
abacus	numërator
abalone	guaskë
abandon	braktis
abandoned	braktisur
abandonment	braktisje
abashed	i hutuar
abate	i jap fund
abatement	pakësim
abba	Abba
abbey	abaci
abbot	abat
abbreviate	shkurtoj
abbreviation	shkurtim
abdomen	abdomen
abdominal	i barkut
abduct	rrëmbëj
abduction	rrëmbim
aberrant	rravgues
aberration	lajthitje
abeyance	pezullim
abhor	urrej
abhorrence	neveri
abhorrent	i pështirë
abide	rri
abiding	i qëndrueshëm
ability	aftësi
abject	i mjerë
ablation	të larguarit
ablaze	në flakë
able	i aftë
abnormal	jonormal
abnormality	anomali
aboard	bord
abode	vendbanim
abolish	shfuqizoj
abolition	heqje
abominable	i neveritshëm
abominate	urrej
abomination	neveri
aboriginal	vendës
abort	dështoj
abortion	abort
abortive	i dështuar
abound	ka me bollëk
abovementioned	permendur me larte
abracadabra	gjuhë pa kuptim
abrasion	pastrim
abrasive	gërryes
abreast	krah për krah
abroad	jashtë vendit
abrogate	anuloj
abrupt	i papritur
abruptly	befas
abscess	lungë
absence	mungesë
absent	që mungon
absentee	mungestar
absenteeism	shmangie nga votim
absinthe	glikanxo
absolute	absolut
absolution	falje
absolve	shfajësoj
absorb	thith
absorbed	absorbohet
absorbent	thithës
absorbing	përthithës
absorption	thithje
abstain	abstenoj
abstention	abstenim
abstinence	maturi
abstract	abstrakt
abstraction	abstragim
absurd	absurd
absurdity	absurditet
abundance	bollëk
abundant	bollshme
abuse	abuzim
abused	abuzuar
abusive	fyes
abutment	kufi
aby	NO TRANSLATION
abysmal	për faqe të zezë
abyss	humnerë
academic	akademik
academy	akademi
accede	aderojë
accelerant	katalizator
accelerate	përshpejtuar
accelerated	përshpejtuar
acceleration	përshpejtim
accelerator	përshpejtues
accent	theks
accentuate	theksoj
accept	pranoj
acceptable	i pranueshëm
acceptance	pranim
acceptances	pranimet
access	hyrje
accessible	i arritshëm
accession	hyrje
accessory	pajisje shtesë
accident	aksident
accidental	aksidental
accidentally	rastësisht
acclaim	brohorit
accolade	dhënie e titullit të kalorësit
accommodate	akomoduar
accommodation	strehim
accompaniment	shoqërim
accompany	shoqëroj
accompanying	shoqërues
accomplice	bashkëfajtor
accomplish	kryej
accomplished	realizohet
accomplishment	arritje
accord	akord
accordance	përputhje
accordion	fizarmonikë
account	llogari
accountability	përgjegjësi
accountable	përgjegjës
accountant	llogaritar
accounting	Kontabiliteti
accounts	llogaritë
accredited	akredituar
accretion	shtim
accrue	rritet
accueil	NO TRANSLATION
accumulate	grumbulluar
accumulation	akumulim
accuracy	saktësi
accurate	i saktë
accursed	i mallkuar
accusation	akuzë
accusative	akuzues
accuse	akuzim
accused	i akuzuar
accuser	paditës
accusing	duke e akuzuar
accustomed	mësuar
ace	as
acetic	uthullor
acetylene	acetilen
ache	dhimbje
achieve	arrij
achieved	arritur
achievement	arritje
aching	dhemb
achy	achy
acid	acid
acidity	aciditet
acknowledge	pranoj
acknowledged	pranoi
acknowledgement	njohje
acknowledgment	njohje
acme	kulm
acne	puçrra fytyre
acorn	lis
acoustic	akustik
acoustics	akustikë
acquaint	njoh
acquaintance	njohje
acquainted	i njohur
acquiescence	pranim i heshtur
acquire	të marrë
acquiring	përvetësuar
acquisition	përvetësim
acquisitions	blerjet
acquit	liroj
acquittal	shfajësim
acre	akër
acreage	sipërfaqe në akra
acres	akra
acrobat	akrobat
acrylic	akrilik
act	akt
acting	i përkohshëm
action	veprim
action figure	figure aksioni
actionable	vepruese
activate	aktivizoj
activation	aktivizimi
active	aktiv
activist	aktivist
activity	aktivitet
actor	aktor
actress	aktore
actual	aktual
actuality	realitet
actuary	ekspert i sigurimeve
acuity	mprehtësi
acumen	mendjemprehtësi
acupuncture	akupunkturë
acute	i mprehtë
acutely	akute
ad	reklamë
adage	fjalë e urtë
adamant	i paepur
adapt	përshtat
adaptable	i adaptueshëm
adaptation	adaptim
add	shtoj
added	shtuar
addendum	shtesë
adder	nëpërkë
addict	i droguar
addicted	addicted
addiction	dhënie pas
addictive	Addictive
addition	shtim
additional	plotësues
additive	shtesë
address	adresë
addressee	i adresuar
addresses	Adresat
adept	i aftë
adequacy	mjaftueshmëri
adequate	i përshtatshëm
adhere	përmbahen
adherence	zbatim
adherent	përkrahës
adhering	respektimi
adhesion	ngjitje
adhesive	ngjitës
adieu	lamtumirë
adipose	dhjamor
adjacency	afërsi
adjacent	i afërt
adjective	mbiemër
adjoining	fqinj
adjourn	shtyj
adjournment	shtyrje
adjudicate	gjykoj
adjudication	gjykimi
adjunct	zëvendësues
adjust	përshtat
adjuster	përshtatës
adjustment	rregullim
adjuvant	ndihmës
admin	admin
administer	administroj
administration	administratë
administrative	administrativ
administrator	administrator
admirable	i admirueshëm
admiral	admiral
admiralty	admiraliat
admiration	admirim
admire	admiroj
admired	admiruar
admirer	admirues
admiring	admiruar
admissibility	pranueshmëria
admissible	i pranueshëm
admission	pranim
admit	pranoj
admittance	pranim
admitted	pranuar
admitting	pranuar
admixture	përzierje
