Word	mn
aaaaaaah	aaaaaa
aaaah	NO TRANSLATION
aardvark	aardvark
aback	Үгүй ээ
abacus	Abacus
abalone	abalone
abandon	хаях
abandoned	орхисон
abandonment	татгалзах
abashed	нойрссон
abate	унах
abatement	багасгах
abba	abba
abbey	хоргодох газар
abbot	NO TRANSLATION
abbreviate	товчлох
abbreviation	товчлол
abdomen	Хэвлий
abdominal	хэвлийн
abduct	хулгайлж байна
abduction	хулгайлсан
aberrant	дампуурах
aberration	гажилт
abeyance	суллах
abhor	жигшин зэвүүцэх
abhorrence	жигшсэн юм
abhorrent	бузар юм
abide	тэвчээртэй бай
abiding	тэвчээртэй байх
ability	чадвар
abject	хортой
ablation	уналт
ablaze	галд шатаа
able	боломжтой
abnormal	хэвийн бус
abnormality	хэвийн бус байдал
aboard	усан онгоцон дээр
abode	орон байр
abolish	устгах
abolition	устгах
abominable	жигшүүрт юм
abominate	жигшүүрт юм
abomination	жигшүүрт юм
aboriginal	анхдагч
abort	бүү хас
abortion	үр хөндөлт
abortive	abortive
abound	элбэг дэлбэг байна
abovementioned	дээр дурдагдсан
abracadabra	abracadabra
abrasion	үрэл
abrasive	зүлгүүр
abreast	өршөөлгүй
abroad	гадаадад
abrogate	хаях
abrupt	гэнэт
abruptly	гэнэт
abscess	буглаа
absence	байхгүй
absent	байхгүй
absentee	байхгүй хүн
absenteeism	хасагдаагүй
absinthe	absinthe
absolute	үнэмлэхүй
absolution	хувьсагч
absolve	Алдар
absorb	шингээх
absorbed	шингэсэн
absorbent	шингээгч
absorbing	шингээх
absorption	шингээлт
abstain	татгалзаарай
abstention	зогсоох
abstinence	тэвчих
abstract	хийсвэр
abstraction	хийсвэрлэх
absurd	утгагүй
absurdity	утгагүй юм
abundance	элбэг
abundant	элбэг
abuse	хүчирхийлэл
abused	хүчирхийлэлд өртсөн
abusive	доромжилсон
abutment	хүлцэл
aby	NO TRANSLATION
abysmal	харамсалтай
abyss	ёроолгүй
academic	академик
academy	академи
accede	зөвшөөрсөн
accelerant	хурдатгал
accelerate	хурдасгах
accelerated	хурдасгасан
acceleration	хурдатгал
accelerator	хурдасгуур
accent	өргөлт
accentuate	тодотгох
accept	хүлээж ав
acceptable	хүлээн зөвшөөрсөн
acceptance	хүлээн зөвшөөрөх
acceptances	хүлээн зөвшөөрөх
access	хандалт
accessible	хүртээмжтэй
accession	нэгдэн орох
accessory	дагалдах хэрэгсэл
accident	осол
accidental	санамсаргүй байдлаар
accidentally	санамсаргүйгээр
acclaim	Баярлалаа
accolade	өргөмжлөл
accommodate	байршуулах
accommodation	байр
accompaniment	дагалдан
accompany	дагалдана
accompanying	дагалдах
accomplice	хамтрагч
accomplish	гүйцэлдүүлэх
accomplished	амжилттай болсон
accomplishment	амжилт
accord	дагуу
accordance	дагуу
accordion	баян хуур
account	данс
accountability	хариуцлагын тогтолцоо
accountable	хариуцлагатай байх
accountant	нягтлан бодогч
accounting	нягтлан бодох бүртгэл
accounts	данс
accredited	итгэмжлэгдсэн
accretion	нэмэгдэл
