Word	cy
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	abacus
abalone	abalone
abandon	gadael
abandoned	wedi'u gadael
abandonment	rhoi'r gorau iddi
abashed	gwasgu
abate	abate
abatement	lleihau
abba	abba
abbey	abaty
abbot	NO TRANSLATION
abbreviate	abbreviate
abbreviation	byrfodd
abdomen	abdomen
abdominal	abdomenol
abduct	abduct
abduction	cipio
aberrant	aberrant
aberration	aberration
abeyance	ymatal
abhor	abhor
abhorrence	abhorrence
abhorrent	yn rhyfeddol
abide	cadw atoch
abiding	yn aros
ability	gallu
abject	yn aneglur
ablation	abladiad
ablaze	ablaze
able	galluog
abnormal	annormal
abnormality	annormaledd
aboard	tramor
abode	yn byw
abolish	diddymu
abolition	diddymu
abominable	ffiaidd
abominate	ffiaidd
abomination	ffiaidd
aboriginal	aboriginal
abort	erthylu
abortion	erthyliad
abortive	yn rhy hir
abound	yn llawn
abovementioned	uchod
abracadabra	NO TRANSLATION
abrasion	abrasiad
abrasive	sgraffiniol
abreast	wybod
abroad	dramor
abrogate	atal
abrupt	sydyn
abruptly	yn sydyn
abscess	abscess
absence	absenoldeb
absent	yn absennol
absentee	absennol
absenteeism	absenoldeb
absinthe	absinthe
absolute	absoliwt
absolution	rhyddhad
absolve	rhyddhau
absorb	amsugno
absorbed	amsugno
absorbent	amsugnol
absorbing	yn amsugno
absorption	amsugno
abstain	ymatal
abstention	ymatal
abstinence	ymataliaeth
abstract	haniaethol
abstraction	tyniad
absurd	yn hurt
absurdity	anffodus
abundance	digonedd
abundant	yn helaeth
abuse	camdriniaeth
abused	camdriniaeth
abusive	camdriniol
abutment	ymylon
aby	NO TRANSLATION
abysmal	abysmal
abyss	abyss
academic	academaidd
academy	academi
accede	adio
accelerant	cyflymydd
accelerate	cyflymu
accelerated	cyflymu
acceleration	cyflymiad
accelerator	cyflymydd
accent	acen
accentuate	cydsynio
accept	derbyn
acceptable	yn dderbyniol
acceptance	derbyniad
acceptances	derbyniadau
access	mynediad
accessible	hygyrch
accession	derbyniad
accessory	Affeithiwr
accident	damwain
accidental	yn ddamweiniol
accidentally	yn ddamweiniol
acclaim	canmoliaeth
accolade	gweddill
accommodate	llety
accommodation	llety
accompaniment	cyfeiliant
accompany	gyda chi
accompanying	gyda hi
accomplice	gwpl
accomplish	cyflawni
accomplished	wedi'i gyflawni
accomplishment	cyflawniad
accord	cydsynio
accordance	yn unol â
accordion	accordion
account	cyfrif
accountability	atebolrwydd
accountable	yn atebol
accountant	cyfrifydd
accounting	cyfrifyddu
accounts	cyfrifon
accredited	achrededig
accretion	accretion
accrue	cronni
accueil	NO TRANSLATION
accumulate	cronni
accumulation	cronni
accuracy	cywirdeb
accurate	yn gywir
accursed	anffodus
accusation	cyhuddiad
accusative	cyhuddiadol
accuse	cyhuddo
accused	wedi'i gyhuddo
accuser	cyhuddwr
accusing	yn cyhuddo
accustomed	yn gyfarwydd
ace	ace
acetic	acetig
acetylene	acetylene
ache	heibio
achieve	cyflawni
achieved	cyflawnwyd
achievement	cyflawniad
aching	boeni
achy	achy
acid	asid
acidity	asidedd
acknowledge	cydnabod
acknowledged	cydnabyddedig
acknowledgement	cydnabyddiaeth
acknowledgment	cydnabyddiaeth
acme	acme
acne	acne
acorn	acorn
acoustic	acwstig
acoustics	acwsteg
acquaint	cydnabod
acquaintance	cydnabyddiaeth
acquainted	yn gyfarwydd
acquiescence	caredigrwydd
acquire	caffael
acquiring	caffael
acquisition	caffaeliad
acquisitions	caffaeliadau
acquit	caredig
acquittal	rhyddfarn
acre	acer
acreage	erwau
acres	acer
acrobat	acrobat
acrylic	acrylig
act	act
acting	gweithredu
action	gweithredu
action figure	ffigwr gweithredu
actionable	yn ymarferol
activate	gweithredu
activation	activation
active	yn weithredol
activist	actifydd
activity	gweithgaredd
actor	actor
actress	actores
actual	gwirioneddol
actuality	gwirionedd
actuary	actiwari
acuity	aflonyddwch
acumen	craffter
acupuncture	aciwbigo
acute	aciwt
acutely	yn iawn
ad	ad
adage	adage
adamant	braidd
adapt	addasu
adaptable	addasadwy
adaptation	addasiad
add	ychwanegu
added	wedi adio
addendum	atodiad
adder	gwyn
addict	addict
addicted	yn gaeth
addiction	dibyniaeth
addictive	caethiwus
addition	ychwanegol
additional	ychwanegol
additive	ychwanegyn
address	cyfeiriad
addressee	mynegwyr
addresses	Cyfeiriadau
adept	adnabyddus
adequacy	digonolrwydd
adequate	ddigonol
adhere	glynu
adherence	cydlyniad
adherent	cydlynol
adhering	cadw ato
adhesion	adlyniad
adhesive	gludiog
adieu	adieu
adipose	adipose
adjacency	cyfagos
adjacent	cyfagos
adjective	ansoddeiriol
adjoining	cyfagos
adjourn	gohirio
adjournment	gohiriad
adjudicate	beirniadu
adjudication	dyfarniad
adjunct	cyfatebol
adjust	addasu
adjuster	addasydd
adjustment	addasiad
adjuvant	cynorthwyol
admin	gweinydd
administer	gweinyddu
administration	gweinyddu
administrative	gweinyddol
administrator	gweinyddwr
admirable	yn ddymunol
admiral	myfrwraig
admiralty	marmoriaeth
