Word	th
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	มด
aback	ผงะ
abacus	ลูกคิด
abalone	หอยเป๋าฮื้อ
abandon	ละทิ้ง
abandoned	ถูกปล่อยปละละเลย
abandonment	การละทิ้ง
abashed	เจื่อน
abate	บรรเทา
abatement	การลด
abba	Abba
abbey	วัด
abbot	NO TRANSLATION
abbreviate	ย่อ
abbreviation	ตัวย่อ
abdomen	ท้อง
abdominal	เกี่ยวกับท้อง
abduct	ลักพาตัว
abduction	การลักพาตัว
aberrant	ผิดปกติ
aberration	ความผิดปกติ
abeyance	การระงับชั่วคราว
abhor	เกลียดชัง
abhorrence	ความเกลียดชัง
abhorrent	น่ารังเกียจ
abide	ยึดถือ
abiding	ตลอดกาล
ability	ความสามารถ
abject	น่าสังเวช
ablation	การระเหย
ablaze	สว่าง
able	สามารถ
abnormal	ผิดปกติ
abnormality	ความผิดปกติ
aboard	บนเรือ
abode	ที่พัก
abolish	ยกเลิก
abolition	การยกเลิก
abominable	น่ารังเกียจ
abominate	รังเกียจ
abomination	สิ่งที่น่ารังเกียจ
aboriginal	พื้นเมือง
abort	ทำแท้ง
abortion	การแท้ง
abortive	ไม่สำเร็จ
abound	ดาษดื่น
abovementioned	ดังกล่าวข้างต้น
abracadabra	NO TRANSLATION
abrasion	รอยขีดข่วน
abrasive	คม
abreast	ทัน
abroad	ในต่างประเทศ
abrogate	ยกเลิก
abrupt	ทันทีทันใด
abruptly	อย่างฉับพลัน
abscess	ฝี
absence	ขาด
absent	ขาด
absentee	ผู้ที่ขาดไป
absenteeism	ขาด
absinthe	Absinthe
absolute	แน่นอน
absolution	การอภัยโทษ
absolve	ให้อภัย
absorb	ซึมซับ
absorbed	ที่หมกมุ่น
absorbent	ซึ่งสามารถดูดซึม
absorbing	การดูดซับ
absorption	การดูดซึม
abstain	ละเว้น
abstention	การงดออกเสียง
abstinence	การละเว้น
abstract	นามธรรม
abstraction	สิ่งที่เป็นนามธรรม
absurd	บ้าบอคอแตก
absurdity	ความไร้สาระ
abundance	ความอุดมสมบูรณ์
abundant	อุดมสมบูรณ์
abuse	การละเมิด
abused	ที่ถูกทารุณกรรม
abusive	ปากหมา
abutment	ตัวค้ำ
aby	NO TRANSLATION
abysmal	สุดซึ้ง
abyss	เหว
academic	วิชาการ
academy	สถานศึกษา
accede	ยอม
accelerant	เร่ง
accelerate	เร่งความเร็ว
accelerated	เร่ง
acceleration	การเร่งความเร็ว
accelerator	คันเร่ง
accent	สำเนียง
accentuate	เน้นเสียง
accept	ยอมรับ
acceptable	ยอมรับได้
acceptance	การยอมรับ
acceptances	การรับรอง
access	ทางเข้า
accessible	สามารถเข้าถึงได้
accession	การครอบครอง
accessory	อุปกรณ์
accident	อุบัติเหตุ
accidental	โดยบังเอิญ
accidentally	โดยไม่ตั้งใจ
acclaim	เสียงไชโยโห่ร้อง
accolade	การได้รับเกียรติ
accommodate	อำนวยความสะดวก
accommodation	ที่พัก
accompaniment	คลอเสียง
accompany	มากับ
accompanying	ประกอบ
accomplice	ผู้สมคบ
accomplish	ทำให้สำเร็จ
accomplished	คล่องแคล่ว
accomplishment	ความสำเร็จ
accord	สอดคล้อง
accordance	ตาม
accordion	หีบเพลง
account	บัญชี
accountability	การรับผิดชอบ
accountable	รับผิดชอบ
accountant	นักบัญชี
accounting	การบัญชี
accounts	บัญชี
accredited	ได้รับการรับรอง
accretion	การเพิ่ม
accrue	เพิ่มมากขึ้น
accueil	NO TRANSLATION
accumulate	เก็บสะสม
accumulation	ขุม
accuracy	ความถูกต้อง
accurate	ถูกต้อง
accursed	ถูกสาป
accusation	การกล่าวหา
accusative	กรรมการก
accuse	กล่าวโทษ
accused	ผู้ถูกกล่าวหา
accuser	โจทก์
accusing	ที่กล่าวหา
accustomed	คุ้นเคย
ace	คนเก่ง
acetic	อะซิติก
acetylene	อะเซทิลีน
ache	ปวด
achieve	บรรลุ
achieved	ประสบความสำเร็จ
achievement	ความสำเร็จ
aching	น่าปวดหัว
achy	ปวด
acid	กรด
acidity	ความเป็นกรด
acknowledge	รับทราบ
acknowledged	ที่ยอมรับ
acknowledgement	การรับทราบ
acknowledgment	การรับทราบ
acme	จุดสุดยอด
acne	สิว
acorn	ลูกโอ๊ก
acoustic	อะคูสติก
acoustics	เสียงสะท้อน
acquaint	รู้จัก
acquaintance	คนรู้จัก
acquainted	คุ้นเคย
acquiescence	การยอมรับ
acquire	ได้รับ
acquiring	การแสวงหา
acquisition	การเข้าซื้อกิจการ
acquisitions	การเข้าซื้อกิจการ
acquit	ชำระหนี้
acquittal	การพ้นผิด
acre	เอเคอร์
acreage	พื้นที่เพาะปลูก
acres	เอเคอร์
acrobat	นักกายกรรม
acrylic	สังเคราะห์
act	การกระทำ
acting	การแสดง
action	การกระทำ
action figure	การกระทำ
actionable	การดำเนินการ
activate	กระตุ้น
activation	การกระตุ้น
active	คล่องแคล่ว
activist	กิจกรรม
activity	กิจกรรม
actor	นักแสดงชาย
actress	นักแสดงหญิง
actual	ที่จริง
actuality	ความเป็นจริง
