Word	et
aaaaaaah	aaaaaaha
aaaah	NO TRANSLATION
aardvark	aardvark
aback	kummitus
abacus	abacus
abalone	kallis
abandon	loobuma
abandoned	mahajäetud
abandonment	loobumine
abashed	väsinud
abate	vähendama
abatement	vähendamine
abba	abba
abbey	klooster
abbot	NO TRANSLATION
abbreviate	lühenda
abbreviation	lühend
abdomen	kõht
abdominal	kõhuõõne
abduct	röövitud
abduction	röövimine
aberrant	ebaselge
aberration	aberratsioon
abeyance	peatamine
abhor	kummardama
abhorrence	hirmus
abhorrent	kohutav
abide	järgige
abiding	kinni pidades
ability	võime
abject	imelik
ablation	ablatsioon
ablaze	põlema
able	võimeline
abnormal	ebanormaalne
abnormality	ebanormaalsus
aboard	pardal
abode	elama
abolish	kaotada
abolition	kaotamine
abominable	hirmutav
abominate	kõhklema
abomination	hullumeelsus
aboriginal	aborigeen
abort	katkestama
abortion	abort
abortive	ebatavaline
abound	külluses
abovementioned	eespool nimetatud
abracadabra	abracadabra
abrasion	abrasioon
abrasive	abrasiivne
abreast	loe edasi
abroad	välismaal
abrogate	tühistada
abrupt	järsku
abruptly	järsku
abscess	abstsess
absence	puudumine
absent	puudub
absentee	lahkumata
absenteeism	töölt puudumine
absinthe	absint
absolute	absoluutne
absolution	vabanemine
absolve	vabastama
absorb	imenduda
absorbed	imendunud
absorbent	absorbeeriv
absorbing	neelavad
absorption	imendumine
abstain	hoiduma
abstention	erapooletu
abstinence	meeleheide
abstract	abstraktne
abstraction	abstraktsioon
absurd	absurdne
absurdity	absurdne
abundance	arvukus
abundant	rohke
abuse	kuritarvitamine
abused	kuritarvitatud
abusive	kuritahtlik
abutment	abutment
aby	NO TRANSLATION
abysmal	kõhn
abyss	kaste
academic	Akadeemiline
academy	akadeemia
accede	ühine
accelerant	kiirendamine
accelerate	kiirendama
accelerated	kiirendatud
acceleration	kiirendus
accelerator	kiirendaja
accent	aktsent
accentuate	rõhutage
accept	aktsepteerima
acceptable	vastuvõetav
acceptance	vastuvõtmine
acceptances	aktseptid
access	juurdepääs
accessible	juurdepääsetav
accession	ühinemine
accessory	lisaseade
accident	õnnetus
accidental	juhuslik
accidentally	juhuslikult
acclaim	tunnustama
accolade	auhinda
accommodate	majutama
accommodation	majutus
accompaniment	saade
accompany	kaasas
accompanying	kaasasolev
accomplice	kaasosaline
accomplish	täita
accomplished	saavutatud
accomplishment	saavutus
accord	nõus
accordance	vastavus
accordion	akordion
account	konto
accountability	vastutus
accountable	vastutav
accountant	raamatupidaja
accounting	raamatupidamine
accounts	kontod
accredited	akrediteeritud
accretion	tõus
accrue	koguma
accueil	NO TRANSLATION
accumulate	koguneda
accumulation	kogunemine
accuracy	täpsus
accurate	täpne
accursed	neetud
accusation	süüdistus
accusative	süüdistatav
accuse	süüdistama
accused	süüdistatav
accuser	süüdistatav
accusing	süüdistades
