Word	my
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	aback
abacus	ပေသီး
abalone	abalone
abandon	စွန့်ပစ်
abandoned	စွန့်ပစ်
abandonment	စွန့်ခွာ
abashed	ရှကျကှဲ
abate	abate
abatement	abatement
abba	အဗ္ဗ
abbey	Abbey
abbot	NO TRANSLATION
abbreviate	တိုစေ
abbreviation	အကျဉ်း
abdomen	ဝမ်း
abdominal	ဝမ်းဗိုက်
abduct	ခေါ်ဆောင်သွား
abduction	ခေါ်ဆောင်သွားခြင်း
aberrant	ထစ်အငေါ့
aberration	ထစ်အငေါ့
abeyance	abeyance
abhor	ရွံရှာ
abhorrence	ရွံရှာဘွယ်
abhorrent	စက်ဆုတ်ရွံ့ရှာ
abide	စောင့်နေ
abiding	လိုက်နာ
ability	စွမ်းအား
abject	ဆင်း
ablation	ablation
ablaze	မီးတောက်သော
able	တတ်နိုင်
abnormal	ထူးခြားသော
abnormality	မူမမှန်
aboard	သင်္ဘော
abode	နကွေ၏
abolish	ဖျက်ပယ်
abolition	ဖျက်သိမ်း
abominable	စက်ဆုပ်ရွံ့ရှာဘွယ်သော
abominate	စက်ဆုပ်ရွံရှာဘွယ်သော
abomination	စက်ဆုပ်ရွံရှာတော်မူ၏
aboriginal	ဘော်ရီဂျင်နီ
abort	ဖျက်သိမ်းသည်
abortion	သားလြှောခွငျး
abortive	မအောင်မြင်သော
abound	ကြွယ်ဝ
abovementioned	ယခုတင်ပြသော
abracadabra	abracadabra
abrasion	ပွန်းပဲ့
abrasive	ပွန်းစားခြင်း
abreast	ရင်ပေါင်တန်း
abroad	ပြည်ပမှာ
abrogate	abrogate
abrupt	ရုတ်တရက်ဖြစ်သော
abruptly	ရုတ်တရက်
abscess	အိုင်းနာ
absence	မရှိခြင်း
absent	မရှိသော
absentee	အဲတော့
absenteeism	ပျက်ကွက်
absinthe	Absinthe
absolute	အကြွင်းမဲ့အာဏာ
absolution	Absolution
absolve	absolve
absorb	စုပ်ယူ
absorbed	စုပ်ယူ
absorbent	စုပ်
absorbing	စုပ်ယူ
absorption	စုပ်ယူမှု
abstain	ရှောငျကွဉျ
abstention	ကကြားနေ
abstinence	abstinence
abstract	ြဒပ်မဲ့သော
abstraction	abstraction
absurd	မဟုတ်နိုင်သော
absurdity	အဓိပ္ပါယ်မဲ့
abundance	ကြွယ်ဝခြင်း
abundant	ကြွယ်ဝသော
abuse	အလွဲသုံးစားမှု
abused	အလွဲသုံးစားလုပ်
abusive	မသငျ့မလျြောသော
abutment	abutment
aby	NO TRANSLATION
abysmal	ဆိုးရွားသော
abyss	အနက်ဆုံးသောတွင်း
academic	ပညာရေးဆိုင်ရာ
academy	အကယ်ဒမီ
accede	သဘောတူ
accelerant	တိုး။ မြန်စေသောအရာ
accelerate	တိုး။ မြန်စေ
accelerated	အရှိန်
acceleration	အရှိန်
accelerator	တိုး။ မြန်စေသောအရာ
accent	ဂရုသံ
accentuate	ပေါ်လွင်
accept	accept
acceptable	လက်ခံနိုင်ဖွယ်
acceptance	လက်ခံခြင်း
acceptances	လက်ခံခြင်း
access	ဝင်ရောက်ခွင့်
accessible	လက်လှမ်း
accession	်
accessory	အပေါင်းပါ
accident	မတော်တဆထိခိုက်မှု
accidental	အမှတ်မဲ့ဖြစ်သော
accidentally	မတော်တဆ
acclaim	ကောင်းချီး
accolade	ဂုဏ်ပြုခံရခြင်းများ
accommodate	သငျ့လျြောအောငျပွု
accommodation	နေရာထိုင်ခင်း
accompaniment	အတူပါခြင်း
accompany	အတူလိုက်
accompanying	နှင့်အတူလိုက်ပါသည်
accomplice	ကြံရာ
accomplish	ပွီးမွောကျစေ
accomplished	ပြည့်စုံ
accomplishment	ပွီးမွောကျစခွေငျး
accord	အညီ
accordance	အညီ
accordion	အကော်ဒီယန်
account	အကောင့်
accountability	တာဝန်ခံမှု
accountable	တာဝန်ခံ
accountant	စာရင်းကိုင်
accounting	စာရင်းကိုင်
accounts	အကောင့်
accredited	အသိအမှတ်ပြု
accretion	ချဲ့
accrue	ပွါးများ
accueil	NO TRANSLATION
accumulate	စု
accumulation	စုပုံခြင်း
accuracy	ဟုတ်မှန်ရေး
accurate	တိကျမှု
accursed	ကျိန်
accusation	စှပျစှဲခွငျး
accusative	ကမ္မကာရက
accuse	စှပျစှဲ
accused	တရားခံ
accuser	ဘက်
accusing	စွပ်စွဲ
accustomed	နေသားတကျ
ace	တပေါက်
acetic	acetic
acetylene	အက်စီတလင်း
ache	နာခြင်း
achieve	အောင်မြင်ရန်
achieved	အောင်မြင်
achievement	အောင်မြင်ချက်
aching	နာကျင်ကိုက်ခဲ
achy	Achi
acid	အက်ဆစ်
acidity	အချဉ်ဓာတ်
acknowledge	ဝန်ခံ
acknowledged	အသိအမှတ်ပြု
acknowledgement	ဝန်ခံချက်
acknowledgment	ဝန်ခံချက်
acme	acme
acne	ဝက်ခြံ
acorn	ဝက်သစ်ချသီး
acoustic	acoustic
acoustics	အသံပညာ
acquaint	သိကျွမ်းစေ
acquaintance	သိခြင်း
