Word	sr
aaaaaaah	ааааааах
aaaah	NO TRANSLATION
aardvark	аардварк
aback	абацк
abacus	абакус
abalone	абалоне
abandon	напустити
abandoned	напуштен
abandonment	напуштање
abashed	убрзано
abate	умањи
abatement	смањење
abba	абба
abbey	аббеи
abbot	NO TRANSLATION
abbreviate	Скраћени
abbreviation	скраћеница
abdomen	стомак
abdominal	абдоминална
abduct	абдуцт
abduction	отмица
aberrant	аберрант
aberration	аберратион
abeyance	абеианце
abhor	узнемири се
abhorrence	аборенција
abhorrent	одвратан
abide	поштовати
abiding	поштовање
ability	способност
abject	абјецт
ablation	аблација
ablaze	пламен
able	у могуцности
abnormal	абнормално
abnormality	абнормалност
aboard	на броду
abode	пребивалиште
abolish	укинути
abolition	укидања
abominable	гнусно
abominate	абоминате
abomination	абоминатион
aboriginal	Аборигинал
abort	прекид
abortion	абортус
abortive	абортивно
abound	обилује
abovementioned	Горе поменути
abracadabra	абрацадабра
abrasion	абразија
abrasive	абразивни
abreast	ускоро
abroad	иностранство
abrogate	укинути
abrupt	нагло
abruptly	изненада
abscess	апсцеса
absence	одсуство
absent	одсутан
absentee	одсутан
absenteeism	одсуствовање
absinthe	абсинтхе
absolute	апсолутно
absolution	абсолутион
absolve	ослободи
absorb	апсорбовати
absorbed	апсорбован
absorbent	апсорбент
absorbing	апсорбују
absorption	апсорпција
abstain	апстинирати
abstention	апстиненцију
abstinence	апстиненција
abstract	апстрактан
abstraction	одвајање
absurd	апсурдно
absurdity	апсурдност
abundance	заступљеност
abundant	обиљем
abuse	злоупотреба
abused	злоупотребљава
abusive	увредљив
abutment	абутмент
aby	NO TRANSLATION
abysmal	неспретно
abyss	абисс
academic	академски
academy	академија
accede	пристани
accelerant	акцелерант
accelerate	убрзати
accelerated	убрзано
acceleration	убрзање
accelerator	акцелератор
accent	акценат
accentuate	нагласити
accept	прихватити
acceptable	прихватљив
acceptance	прихватање
acceptances	прихватања
access	приступ
accessible	приступачан
accession	приступање
accessory	додатак
accident	несрећа
accidental	случајно
accidentally	случајно
acclaim	признајем
accolade	признање
accommodate	прилагодити се
accommodation	смештај
accompaniment	пратња
accompany	пратите
accompanying	пратећи
accomplice	саучесник
accomplish	остварити
accomplished	остварено
accomplishment	достигнуће
accord	споразум
accordance	сагласност
accordion	хармоника
account	рачун
accountability	одговорност
accountable	одговорни
accountant	рачуновођа
accounting	рачуноводство
accounts	рачуне
accredited	акредитован
accretion	аццретион
accrue	аццруе
accueil	NO TRANSLATION
accumulate	акумулирати
accumulation	акумулација
accuracy	тачност
accurate	тачан
accursed	проклет
accusation	оптужба
accusative	акузатив
accuse	оптужује
accused	оптужени
accuser	оптужилац
accusing	оптужујући
accustomed	навикли
ace	аце
acetic	ацетиц
acetylene	ацетилен
ache	боли
achieve	постићи
achieved	постићи
achievement	достигнуће
aching	боли
achy	ацхи
acid	киселина
acidity	киселост
acknowledge	признати
acknowledged	признао
acknowledgement	признање
acknowledgment	признање
acme	ацме
acne	бубуљице
acorn	ацорн
acoustic	акустични
acoustics	акустика
acquaint	упознајте
acquaintance	познаник
acquainted	упознати
acquiescence	прихватање
acquire	стећи
acquiring	стицање
acquisition	аквизиција
acquisitions	аквизиције
acquit	ослободити
acquittal	ослобађајућу пресуду
acre	ацре
acreage	површина
acres	ари
acrobat	ацробат
acrylic	акрил
act	чинити
acting	глума
action	поступак
action figure	играчка
actionable	изводљиво
activate	активирати
activation	активација
active	активан
activist	активиста
activity	активност
actor	глумац
actress	глумица
actual	стварно
actuality	актуалност
actuary	актуар
acuity	острва
acumen	ацумен
acupuncture	акупунктура
acute	акутни
acutely	акутно
ad	ад
adage	адаге
adamant	адамант
adapt	прилагодити
adaptable	прилагодљив
adaptation	адаптација
add	додати
added	додато
addendum	аддендум
adder	сабирница
addict	зависник
addicted	завистан
addiction	зависност
addictive	заразна
addition	додатак
additional	додатни
additive	адитив
address	адреса
addressee	адресар
addresses	адресе
adept	адепт
adequacy	адекватност
adequate	адекватно
adhere	придржавају
adherence	приврженост
adherent	адхерент
adhering	Придржавати се
adhesion	адхезија
adhesive	лепак
adieu	адиеу
adipose	адипозно
adjacency	суседство
adjacent	суседно
adjective	придев
adjoining	суседно
adjourn	пауза
adjournment	пауза
adjudicate	пресуда
adjudication	пресуда
adjunct	додатак
adjust	прилагодите
adjuster	адјустер
adjustment	подешавање
adjuvant	адјувант
admin	админ
administer	управљати
administration	администрација
administrative	административни
administrator	администратор
admirable	дивно
admiral	адмирал
admiralty	Адмиралти
admiration	дивљење
admire	дивити се
admired	дивио се
admirer	обожавалац
admiring	дивио се
admissibility	прихватљивост
admissible	допуштено
admission	пријем
admit	признајем
admittance	адмитансе
admitted	признао
admitting	признајем
admixture	додатак
admonition	опомена
ado	адо
adobe	адобе
adolescence	Младост
adolescent	адолесцент
adopt	усвојити
adoption	усвајање
adoptive	усвојитељ
adorable	адорабле
adoration	обожавање
adore	обожавам
adoring	адоринг
adorn	краси
adornment	украс
adrenalin	адреналин
adrenaline	адреналин
adrift	кретање
adult	одрасла особа
adulterated	преплављен
adulterer	прељуба
adultery	прељуба
adulthood	одрасли
advance	унапред
advanced	напредни
advancement	напредовање
advancing	напредује
advantage	предност
advantageous	повољно
advent	адвент
adventure	авантура
adventurer	авантуриста
adventures	авантуре
adventurous	авантуристички
adversary	противник
adverse	штетан
adversity	недаће
advertise	рекламирајте
advertisement	реклама
advertising	оглашавање
adverts	рекламе
advice	савет
advisable	препоручљиво
advise	саветовати
advised	саветован
advisement	адв
adviser	саветник
advisor	саветник
advisory	саветодавно
advocacy	адвокатура
advocate	адвокат
aegis	аегис
aeration	аерација
aerial	аериал
aerobics	аеробика
aerodrome	аеродром
aerodynamic	аеродинамика
aerodynamics	аеродинамика
aeronautics	аеронаутика
aeroplane	авион
aerospace	аероспаце
aesthetic	естетски
aesthetics	естетика
aetiology	етиологија
afar	далеко
affable	љубазан
affair	афера
affect	утицати
affecting	утичу
affection	наклоност
affectionate	љубазан
affections	осећања
affiche	NO TRANSLATION
affidavit	заложно право
affiliated	аффилиатед
affiliation	припадност
affinity	афинитет
affirm	потврдити
affirmation	афирмација
affirmative	потврдан
affirmatively	афирмативно
affix	аффик
afflict	патити
afflicted	погођен
affliction	стидљивост
affluence	богатство
affluent	богатији
afford	приушти
affordable	приступачан
affront	опрости
affronted	угрожени
afield	пољски
afire	пожар
afloat	на планету
afore	претходно
aforementioned	горе поменуто
aforesaid	претходно
afraid	уплашен
afresh	поново
african	афрички
aft	назад
afterlife	после зивота
aftermath	после последица
afternoon	поподневни
aftershave	афтерсхаве
aftertaste	афтертасте
afterthought	након тога
aga	NO TRANSLATION
agape	агапе
agate	агате
age	старост
aged	старости
agency	агенција
agenda	дневни ред
agent	агент
agglomeration	агломерација
aggravate	отежати
aggravated	отежано
aggravates	отежава
aggravating	отежавајуће
aggravation	погоршање
aggregate	агрегат
aggregation	агрегација
aggresive	NO TRANSLATION
aggression	агресија
aggressive	агресиван
aggressively	агресивно
aggressiveness	агресивност
aggressor	агресор
agh	агх
aghast	агхаст
aghhh	NO TRANSLATION
agile	агилно
agility	окретност
aging	старење
agitate	агитовати
agitated	узнемирен
agitation	агитација
aglow	аглов
agnostic	агностик
ago	пре
agonizing	агонизинг
agony	агонија
agoraphobia	агорафобија
agree	договорити се
agreeable	пријатан
agreed	сложио се
agreeing	слажем се
agreement	договор
agressive	NO TRANSLATION
agricultural	пољопривредни
agriculture	пољопривреде
aground	агроунд
agua	NO TRANSLATION
ahead	напред
ahhh	аххх
ahhhhhhhh	NO TRANSLATION
ahoy	ахои
aid	помоћ
aide	аиде
aiding	помагање
aids	аидс
ail	аил
ailing	болестан
ailment	болест
aim	циљ
aimless	без циља
air	ваздух
airbag	ваздушни јастук
airborne	ваздушни
aircraft	авиона
aircraft carrier	носач авиона
airfield	аеродром
airhead	аирхеад
airlift	аирлифт
airline	ваздушна линија
airliner	аирлинер
airlock	аирлоцк
airman	аирман
airplane	авион
airport	аеродром
airs	ваздух
airship	авион
airspace	ваздушни простор
airspeed	ваздушна брзина
airstrip	писта
airtight	Херметичан
airway	дисајне путеве
aisle	пролаз
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	ака
akin	сродан
alabaster	алабастер
alarm	алармни
alarm clock	будилник
alarmed	алармантан
alarming	алармантно
alas	алас
alb	NO TRANSLATION
albatross	албатрос
albino	албино
album	албум
alchemy	алхемија
alcohol	алкохол
alcoholic	алкохолно
alcoholism	алкохолизам
alcove	алцове
alderman	алдерман
ale	NO TRANSLATION
alert	упозорење
alertness	будност
alerts	упозорења
alfalfa	луцерка
algebra	алгебра
algebraic	алгебарски
algorithm	алгоритам
alias	алиас
alibi	алиби
alien	ванземаљац
alienate	отуђити
alienated	отуђен
alienation	отуђење
alight	излази
align	поравнајте
aligned	Поравнање
alignment	поравнање
alike	једнако
alimentation	NO TRANSLATION
alimony	алиментација
aliquot	аликвот
alive	жив
alkali	алкали
alkaloids	алкалоиди
allay	смирите се
allegation	оптужбе
allege	аллеге
alleged	наводно
allegiance	лојалност
allegorical	алегорично
allegory	алегорија
allegro	аллегро
allergic	алергичан
allergy	алергија
alleviate	ублажити
alleviation	ублажавање
alley	улица
alleyway	улица
alliance	савез
allied	савезник
alligator	алигатор
allocate	издвојити
allocation	расподела
allot	алот
allotment	доделу
allow	дозволите
allowable	дозвољено
allowance	џепарац
allowed	дозвољен
alloy	легура
allsmiles	NO TRANSLATION
allure	привлачност
alluring	привлачан
allusion	алузија
alluvial	алувијални
ally	савезник
almanac	алманах
almighty	свемогући
almond	бадем
aloft	алофт
aloha	алоха
alone	сами
alongside	заједно са
aloof	резервисан
aloud	наглас
alpha	алфа
alphabet	абецеда
alphabetical	абецедно
alpine	алпине
alreadyyyyy	алреадиииии
altar	олтар
altar boy	олтар дечак
alter	алтер
alteration	измена
altercation	алтерцатион
altered	измењено
alternate	алтернативно
alternating	алтернативно
alternative	алтернатива
altimeter	алтиметар
altitude	надморске висине
alto	алто
altogether	алтогетхер
aluminum	алуминијум
alumnus	Алесус
alveolar	алвеолар
alzheimers	NO TRANSLATION
amalgam	амалгам
amalgamation	амалгамација
amaretto	амаретто
amass	амасс
amateur	аматер
amaze	ућивај
amazed	запањен
amazedness	NO TRANSLATION
amazement	изненађење
amazing	Невероватно
amazingly	Невероватно
ambassador	амбасадор
amber	амбер
ambience	амбијент
ambient	амбијент
ambiguity	двосмисленост
ambiguous	двосмислен
ambit	амбит
ambition	амбиција
ambitious	амбициозан
ambivalent	амбивалентан
ambrosia	амбросиа
ambulance	хитна помоћ
ambush	заседа
ameliorate	амелиорате
amen	амен
amenable	аменабле
amend	изменити
amendment	амандман
amends	измени
amenity	аменити
amethyst	аметист
amiable	љубазно
amicable	пријатељски
amid	амид
amidst	средином
amino	амино
ammo	муниција
ammonia	амонијак
ammonium	амонијум
ammunition	муницију
amnesia	амнезија
amnesty	амнестија
amorous	љубазан
amorphous	аморфан
amortization	амортизација
amount	износ
amour	NO TRANSLATION
amp	амп
ampersand	амперсанд
amphetamines	амфетамини
amphibian	амфибије
amphibious	амфибијски
amphitheater	амфитеатар
ample	довољно
amplification	амплификација
amplify	појачати
amplitude	амплитуде
amply	добро
amputate	ампутат
amputation	ампутација
amuck	амуцк
amulet	амулет
amuse	забавите се
amused	забавно
amusement	забава
amusing	забаван
ana	NO TRANSLATION
anaconda	анаконда
anaesthesia	анестезија
anaesthetic	анестезија
anagram	анаграм
anal	анал
analgesic	аналгетик
analogous	аналогно
analogue	аналогни
analogy	аналогија
analysis	анализа
analyst	аналитичар
analytic	аналитички
analytical	аналитички
analyze	анализирај
analyzer	анализатор
anaphylactic	анафилактички
anarchism	анархизам
anarchist	анархиста
anarchy	анархија
anastomosis	анастомоза
anathema	анатема
anatomic	анатомски
anatomy	анатомија
ancestor	предак
ancestral	предак
ancestry	предака
anchor	сидро
anchorage	сидрење
ancient	древни
ancillary	помоц
androgen	андроген
android	андроид
anecdote	анекдоте
anemia	анемија
anemic	анемична
anemone	анемоне
anesthesia	анестезија
anesthesiologist	анестезиолог
anesthetic	анестезија
aneurysm	анеуризма
