Word	te
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	Aardvark
aback	వెనక్కి
abacus	అబాకస్
abalone	abalone
abandon	పరిత్యజించిన
abandoned	రద్దు
abandonment	పరిత్యాగం
abashed	భంగపడ్డ
abate	తగ్గు
abatement	స్తంభన
abba	abba
abbey	అబ్బే
abbot	NO TRANSLATION
abbreviate	సంక్షిప్తంగా
abbreviation	సంక్షిప్త
abdomen	ఉదరం
abdominal	ఉదర
abduct	అపహరించిన
abduction	అపహరణ
aberrant	అస్వాభావికమైన
aberration	విశ్లేషణం
abeyance	నిలుపుదల
abhor	అసహాయపడు
abhorrence	అసహాయం
abhorrent	అసహ్యకరంగా
abide	కట్టుబడి
abiding	బధ్ధత
ability	సామర్థ్యాన్ని
abject	నికృష్ట
ablation	తొలగింపు
ablaze	మండుతూ
able	సామర్థ్యం
abnormal	అసాధారణ
abnormality	అసాధారణత
aboard	మీదికి
abode	నివాసం
abolish	రద్దు
abolition	రద్దయిన
abominable	హేయమైన
abominate	abominate
abomination	అసహ్యకరమైనది
aboriginal	ఆదిమ
abort	గర్భస్రావము
abortion	గర్భస్రావం
abortive	అకాల
abound	పుష్కలంగా
abovementioned	ఎగువ పేర్కొన్న
abracadabra	NO TRANSLATION
abrasion	రాపిడి
abrasive	కరుకు
abreast	ఎదురుబొదురుగా
abroad	విదేశాల్లో
abrogate	రద్దుచేయాలని
abrupt	ఆకస్మిక
abruptly	అమాంతం
abscess	గడ్డల
absence	లేకపోవడం
absent	మతి
absentee	ఇతనికి
absenteeism	హాజరుకాని
absinthe	అబ్సింతే
absolute	సంపూర్ణ
absolution	విమోచనాన్ని
absolve	విమోచనం చెయ్యి
absorb	శోషించడానికి
absorbed	శోషిత
absorbent	ఇంకే
absorbing	శోషణ
absorption	శోషణ
abstain	దూరంగా
abstention	విముఖతను
abstinence	సంయమనాన్ని
abstract	నైరూప్య
abstraction	సంగ్రహణం
absurd	అసంబద్ధ
absurdity	అసంబద్ధత
abundance	సమృద్ధి
abundant	సమృద్ధిగా
abuse	తిట్టు
abused	తృప్తి
abusive	అసంబద్ధం
abutment	ఆసరా
aby	NO TRANSLATION
abysmal	అంతులేని
abyss	అగాధం
academic	విద్యా
academy	అకాడమీ
accede	మౌనంగా
accelerant	వేగవంతం
accelerate	వేగవంతం
accelerated	వేగవంతమైన
acceleration	త్వరణం
accelerator	యాక్సిలేటర్
accent	యాసను
accentuate	తగిన
accept	అంగీకరించాలి
acceptable	ఆమోదయోగ్యమైన
acceptance	అంగీకారం
acceptances	అంగీకారాలు
access	యాక్సెస్
accessible	అందుబాటులో
accession	పట్టాభిషేక
accessory	అనుబంధ
accident	ప్రమాదంలో
accidental	ప్రమాదవశాత్తు
accidentally	అనుకోకుండా
acclaim	ప్రశంసలు
accolade	పురస్కారం
accommodate	కల్పించేందుకు
accommodation	వసతి
accompaniment	సహవాయిద్యం
accompany	వెంబడించే
accompanying	జతగా
accomplice	తోడుదొంగ
accomplish	సాధనకు
accomplished	సాధించవచ్చు
accomplishment	సాఫల్యం
accord	ఒప్పందం
accordance	అనుగుణంగా
accordion	అకార్డియన్
account	ఖాతా
accountability	జవాబుదారీతనం
accountable	లెక్కింపుకు
accountant	అకౌంటెంట్
accounting	అకౌంటింగ్
accounts	ఖాతాల
accredited	గుర్తింపు పొందిన
accretion	అక్క్రీషణ్
accrue	వచ్చే
accueil	NO TRANSLATION
accumulate	పేరుకుపోవడంతో
accumulation	చేరడం
accuracy	ఖచ్చితత్వాన్ని
accurate	కచ్చితమైన
accursed	శాపగ్రస్తుడైన
accusation	ఆరోపణ
accusative	నిందారోపణ
accuse	నిందిస్తారు
accused	ఆరోపణలు
accuser	ఫిర్యాది
accusing	నిందిస్తూ
accustomed	అభిమానం
ace	ఏస్
acetic	ఎసిటిక్
acetylene	ఎసిటిలీన్
ache	పోటు
achieve	సాధించడానికి
achieved	సాధించవచ్చు
achievement	ఘనకార్యం
aching	బాధాకరంగా
achy	అచి
acid	ఆమ్లము
acidity	ఆమ్లత్వం
acknowledge	గుర్తించి
acknowledged	తెలియజేసారు
acknowledgement	రసీదు
acknowledgment	రసీదు
acme	Acme
acne	మొటిమల
acorn	అకార్న్
acoustic	శబ్ద
acoustics	ధ్వని
acquaint	పరిచయం
acquaintance	పరిచయము
acquainted	పరిచయం
acquiescence	సమ్మతి
acquire	కొనుగోలు
acquiring	పొందిన
acquisition	సముపార్జన
acquisitions	సముపార్జనలు
acquit	వదలివేయడం
acquittal	నిర్దోషిగా
acre	ఎకరాల
acreage	విస్తీర్ణం
acres	ఎకరాల
acrobat	Acrobat
acrylic	యాక్రిలిక్
act	చట్టం
acting	నటన
action	చర్య
action figure	నటన రూపము
actionable	చర్య
activate	సక్రియం
activation	క్రియాశీలతను
active	క్రియాశీల
activist	కార్యకర్త
activity	కార్యకలాపాలు
actor	నటుడు
actress	నటి
actual	అసలు
actuality	నిజానికి
actuary	గణకుడు
acuity	తీక్షణత
acumen	చతురత
acupuncture	ఆక్యుపంక్చర్
acute	తీవ్రమైన
