Word	cs
aaaaaaah	aaaaaaah
aaaah	NO TRANSLATION
aardvark	aardvark
aback	překvapení
abacus	počitadlo
abalone	ušeň
abandon	opustit
abandoned	opuštěný
abandonment	opuštění
abashed	v rozpacích
abate	snížit
abatement	snížení
abba	abba
abbey	opatství
abbot	opat
abbreviate	zkrátit
abbreviation	zkratka
abdomen	břicho
abdominal	břišní
abduct	unést
abduction	únos
aberrant	aberantní
aberration	aberace
abeyance	suspenze
abhor	hnusit si
abhorrence	odcizení
abhorrent	odporný
abide	dodržujte
abiding	trvalý
ability	schopnost
abject	abject
ablation	ablace
ablaze	ohněm
able	schopný
abnormal	abnormální
abnormality	abnormalita
aboard	na palubě
abode	příbytek
abolish	zrušit
abolition	zrušení
abominable	odporný
abominate	hnusit si
abomination	ohavnost
aboriginal	domorodý
abort	přerušit
abortion	potrat
abortive	neúspěšný
abound	obrovské množství
abovementioned	výše zmíněné
abracadabra	abracadabra
abrasion	oděru
abrasive	abrazivní
abreast	poblíž
abroad	do zahraničí
abrogate	zrušit
abrupt	náhlý
abruptly	náhle
abscess	absces
absence	absence
absent	chybí
absentee	absentující
absenteeism	absentérství
absinthe	absint
absolute	absolutní
absolution	rozhřešení
absolve	osvobodit
absorb	absorbovat
absorbed	absorbováno
absorbent	savý
absorbing	absorbující
absorption	vstřebávání
abstain	zdržet se
abstention	zdržení se hlasování
abstinence	abstinence
abstract	abstraktní
abstraction	abstrakce
absurd	absurdní
absurdity	nesmyslnost
abundance	hojnost
abundant	bohatý
abuse	zneužívání
abused	zneužíváno
abusive	zneužívající
abutment	opěra
aby	NO TRANSLATION
abysmal	propastný
abyss	propast
academic	akademický
academy	akademie
accede	přistoupit
accelerant	akcelerátor
accelerate	urychlit
accelerated	zrychlený
acceleration	akcelerace
accelerator	plynový pedál
accent	přízvuk
accentuate	zdůraznit
accept	akceptovat
acceptable	přijatelný
acceptance	přijetí
acceptances	přijetí
access	přístup
accessible	přístupné
accession	přistoupení
accessory	doplněk
accident	nehoda
accidental	náhodný
accidentally	náhodou
acclaim	pozdravovat
accolade	ocenění
accommodate	ubytovat
accommodation	ubytování
accompaniment	doprovod
accompany	doprovázet
accompanying	doprovázející
accomplice	spolupachatel
accomplish	dosáhnout
accomplished	dokonalý
accomplishment	dosažení
accord	souhlas
accordance	souladu
accordion	akordeon
account	účet
accountability	odpovědnost
accountable	odpovědný
accountant	účetní
accounting	účetnictví
accounts	účty
accredited	akreditovat, pověřit, zplnomocnit
accretion	akrece
accrue	nárůst
accueil	NO TRANSLATION
accumulate	akumulovat
accumulation	akumulace
accuracy	přesnost
accurate	přesný
accursed	prokletý
accusation	obvinění
accusative	akuzativ
accuse	obvinit
accused	obžalovaný
accuser	žalobce
accusing	obvinění
accustomed	zvyklý
ace	eso
acetic	octové
acetylene	acetylén
ache	bolest
achieve	dosáhnout
achieved	dosaženo
achievement	úspěch
aching	bolest
achy	achy
acid	kyselina
acidity	kyselost
acknowledge	potvrdit
acknowledged	uznal
acknowledgement	potvrzení
acknowledgment	potvrzení
acme	vrchol
acne	akné
acorn	žalud
acoustic	akustický
acoustics	akustika
acquaint	seznámit
acquaintance	známost
acquainted	seznámit se
acquiescence	souhlas
acquire	získat
acquiring	získání
acquisition	získávání
acquisitions	akvizic
acquit	osvobození
acquittal	osvobození
acre	akr
acreage	výměra
acres	akrů
acrobat	akrobat
acrylic	akryl
act	akt
acting	herectví
action	akce
action figure	akční figurka
actionable	akční
activate	aktivovat
activation	aktivace
active	aktivní
activist	aktivista
activity	aktivita
actor	herec
actress	herečka
actual	aktuální
actuality	skutečnost
actuary	pojistný matematik
acuity	ostrost
acumen	prozíravost
acupuncture	akupunktura
acute	akutní
acutely	akutně
ad	inzerát
adage	pořekadlo
adamant	neústupný
adapt	přizpůsobit
adaptable	adaptabilní
adaptation	přizpůsobování
add	přidat
added	přidal
addendum	dodatek
adder	zmije
addict	narkoman
addicted	závislý
addiction	závislost
addictive	návykové
addition	přidání
additional	další
additive	přísada
address	adresa
addressee	adresát
addresses	adresy
adept	adept
adequacy	přiměřenost
adequate	odpovídající
adhere	dodržovat
adherence	adherence
adherent	přichycený
adhering	adhering
adhesion	přilnavost
adhesive	lepidlo
adieu	adieu
adipose	tukové
adjacency	sousedství
adjacent	přilehlý
adjective	přídavné jméno
adjoining	sousedící
adjourn	odložit
adjournment	odročení
adjudicate	rozhodnout
adjudication	rozhodnutí
adjunct	doplněk
adjust	upravit
adjuster	nastavovač
adjustment	nastavení
adjuvant	adjuvans
admin	admin
administer	spravovat
administration	správa
administrative	správní
administrator	správce
admirable	obdivuhodný
admiral	admirál
admiralty	admiralita
admiration	obdiv
admire	obdivovat
admired	obdivovaný
admirer	obdivovatel
admiring	obdivovat
admissibility	přípustnost
admissible	přípustné
admission	přijetí
admit	připustit
admittance	vstup
admitted	připustil
admitting	přiznávání
admixture	přísada
admonition	napomenutí
ado	ado
adobe	adobe
adolescence	dospívání
adolescent	puberťák
adopt	přijmout
adoption	přijetí
adoptive	adoptivní
adorable	rozkošný
adoration	adorace
adore	uctívat
