Word	happiness_average	happiness_standard_deviation
laughter	8.5	0.9313
happiness	8.44	0.9723
love	8.42	1.1082
happy	8.3	0.9949
laughed	8.26	1.1572
laugh	8.22	1.3746
laughing	8.2	1.1066
excellent	8.18	1.1008
laughs	8.18	1.1551
joy	8.16	1.0568
successful	8.16	1.0759
win	8.12	1.0812
rainbow	8.1	0.9949
smile	8.1	1.0152
won	8.1	1.2164
pleasure	8.08	0.9655
smiled	8.08	1.066
rainbows	8.06	1.3603
winning	8.04	1.049
celebration	8.02	1.5318
enjoyed	8.02	1.5318
healthy	8.02	1.0593
music	8.02	1.1156
celebrating	8.0	1.1429
congratulations	8.0	1.6288
weekend	8.0	1.2936
celebrate	7.98	1.1516
comedy	7.98	1.1516
jokes	7.98	0.9792
rich	7.98	1.3169
victory	7.98	1.0784
christmas	7.96	1.293
free	7.96	1.261
friendship	7.96	1.1241
fun	7.96	1.3087
holidays	7.96	1.261
loved	7.96	1.1599
loves	7.96	1.3696
loving	7.96	1.0093
beach	7.94	1.0577
hahaha	7.94	1.5572
kissing	7.94	1.1323
sunshine	7.94	1.1678
beautiful	7.92	1.1753
delicious	7.92	1.2591
friends	7.92	1.1925
funny	7.92	1.0467
outstanding	7.92	1.14
paradise	7.92	1.3974
sweetest	7.92	1.2911
vacation	7.92	1.9042
butterflies	7.92	1.077
freedom	7.9	1.4178
flower	7.88	1.1718
great	7.88	1.2061
sunlight	7.88	1.4934
sweetheart	7.88	1.272
sweetness	7.88	1.1891
award	7.86	1.5651
chocolate	7.86	1.0304
hahahaha	7.86	1.7025
heaven	7.86	1.578
peace	7.86	1.3403
splendid	7.86	1.457
success	7.86	1.6414
enjoying	7.84	1.5032
kissed	7.84	1.5048
attraction	7.82	1.024
celebrated	7.8	1.178
hero	7.8	1.3997
hugs	7.8	1.4428
positive	7.8	1.2454
sun	7.8	1.3553
birthday	7.78	1.9091
blessed	7.78	1.2824
fantastic	7.78	1.0934
winner	7.78	1.6938
delight	7.78	1.4181
beauty	7.76	1.6107
butterfly	7.76	1.3334
entertainment	7.76	1.2216
funniest	7.76	1.5592
honesty	7.76	1.2707
sky	7.76	1.0797
smiles	7.76	1.7907
succeed	7.76	1.6971
wonderful	7.76	1.7907
glorious	7.74	1.3969
kisses	7.74	1.192
promotion	7.74	1.3822
family	7.72	1.3099
gift	7.72	1.3407
humor	7.72	1.0887
romantic	7.72	1.1959
cupcakes	7.7	1.233
festival	7.7	1.0738
hahahahaha	7.7	1.359
honour	7.7	1.2495
relax	7.7	1.0738
weekends	7.7	1.7871
angel	7.68	1.2362
b-day	7.68	1.5312
bonus	7.68	1.463
brilliant	7.68	1.6218
diamonds	7.68	1.4769
holiday	7.68	1.3005
lucky	7.68	1.2688
mother	7.68	1.6714
super	7.68	1.5964
amazing	7.66	1.493
angels	7.66	1.4654
enjoy	7.66	1.4654
friend	7.66	1.5066
friendly	7.66	1.5467
mother's	7.66	1.2875
profit	7.66	1.239
finest	7.66	1.3875
bday	7.64	1.6753
champion	7.64	1.2249
grandmother	7.64	1.3516
haha	7.64	1.3815
kiss	7.64	1.7585
kitten	7.64	1.2898
miracle	7.64	1.8926
mom	7.64	1.8709
sweet	7.64	1.0645
blessings	7.62	1.6274
bright	7.62	1.1409
cutest	7.62	1.0859
entertaining	7.62	1.0859
excited	7.62	1.3981
excitement	7.62	1.6523
joke	7.62	1.3981
millionaire	7.62	2.1275
prize	7.62	1.2103
succeeded	7.62	1.1409
successfully	7.62	1.2599
winners	7.62	1.5372
shines	7.6	1.5944
awesome	7.6	1.5908
genius	7.6	1.2454
achievement	7.58	1.4299
cake	7.58	1.1082
cheers	7.58	1.4721
exciting	7.58	1.3415
goodness	7.58	1.3716
hug	7.58	1.4721
income	7.58	1.6047
party	7.58	1.4581
puppy	7.58	1.4581
smiling	7.58	1.7034
song	7.58	1.3415
succeeding	7.58	1.3415
tasty	7.58	1.1265
victories	7.58	1.7623
achieved	7.56	1.3726
billion	7.56	1.6679
cakes	7.56	1.4591
easier	7.56	1.1457
flowers	7.56	1.4309
gifts	7.56	1.9395
gold	7.56	1.1095
merry	7.56	1.1457
families	7.54	1.2811
handsome	7.54	1.2488
lovers	7.54	1.2811
affection	7.53	1.5289
candy	7.52	1.4879
cute	7.52	1.1993
diamond	7.52	1.7171
earnings	7.52	1.4177
interesting	7.52	1.1822
peacefully	7.52	1.0544
praise	7.52	1.4741
relaxing	7.52	1.2162
roses	7.52	1.2493
saturdays	7.52	1.729
faithful	7.51	1.3248
heavens	7.51	1.7335
cherish	7.5	1.4743
comfort	7.5	1.1473
congrats	7.5	1.5419
cupcake	7.5	1.7642
earn	7.5	1.3439
extraordinary	7.5	1.374
glory	7.5	1.6067
hilarious	7.5	1.9821
moonlight	7.5	1.359
optimistic	7.5	1.3132
peaceful	7.5	1.0926
romance	7.5	1.4321
feast	7.49	1.6473
attractive	7.48	0.9739
glad	7.48	1.5151
grandma	7.48	1.5016
internet	7.48	1.313
pleasant	7.48	1.2162
profits	7.48	1.3285
smart	7.48	1.3738
x-mas	7.48	1.821
babies	7.46	1.5012
cheer	7.46	1.6807
courage	7.46	1.1817
enthusiasm	7.46	1.1287
honest	7.46	1.1287
loyal	7.46	1.2488
